Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               2.3113              0
1              [64/50000]          2.3042              10.7100             29.8190             1              
1              [128/50000]         29.9271             15.7700             14.1247             2              
1              [192/50000]         18.7847             16.8200             22.0416             3              
1              [256/50000]         24.6695             11.1100             23.5161             4              
1              [320/50000]         22.9424             13.7600             21.4610             5              
1              [384/50000]         24.1232             12.1300             10.9877             6              
1              [448/50000]         9.1840              17.7300             10.2211             7              
1              [512/50000]         10.7128             14.7700             8.2637              8              
1              [576/50000]         8.2714              14.1400             8.7900              9              
1              [640/50000]         7.8167              20.5200             7.3173              10             
1              [704/50000]         7.6974              22.0400             5.8215              11             
1              [768/50000]         5.2983              14.6500             6.1242              12             
1              [832/50000]         6.0917              16.5600             6.9414              13             
1              [896/50000]         5.6679              23.6900             5.3243              14             
1              [960/50000]         4.4963              16.9900             5.6538              15             
1              [1024/50000]        5.3885              14.5800             6.6918              16             
1              [1088/50000]        5.7202              14.5900             7.1278              17             
1              [1152/50000]        7.5961              18.0100             5.4826              18             
1              [1216/50000]        4.9025              18.5400             4.9312              19             
1              [1280/50000]        4.9974              21.8100             5.7730              20             
1              [1344/50000]        5.4575              17.2700             5.2572              21             
1              [1408/50000]        6.0232              16.9900             5.5667              22             
1              [1472/50000]        5.0445              20.6800             4.2505              23             
1              [1536/50000]        4.6916              24.6100             3.5722              24             
1              [1600/50000]        3.6287              27.0300             3.2368              25             
1              [1664/50000]        3.6099              25.2900             2.5827              26             
1              [1728/50000]        2.4837              14.7200             3.1572              27             
1              [1792/50000]        3.2936              23.7800             3.5381              28             
1              [1856/50000]        3.4490              29.6400             2.8907              29             
1              [1920/50000]        2.9428              24.7800             2.7792              30             
1              [1984/50000]        2.4670              25.6900             2.7831              31             
1              [2048/50000]        2.3969              26.8500             2.5781              32             
1              [2112/50000]        2.4341              25.5200             2.6314              33             
1              [2176/50000]        2.8263              26.6600             2.6624              34             
1              [2240/50000]        2.9354              27.3600             2.4650              35             
1              [2304/50000]        2.7743              24.3100             2.4894              36             
1              [2368/50000]        2.4940              31.3200             2.3658              37             
1              [2432/50000]        2.7606              23.9600             2.8231              38             
1              [2496/50000]        3.3007              22.3100             3.0692              39             
1              [2560/50000]        3.1511              18.6500             2.7096              40             
1              [2624/50000]        2.7349              31.4900             2.8302              41             
1              [2688/50000]        2.5599              30.8500             2.4749              42             
1              [2752/50000]        2.3054              33.3500             2.3532              43             
1              [2816/50000]        2.8267              26.5600             2.3448              44             
1              [2880/50000]        2.2284              27.6200             2.1098              45             
1              [2944/50000]        2.4009              34.3000             2.2060              46             
1              [3008/50000]        2.6495              23.3400             2.7775              47             
1              [3072/50000]        2.6732              28.3400             2.3267              48             
1              [3136/50000]        2.2497              30.5900             2.2857              49             
1              [3200/50000]        2.4643              30.5200             2.3830              50             
1              [3264/50000]        2.3032              24.4600             2.1971              51             
1              [3328/50000]        2.6441              32.7900             2.1345              52             
1              [3392/50000]        2.1565              24.2000             2.7128              53             
1              [3456/50000]        2.4740              31.1900             2.4814              54             
1              [3520/50000]        2.3503              26.9200             2.2846              55             
1              [3584/50000]        2.3951              28.9900             2.1876              56             
1              [3648/50000]        1.9944              38.7800             1.8417              57             
1              [3712/50000]        1.8769              31.1000             2.0021              58             
1              [3776/50000]        2.2396              27.9000             2.4517              59             
1              [3840/50000]        2.2698              35.7800             2.4251              60             
1              [3904/50000]        2.0154              30.4200             2.1729              61             
1              [3968/50000]        1.8283              34.3200             1.9182              62             
1              [4032/50000]        1.7936              35.3700             2.0182              63             
1              [4096/50000]        2.2338              26.1200             2.3708              64             
