Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               2.3330              0
1              [64/50000]          2.3298              16.6600             24.2283             1              
1              [128/50000]         23.2867             15.4300             22.6266             2              
1              [192/50000]         21.4915             16.3400             28.2780             3              
1              [256/50000]         24.5360             15.4500             38.4746             4              
1              [320/50000]         45.7220             10.0000             26.4401             5              
1              [384/50000]         30.1402             16.0200             19.8477             6              
1              [448/50000]         20.3705             10.0000             26.8447             7              
1              [512/50000]         27.1974             17.7300             18.5886             8              
1              [576/50000]         20.7655             17.3000             14.0719             9              
1              [640/50000]         12.7502             13.8600             13.8249             10             
1              [704/50000]         12.3165             16.9000             10.2390             11             
1              [768/50000]         10.0521             13.9000             8.7311              12             
1              [832/50000]         8.6094              17.8000             7.5591              13             
1              [896/50000]         7.5964              21.4000             5.2463              14             
1              [960/50000]         4.8597              20.6800             4.8919              15             
1              [1024/50000]        4.8651              20.8500             3.5506              16             
1              [1088/50000]        3.7206              21.8600             3.6271              17             
1              [1152/50000]        3.5144              26.6000             3.2399              18             
1              [1216/50000]        2.9541              25.5000             2.7831              19             
1              [1280/50000]        3.1761              24.2200             3.4452              20             
1              [1344/50000]        3.3101              23.6400             3.2176              21             
1              [1408/50000]        2.4454              21.5700             3.4592              22             
1              [1472/50000]        3.0707              22.8000             3.0150              23             
1              [1536/50000]        3.2668              29.2100             3.0163              24             
1              [1600/50000]        2.7825              26.5000             2.7593              25             
1              [1664/50000]        2.5144              22.4000             2.8707              26             
1              [1728/50000]        2.9598              27.1700             3.1471              27             
1              [1792/50000]        2.7990              20.7200             3.4372              28             
1              [1856/50000]        3.5657              18.4400             4.2425              29             
1              [1920/50000]        4.0671              23.0700             3.2048              30             
1              [1984/50000]        2.9328              24.8400             2.9738              31             
1              [2048/50000]        2.4473              25.6100             2.8404              32             
1              [2112/50000]        2.8270              21.0500             3.1466              33             
1              [2176/50000]        3.6613              29.4000             2.5268              34             
1              [2240/50000]        2.4328              28.9500             2.3279              35             
1              [2304/50000]        2.1096              35.8200             2.0533              36             
1              [2368/50000]        1.7204              34.8000             2.0440              37             
1              [2432/50000]        1.9140              34.0300             2.0207              38             
1              [2496/50000]        2.2998              24.9500             3.2279              39             
1              [2560/50000]        2.6940              31.5300             2.6012              40             
1              [2624/50000]        2.4141              25.1400             2.5655              41             
1              [2688/50000]        2.5031              26.7600             2.7006              42             
1              [2752/50000]        2.9724              25.4800             2.5151              43             
1              [2816/50000]        2.6152              27.8400             2.6450              44             
1              [2880/50000]        2.8835              33.1800             2.4941              45             
1              [2944/50000]        2.3115              32.4600             2.3270              46             
1              [3008/50000]        2.7289              28.0700             2.3731              47             
1              [3072/50000]        2.4011              32.2400             2.2663              48             
1              [3136/50000]        2.3076              30.7500             2.0988              49             
1              [3200/50000]        2.0278              34.6400             1.9173              50             
1              [3264/50000]        2.2913              33.2200             2.2442              51             
1              [3328/50000]        2.5889              29.2900             2.3887              52             
1              [3392/50000]        2.2428              24.4300             2.6735              53             
1              [3456/50000]        2.9001              30.4200             2.4156              54             
1              [3520/50000]        1.9902              30.2000             2.5359              55             
1              [3584/50000]        2.8958              26.0100             3.1360              56             
1              [3648/50000]        2.8903              27.9800             2.9539              57             
1              [3712/50000]        2.6472              23.6600             3.2065              58             
1              [3776/50000]        3.5089              21.9500             3.1034              59             
1              [3840/50000]        3.2331              28.2800             2.5357              60             
1              [3904/50000]        2.1925              33.3100             2.1329              61             
1              [3968/50000]        2.5929              26.7800             2.3627              62             
1              [4032/50000]        2.4986              31.6300             2.5685              63             
1              [4096/50000]        2.5263              36.6600             1.9903              64             
1              [4160/50000]        1.7955              31.3200             2.0080              65             
1              [4224/50000]        1.8257              36.7000             1.8923              66             
1              [4288/50000]        1.7341              37.5700             2.0796              67             
1              [4352/50000]        2.3108              25.6100             2.2482              68             
1              [4416/50000]        2.1350              28.4600             2.2867              69             
1              [4480/50000]        2.3802              32.2400             2.3909              70             
1              [4544/50000]        2.3936              32.0500             1.9897              71             
1              [4608/50000]        2.0526              31.1800             2.0333              72             
1              [4672/50000]        2.1657              36.6300             1.9632              73             
1              [4736/50000]        1.7841              39.9000             1.7285              74             
1              [4800/50000]        1.6328              36.4400             1.8365              75             
1              [4864/50000]        1.7400              37.5200             1.8471              76             
1              [4928/50000]        2.0395              37.3800             1.7761              77             
1              [4992/50000]        1.4150              41.7700             1.6562              78             
1              [5056/50000]        1.8495              35.3700             1.9043              79             
1              [5120/50000]        1.7408              30.4600             2.0442              80             
1              [5184/50000]        2.2080              35.7400             2.0172              81             
1              [5248/50000]        1.9800              35.3700             2.0118              82             
1              [5312/50000]        1.9264              37.0300             1.8418              83             
1              [5376/50000]        1.8057              43.8300             1.6325              84             
1              [5440/50000]        1.6632              37.4400             1.7852              85             
1              [5504/50000]        1.8911              34.7300             1.8566              86             
1              [5568/50000]        1.9065              39.1800             1.9445              87             
1              [5632/50000]        2.4466              32.7100             2.0234              88             
1              [5696/50000]        2.3417              38.9500             1.9341              89             
1              [5760/50000]        1.8815              36.7600             1.9213              90             
1              [5824/50000]        1.8624              36.0900             1.8376              91             
1              [5888/50000]        1.7640              42.0900             1.6689              92             
1              [5952/50000]        1.5149              36.9600             1.8308              93             
1              [6016/50000]        2.1350              37.4500             1.8683              94             
1              [6080/50000]        1.9731              36.9400             1.8241              95             
1              [6144/50000]        1.7742              42.0900             1.6556              96             
1              [6208/50000]        1.6339              41.2400             1.6988              97             
1              [6272/50000]        1.6507              34.2100             1.9109              98             
1              [6336/50000]        1.8070              36.9400             1.8256              99             
1              [6400/50000]        1.7770              33.3000             1.9981              100            
1              [6464/50000]        2.1181              35.5000             1.9872              101            
1              [6528/50000]        1.6140              33.3200             1.8905              102            
1              [6592/50000]        1.9766              40.6900             1.7994              103            
1              [6656/50000]        1.8627              40.7100             1.6748              104            
1              [6720/50000]        1.5702              34.5900             1.8826              105            
1              [6784/50000]        1.7834              37.3400             1.7521              106            
1              [6848/50000]        1.9534              36.1000             1.8761              107            
1              [6912/50000]        1.6154              36.2100             1.8024              108            
1              [6976/50000]        1.7131              32.4100             2.0989              109            
1              [7040/50000]        2.2788              35.4300             1.8344              110            
1              [7104/50000]        1.7883              36.8100             1.7837              111            
1              [7168/50000]        1.5799              42.2700             1.6691              112            
1              [7232/50000]        1.7706              39.5000             1.8607              113            
1              [7296/50000]        1.8564              37.7900             1.8319              114            
1              [7360/50000]        1.9080              30.8100             2.0423              115            
1              [7424/50000]        2.0343              36.3300             1.9268              116            
1              [7488/50000]        1.8706              42.3200             1.6085              117            
1              [7552/50000]        1.6191              41.2700             1.6362              118            
1              [7616/50000]        1.7799              40.7300             1.6292              119            
1              [7680/50000]        1.5607              42.9100             1.5792              120            
1              [7744/50000]        1.4658              39.2600             1.6612              121            
1              [7808/50000]        1.7377              39.9700             1.6940              122            
