Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               2.3180              0
1              [1024/50000]        2.3176              15.8800             12.9943             1              
1              [2048/50000]        12.9576             15.3000             21.7409             2              
1              [3072/50000]        21.2906             17.2700             26.4045             3              
1              [4096/50000]        28.2923             13.7300             28.6620             4              
1              [5120/50000]        29.3119             12.4500             26.1917             5              
1              [6144/50000]        25.5054             15.2100             28.4759             6              
1              [7168/50000]        28.2904             13.4900             18.6435             7              
1              [8192/50000]        19.2515             10.0100             15.2945             8              
1              [9216/50000]        15.4024             18.5900             10.2079             9              
1              [10240/50000]       9.8812              17.5400             9.6376              10             
1              [11264/50000]       9.5959              18.7100             9.9159              11             
1              [12288/50000]       10.0887             15.9900             7.7574              12             
1              [13312/50000]       7.8242              19.7900             8.1495              13             
1              [14336/50000]       8.2557              16.6800             4.7980              14             
1              [15360/50000]       4.7731              27.0700             3.8226              15             
1              [16384/50000]       3.9691              26.3400             2.9395              16             
1              [17408/50000]       2.7579              32.0700             2.3156              17             
1              [18432/50000]       2.2980              26.7700             2.4444              18             
1              [19456/50000]       2.4837              29.4600             3.0809              19             
1              [20480/50000]       3.1237              28.7100             2.7712              20             
1              [21504/50000]       2.7848              21.9100             2.8156              21             
1              [22528/50000]       2.8357              23.0900             3.8067              22             
1              [23552/50000]       3.7260              26.6700             3.3868              23             
1              [24576/50000]       3.2178              24.3100             3.2465              24             
1              [25600/50000]       3.3195              30.6500             2.4616              25             
1              [26624/50000]       2.4559              32.1700             2.3325              26             
1              [27648/50000]       2.3152              31.6600             2.2302              27             
1              [28672/50000]       2.2764              30.2100             2.3055              28             
1              [29696/50000]       2.3150              31.7500             2.5142              29             
1              [30720/50000]       2.4488              31.4600             2.3756              30             
1              [31744/50000]       2.4797              25.1500             2.8046              31             
1              [32768/50000]       2.8184              28.0400             3.1351              32             
1              [33792/50000]       3.0200              34.6900             2.1829              33             
1              [34816/50000]       2.0940              33.6300             1.8678              34             
1              [35840/50000]       1.8800              35.8700             2.4123              35             
1              [36864/50000]       2.4422              30.5900             2.3444              36             
1              [37888/50000]       2.4372              26.5500             2.7779              37             
1              [38912/50000]       2.8418              35.6500             2.5247              38             
1              [39936/50000]       2.4920              35.6300             2.2200              39             
1              [40960/50000]       2.2438              35.9700             2.1876              40             
1              [41984/50000]       2.0906              36.5300             1.9034              41             
1              [43008/50000]       1.9332              36.0900             1.9714              42             
1              [44032/50000]       1.9473              32.8700             2.0998              43             
1              [45056/50000]       2.1523              32.5600             2.4367              44             
1              [46080/50000]       2.4908              32.2000             2.4461              45             
1              [47104/50000]       2.3838              32.8800             2.1621              46             
1              [48128/50000]       2.1880              35.5300             2.2273              47             
1              [49152/50000]       2.1917              34.2400             2.0279              48             
1              [41552/50000]       1.9051              38.1600             1.9372              49             
2              [1024/50000]        1.8658              38.7100             1.8046              50             
2              [2048/50000]        1.7982              41.3800             1.8387              51             
2              [3072/50000]        1.8878              31.3300             2.0227              52             
2              [4096/50000]        2.0173              31.6700             2.8769              53             
2              [5120/50000]        2.9005              30.9900             2.4491              54             
2              [6144/50000]        2.4175              29.6600             2.7709              55             
2              [7168/50000]        2.7466              35.8100             2.5776              56             
2              [8192/50000]        2.4578              34.7200             2.2115              57             
2              [9216/50000]        2.1542              38.1500             1.8608              58             
2              [10240/50000]       1.8165              38.5900             1.9571              59             
2              [11264/50000]       1.9707              34.3700             1.9610              60             
2              [12288/50000]       1.9328              32.9500             2.0480              61             
2              [13312/50000]       2.0815              37.1700             2.1050              62             
2              [14336/50000]       2.1127              42.3800             1.7950              63             
2              [15360/50000]       1.8156              40.7100             1.7183              64             
2              [16384/50000]       1.7370              42.7600             1.7563              65             
2              [17408/50000]       1.7272              43.2500             1.6124              66             
2              [18432/50000]       1.5641              39.7600             1.7141              67             
2              [19456/50000]       1.6883              40.5100             1.7496              68             
2              [20480/50000]       1.7130              40.4700             1.7708              69             
2              [21504/50000]       1.7502              34.2000             1.8651              70             
2              [22528/50000]       1.8605              42.7800             2.0696              71             
2              [23552/50000]       2.0631              42.1900             1.7329              72             
2              [24576/50000]       1.6699              42.4000             1.6236              73             
2              [25600/50000]       1.6068              44.9600             1.6286              74             
2              [26624/50000]       1.6221              44.8000             1.5983              75             
2              [27648/50000]       1.5956              43.4500             1.6173              76             
2              [28672/50000]       1.6470              37.7900             1.8345              77             
2              [29696/50000]       1.7712              38.5900             1.8185              78             
2              [30720/50000]       1.8234              42.7100             1.8203              79             
2              [31744/50000]       1.8670              41.2700             1.6755              80             
2              [32768/50000]       1.6836              37.7700             1.7680              81             
2              [33792/50000]       1.7269              40.5100             1.7059              82             
2              [34816/50000]       1.7485              38.2900             1.7829              83             
2              [35840/50000]       1.7585              43.3000             1.6500              84             
2              [36864/50000]       1.6718              45.8800             1.5349              85             
2              [37888/50000]       1.5695              40.3800             1.5998              86             
2              [38912/50000]       1.5984              40.0900             1.7927              87             
2              [39936/50000]       1.7431              39.2000             1.8420              88             
2              [40960/50000]       1.8730              43.7000             1.6030              89             
2              [41984/50000]       1.5915              45.3700             1.5389              90             
2              [43008/50000]       1.5460              43.1000             1.5573              91             
2              [44032/50000]       1.5307              43.2200             1.6338              92             
2              [45056/50000]       1.6406              45.7600             1.5523              93             
2              [46080/50000]       1.5493              44.5600             1.6224              94             
2              [47104/50000]       1.6488              44.4000             1.5817              95             
2              [48128/50000]       1.5723              43.2700             1.6495              96             
2              [49152/50000]       1.6241              43.0800             1.6689              97             
2              [41552/50000]       1.5613              44.5300             1.5622              98             
3              [1024/50000]        1.5505              42.1400             1.6273              99             
3              [2048/50000]        1.5673              42.2400             1.7879              100            
3              [3072/50000]        1.7521              38.2200             1.8287              101            
3              [4096/50000]        1.8486              38.9500             1.8529              102            
3              [5120/50000]        1.8806              38.5800             1.8213              103            
3              [6144/50000]        1.7415              45.5200             1.5976              104            
3              [7168/50000]        1.5453              40.0300             1.6534              105            
3              [8192/50000]        1.5773              39.1600             1.9833              106            
3              [9216/50000]        1.9907              38.5300             1.7805              107            
3              [10240/50000]       1.7367              40.6200             1.6757              108            
3              [11264/50000]       1.7148              39.6100             1.7453              109            
3              [12288/50000]       1.6532              42.8800             1.7277              110            
3              [13312/50000]       1.6833              42.6000             1.6234              111            
3              [14336/50000]       1.5610              42.0100             1.6292              112            
3              [15360/50000]       1.6009              44.2100             1.5707              113            
3              [16384/50000]       1.5026              46.4900             1.5338              114            
3              [17408/50000]       1.5066              46.0400             1.5202              115            
3              [18432/50000]       1.4740              47.0900             1.4868              116            
3              [19456/50000]       1.4670              48.2200             1.4584              117            
3              [20480/50000]       1.3922              47.8300             1.4663              118            
3              [21504/50000]       1.4272              43.2500             1.5749              119            
3              [22528/50000]       1.5602              43.8300             1.6087              120            
3              [23552/50000]       1.5631              46.3100             1.5118              121            
3              [24576/50000]       1.5101              46.6400             1.5308              122            
3              [25600/50000]       1.5219              47.4600             1.4982              123            
3              [26624/50000]       1.4572              45.3200             1.5232              124            
3              [27648/50000]       1.5092              45.0100             1.5541              125            
3              [28672/50000]       1.5646              44.8900             1.5609              126            
3              [29696/50000]       1.5500              46.1200             1.5245              127            
3              [30720/50000]       1.5033              48.5800             1.4717              128            
3              [31744/50000]       1.4359              47.4800             1.5082              129            
3              [32768/50000]       1.4615              49.1500             1.4842              130            
3              [33792/50000]       1.4472              49.7100             1.4421              131            
3              [34816/50000]       1.4194              48.8300             1.4548              132            
3              [35840/50000]       1.4708              49.9100             1.4254              133            
3              [36864/50000]       1.4204              49.8800             1.4335              134            
3              [37888/50000]       1.4474              47.7300             1.4877              135            
3              [38912/50000]       1.4513              48.4700             1.4775              136            
3              [39936/50000]       1.4060              48.9100             1.4372              137            
3              [40960/50000]       1.4148              49.5500             1.4329              138            
3              [41984/50000]       1.4028              44.9700             1.5329              139            
3              [43008/50000]       1.5331              42.5800             1.6207              140            
3              [44032/50000]       1.5777              43.2400             1.5674              141            
3              [45056/50000]       1.6178              43.1800             1.5970              142            
3              [46080/50000]       1.5889              43.5200             1.5726              143            
3              [47104/50000]       1.5782              45.1600             1.5566              144            
3              [48128/50000]       1.5178              45.3500             1.5218              145            
3              [49152/50000]       1.5014              45.1000             1.5261              146            
3              [41552/50000]       1.4866              45.7300             1.5684              147            
4              [1024/50000]        1.4671              45.7700             1.5519              148            
4              [2048/50000]        1.5004              44.3700             1.6289              149            
4              [3072/50000]        1.5998              43.9800             1.6103              150            
4              [4096/50000]        1.5602              43.2000             1.6904              151            
4              [5120/50000]        1.6156              41.0700             1.6882              152            
4              [6144/50000]        1.6814              44.3500             1.7339              153            
4              [7168/50000]        1.6218              47.0600             1.4917              154            
4              [8192/50000]        1.4176              45.9800             1.5423              155            
4              [9216/50000]        1.5250              43.8200             1.5833              156            
4              [10240/50000]       1.5791              43.4400             1.6793              157            
4              [11264/50000]       1.6783              46.8900             1.4988              158            
4              [12288/50000]       1.4284              44.7000             1.5266              159            
4              [13312/50000]       1.4623              43.6800             1.5399              160            
4              [14336/50000]       1.4864              45.9700             1.4877              161            
4              [15360/50000]       1.4227              47.0800             1.4659              162            
4              [16384/50000]       1.5101              46.8900             1.5011              163            
4              [17408/50000]       1.4729              49.5600             1.4602              164            
4              [18432/50000]       1.4259              51.4100             1.3942              165            
4              [19456/50000]       1.3534              49.1200             1.4257              166            
4              [20480/50000]       1.3349              48.7800             1.4522              167            
4              [21504/50000]       1.3840              45.6600             1.4864              168            
4              [22528/50000]       1.4329              46.3500             1.5353              169            
4              [23552/50000]       1.4636              46.1100             1.5043              170            
4              [24576/50000]       1.5094              48.9700             1.4449              171            
4              [25600/50000]       1.3419              49.9200             1.4187              172            
4              [26624/50000]       1.3514              47.0000             1.4837              173            
4              [27648/50000]       1.4441              45.2000             1.5364              174            
4              [28672/50000]       1.5083              44.3100             1.5299              175            
4              [29696/50000]       1.4473              47.8000             1.4865              176            
4              [30720/50000]       1.3966              49.6300             1.3995              177            
4              [31744/50000]       1.4235              48.3500             1.4471              178            
4              [32768/50000]       1.3813              48.7300             1.4608              179            
4              [33792/50000]       1.4724              47.1300             1.5053              180            
4              [34816/50000]       1.4626              44.6800             1.5848              181            
4              [35840/50000]       1.5964              48.0800             1.4610              182            
4              [36864/50000]       1.3971              47.9800             1.4475              183            
4              [37888/50000]       1.4073              44.8200             1.5372              184            
4              [38912/50000]       1.4515              47.5400             1.4878              185            
4              [39936/50000]       1.3726              46.9100             1.4700              186            
4              [40960/50000]       1.4585              45.0000             1.5595              187            
