Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               2.2961              0
1              [64/50000]          2.2917              14.0000             32.9865             1              
1              [128/50000]         32.8362             10.5400             26.9372             2              
1              [192/50000]         25.3426             16.2600             41.0607             3              
1              [256/50000]         39.0617             18.7500             27.6885             4              
1              [320/50000]         28.8244             16.6600             26.4904             5              
1              [384/50000]         25.3313             14.4800             19.8736             6              
1              [448/50000]         18.3308             13.9600             22.0550             7              
1              [512/50000]         23.7669             15.7400             12.6842             8              
1              [576/50000]         14.9305             20.7700             7.3640              9              
1              [640/50000]         8.4989              19.0000             7.1042              10             
1              [704/50000]         5.7688              21.6800             5.5176              11             
1              [768/50000]         4.5928              20.4600             5.3843              12             
1              [832/50000]         5.0101              25.0600             4.0350              13             
1              [896/50000]         3.3656              26.2600             3.4306              14             
1              [960/50000]         3.3117              25.3500             3.2703              15             
1              [1024/50000]        3.5977              19.9200             4.4329              16             
1              [1088/50000]        4.5737              24.4500             3.9537              17             
1              [1152/50000]        4.0343              17.3100             5.9225              18             
1              [1216/50000]        6.1801              12.0200             6.6442              19             
1              [1280/50000]        6.6452              19.1500             6.9831              20             
1              [1344/50000]        7.5844              25.6700             5.5862              21             
1              [1408/50000]        5.7085              26.2100             4.7450              22             
1              [1472/50000]        4.5939              16.3100             4.0508              23             
1              [1536/50000]        4.1480              29.4700             3.7232              24             
1              [1600/50000]        3.3507              19.2400             4.1881              25             
1              [1664/50000]        3.6614              27.1200             4.0854              26             
1              [1728/50000]        3.4180              22.2600             3.8780              27             
1              [1792/50000]        4.4797              26.2600             3.1747              28             
1              [1856/50000]        3.5161              25.1300             3.4562              29             
1              [1920/50000]        3.3581              23.7200             3.2416              30             
1              [1984/50000]        4.0830              25.0700             3.4352              31             
1              [2048/50000]        3.1968              30.2600             2.9105              32             
1              [2112/50000]        3.1913              27.1700             2.5315              33             
1              [2176/50000]        2.5122              33.3400             2.6746              34             
1              [2240/50000]        2.6653              28.4300             2.6155              35             
1              [2304/50000]        2.6702              29.4100             2.5400              36             
1              [2368/50000]        2.7730              23.5200             3.0371              37             
1              [2432/50000]        2.6662              27.5400             2.5042              38             
1              [2496/50000]        1.9830              30.4300             2.2686              39             
1              [2560/50000]        1.9619              33.5200             2.2095              40             
1              [2624/50000]        2.0972              32.5900             2.1947              41             
1              [2688/50000]        1.9381              32.8700             2.0568              42             
1              [2752/50000]        2.1425              27.5900             2.4463              43             
1              [2816/50000]        2.2188              29.1400             2.4495              44             
1              [2880/50000]        2.1513              24.6800             2.7593              45             
1              [2944/50000]        2.8204              26.9900             2.8267              46             
1              [3008/50000]        2.8103              29.6900             2.6284              47             
1              [3072/50000]        2.4946              29.7100             2.6625              48             
1              [3136/50000]        2.8515              27.1300             2.5669              49             
1              [3200/50000]        2.6270              31.7000             2.1882              50             
1              [3264/50000]        2.1724              24.1400             3.1365              51             
1              [3328/50000]        3.1762              30.0500             3.0245              52             
1              [3392/50000]        2.7227              22.3900             3.5195              53             
1              [3456/50000]        3.7410              25.7500             3.2304              54             
1              [3520/50000]        2.6708              24.0800             2.9140              55             
1              [3584/50000]        3.0379              24.1400             3.0696              56             
1              [3648/50000]        3.1999              34.7300             2.1883              57             
1              [3712/50000]        1.8201              25.3700             2.6687              58             
1              [3776/50000]        2.8328              28.6800             2.9245              59             
1              [3840/50000]        2.9508              28.1000             2.6774              60             
1              [3904/50000]        2.6816              31.6200             2.2847              61             
1              [3968/50000]        2.4382              34.4600             2.1803              62             
1              [4032/50000]        2.2840              30.9700             2.1089              63             
1              [4096/50000]        2.0771              30.5400             2.1090              64             
1              [4160/50000]        2.1071              35.4200             2.0333              65             
1              [4224/50000]        2.3872              35.4000             2.1039              66             
1              [4288/50000]        1.9631              40.3800             1.7159              67             
1              [4352/50000]        1.8005              32.7000             1.9626              68             
1              [4416/50000]        2.1107              36.3600             2.1504              69             
1              [4480/50000]        2.1220              25.7400             2.3365              70             
1              [4544/50000]        2.6063              32.0600             2.4752              71             
1              [4608/50000]        1.9578              29.6100             2.5189              72             
1              [4672/50000]        2.4465              38.6900             1.7780              73             
1              [4736/50000]        1.9900              34.6100             1.8632              74             
1              [4800/50000]        1.8982              39.3500             1.7711              75             
1              [4864/50000]        2.0566              34.7100             1.8980              76             
1              [4928/50000]        2.2481              28.8600             2.1841              77             
1              [4992/50000]        2.3248              36.5700             2.0852              78             
