Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               2.3098              0
1              [64/50000]          2.2879              15.0500             22.3494             1              
1              [128/50000]         19.6383             15.7300             22.4109             2              
1              [192/50000]         22.1847             18.7400             25.6700             3              
1              [256/50000]         31.5442             11.6500             26.7176             4              
1              [320/50000]         28.6012             18.8200             14.3833             5              
1              [384/50000]         10.0780             11.9800             19.8672             6              
1              [448/50000]         18.0389             13.5400             20.1758             7              
1              [512/50000]         26.6361             13.6700             18.1556             8              
1              [576/50000]         20.4577             14.7400             17.8393             9              
1              [640/50000]         17.8127             20.2600             11.3250             10             
1              [704/50000]         13.2283             13.4500             8.0720              11             
1              [768/50000]         7.7051              12.0500             6.0233              12             
1              [832/50000]         5.4596              18.0400             5.7477              13             
1              [896/50000]         5.6660              21.3200             4.9567              14             
1              [960/50000]         5.7358              24.6800             4.6791              15             
1              [1024/50000]        4.3421              19.5700             5.1861              16             
1              [1088/50000]        4.0544              20.1500             4.9954              17             
1              [1152/50000]        5.0197              20.9700             4.8386              18             
1              [1216/50000]        4.8751              17.7300             5.1536              19             
1              [1280/50000]        5.2220              25.8600             4.1106              20             
1              [1344/50000]        3.9227              23.1500             4.1580              21             
1              [1408/50000]        3.7942              24.8500             4.0833              22             
1              [1472/50000]        4.1904              24.0400             4.0342              23             
1              [1536/50000]        3.5199              27.4500             3.1556              24             
1              [1600/50000]        3.3738              33.4800             2.1375              25             
1              [1664/50000]        2.5344              25.6300             3.4373              26             
1              [1728/50000]        3.5112              26.9800             2.6324              27             
1              [1792/50000]        2.8079              30.5600             2.8449              28             
1              [1856/50000]        2.5997              32.2000             2.1804              29             
1              [1920/50000]        2.1906              23.8800             2.6416              30             
1              [1984/50000]        2.7097              29.5600             2.7244              31             
1              [2048/50000]        3.4889              25.9100             3.1691              32             
1              [2112/50000]        3.2664              21.0700             3.7447              33             
1              [2176/50000]        3.1440              22.7900             2.9624              34             
1              [2240/50000]        2.9871              28.7100             2.7239              35             
1              [2304/50000]        2.3976              27.1400             2.5921              36             
1              [2368/50000]        2.5671              24.4500             2.7033              37             
1              [2432/50000]        2.8474              36.0600             2.0819              38             
1              [2496/50000]        2.2297              28.2800             2.3586              39             
1              [2560/50000]        1.8681              30.7100             2.2032              40             
1              [2624/50000]        2.2968              29.7100             2.7462              41             
1              [2688/50000]        2.7067              28.9500             2.4472              42             
1              [2752/50000]        2.5471              31.8700             2.6382              43             
1              [2816/50000]        2.7308              24.2400             2.4765              44             
1              [2880/50000]        2.7424              35.5800             2.8007              45             
1              [2944/50000]        2.2298              31.9100             2.5387              46             
1              [3008/50000]        2.7684              28.9100             2.2225              47             
1              [3072/50000]        2.0919              29.1900             2.2922              48             
1              [3136/50000]        2.0594              37.7300             2.0589              49             
1              [3200/50000]        2.2884              38.2800             1.7303              50             
1              [3264/50000]        1.9235              34.6900             1.9676              51             
1              [3328/50000]        1.7485              29.3400             2.4494              52             
1              [3392/50000]        2.7323              22.0600             3.1548              53             
1              [3456/50000]        3.1496              24.1000             3.3023              54             
1              [3520/50000]        3.3945              29.7000             3.0581              55             
1              [3584/50000]        2.8224              28.9600             2.2500              56             
1              [3648/50000]        2.3145              31.9800             2.2676              57             
1              [3712/50000]        2.3604              32.8200             2.2278              58             
1              [3776/50000]        2.3449              29.8200             2.2425              59             
1              [3840/50000]        2.3062              31.6100             2.1746              60             
1              [3904/50000]        2.1646              31.7100             2.0909              61             
1              [3968/50000]        1.9860              36.8600             1.8227              62             
1              [4032/50000]        1.7647              35.6100             1.8510              63             
1              [4096/50000]        2.1080              35.9500             1.8329              64             
1              [4160/50000]        1.9312              33.8500             2.1804              65             
1              [4224/50000]        2.3204              33.4200             1.8895              66             
1              [4288/50000]        1.7249              34.9500             1.8710              67             
1              [4352/50000]        1.8763              38.9400             1.8585              68             
1              [4416/50000]        1.7289              40.5300             1.6859              69             
1              [4480/50000]        1.5462              39.8700             1.7425              70             
1              [4544/50000]        1.6609              37.5200             1.8756              71             
1              [4608/50000]        1.9986              28.4000             2.2099              72             
1              [4672/50000]        2.1649              29.7400             2.5487              73             
1              [4736/50000]        2.4889              30.5300             2.2593              74             
1              [4800/50000]        2.0257              38.1500             1.7735              75             
1              [4864/50000]        1.7968              36.9700             1.8022              76             
1              [4928/50000]        1.9058              28.9800             2.0512              77             
1              [4992/50000]        2.1662              33.8700             2.1188              78             
1              [5056/50000]        2.1216              35.1900             2.0474              79             
1              [5120/50000]        2.6446              27.4500             2.2041              80             
1              [5184/50000]        2.2154              31.1700             2.4127              81             
1              [5248/50000]        2.3802              33.6600             1.8564              82             
1              [5312/50000]        1.8987              35.7800             1.8136              83             
1              [5376/50000]        1.9042              41.3500             1.6656              84             
1              [5440/50000]        1.3765              34.5700             1.8565              85             
1              [5504/50000]        2.0018              34.7400             1.8853              86             
1              [5568/50000]        1.8292              40.6900             1.6635              87             
1              [5632/50000]        1.5283              39.2600             1.8543              88             
1              [5696/50000]        1.9715              39.0300             1.6831              89             
1              [5760/50000]        1.7310              39.0100             1.7318              90             
1              [5824/50000]        1.4598              40.2500             1.7025              91             
1              [5888/50000]        1.6928              27.6300             2.0761              92             
1              [5952/50000]        2.1494              35.4000             2.1390              93             
1              [6016/50000]        2.0665              32.5100             2.3222              94             
1              [6080/50000]        2.2391              33.6900             2.1346              95             
1              [6144/50000]        2.1643              42.2300             1.6093              96             
1              [6208/50000]        1.6288              39.9900             1.6805              97             
1              [6272/50000]        1.5273              43.1500             1.5979              98             
1              [6336/50000]        1.6920              41.5000             1.6150              99             
1              [6400/50000]        1.6396              36.7400             1.7958              100            
1              [6464/50000]        1.7729              36.4800             1.8066              101            
1              [6528/50000]        1.6894              39.0200             1.7290              102            
1              [6592/50000]        1.6588              41.1500             1.6333              103            
1              [6656/50000]        1.4053              40.5400             1.6793              104            
1              [6720/50000]        1.7956              39.5500             1.7256              105            
1              [6784/50000]        1.8300              38.9400             1.7258              106            
1              [6848/50000]        1.4800              41.1500             1.6178              107            
1              [6912/50000]        1.9080              39.6800             1.6900              108            
1              [6976/50000]        1.8670              38.9600             1.7569              109            
1              [7040/50000]        1.5698              35.8800             1.8141              110            
1              [7104/50000]        1.8313              39.1700             1.8520              111            
1              [7168/50000]        1.5867              40.2700             1.7464              112            
1              [7232/50000]        1.6894              43.8400             1.6138              113            
1              [7296/50000]        1.6246              39.0300             1.7463              114            
1              [7360/50000]        1.7653              36.4500             1.8333              115            
1              [7424/50000]        1.7016              38.8900             1.8913              116            
1              [7488/50000]        1.7001              32.3000             1.9768              117            
1              [7552/50000]        1.9047              37.6300             2.0704              118            
1              [7616/50000]        2.5008              34.1700             1.9398              119            
1              [7680/50000]        1.9462              39.8200             1.7923              120            
1              [7744/50000]        1.7994              37.4100             1.7875              121            
1              [7808/50000]        1.9373              36.7000             1.8375              122            
1              [7872/50000]        1.7728              39.4900             1.7043              123            
1              [7936/50000]        1.6648              39.7800             1.7193              124            
1              [8000/50000]        1.6177              40.8400             1.6772              125            
1              [8064/50000]        1.4689              42.7600             1.6273              126            
1              [8128/50000]        1.6035              44.6500             1.5697              127            
1              [8192/50000]        1.7026              44.7600             1.5623              128            
1              [8256/50000]        1.5787              40.5400             1.7041              129            
1              [8320/50000]        1.7281              39.0400             1.7107              130            
1              [8384/50000]        1.5809              41.0200             1.6510              131            
1              [8448/50000]        1.6632              39.8000             1.6608              132            
1              [8512/50000]        2.0043              37.7300             1.7251              133            
1              [8576/50000]        1.9054              34.4200             1.8921              134            
1              [8640/50000]        1.8435              44.0900             1.5792              135            
1              [8704/50000]        1.6657              41.5300             1.6048              136            
1              [8768/50000]        1.4904              41.1000             1.6251              137            
1              [8832/50000]        1.6368              42.7800             1.6111              138            
1              [8896/50000]        1.5937              42.0800             1.6790              139            
1              [8960/50000]        1.6926              34.8700             1.9477              140            
1              [9024/50000]        1.8971              40.1200             1.6955              141            
1              [9088/50000]        1.4105              40.1800             1.6928              142            
1              [9152/50000]        1.8162              38.3600             1.7181              143            
1              [9216/50000]        1.6924              39.4200             1.7002              144            
1              [9280/50000]        1.5925              45.0900             1.5633              145            
1              [9344/50000]        1.5944              44.4700             1.5420              146            
1              [9408/50000]        1.4910              41.4300             1.6365              147            
1              [9472/50000]        1.5591              44.3600             1.5838              148            
1              [9536/50000]        1.8228              42.0700             1.5956              149            
1              [9600/50000]        1.5242              44.2500             1.5493              150            
1              [9664/50000]        1.7737              44.8800             1.5488              151            
1              [9728/50000]        1.6455              42.8900             1.6058              152            
1              [9792/50000]        1.8401              44.4500             1.5685              153            
1              [9856/50000]        1.7061              36.5300             1.8174              154            
1              [9920/50000]        1.7592              38.7100             1.7423              155            
1              [9984/50000]        1.6817              34.6100             2.0250              156            
1              [10048/50000]       2.5640              34.4900             1.9305              157            
1              [10112/50000]       2.1815              36.3100             1.8414              158            
1              [10176/50000]       1.7475              36.8100             1.7753              159            
1              [10240/50000]       2.1120              36.8300             2.1310              160            
1              [10304/50000]       1.9146              34.5000             2.1027              161            
1              [10368/50000]       2.0241              37.6200             1.8412              162            
1              [10432/50000]       1.8072              40.0300             1.7066              163            
1              [10496/50000]       1.7359              42.4900             1.6259              164            
1              [10560/50000]       1.5793              44.0400             1.5718              165            
1              [10624/50000]       1.5013              41.8100             1.6615              166            
1              [10688/50000]       1.6690              44.3200             1.5875              167            
1              [10752/50000]       1.5768              43.6200             1.5536              168            
1              [10816/50000]       1.4807              42.3800             1.6206              169            
1              [10880/50000]       1.6824              41.9100             1.6591              170            
1              [10944/50000]       1.6934              41.6700             1.6316              171            
1              [11008/50000]       1.5635              39.8600             1.6398              172            
1              [11072/50000]       1.6124              45.1300             1.5345              173            
1              [11136/50000]       1.5013              42.9500             1.6018              174            
1              [11200/50000]       1.6626              41.9600             1.6372              175            
1              [11264/50000]       1.5540              45.9600             1.5166              176            
1              [11328/50000]       1.6556              41.4200             1.6400              177            
1              [11392/50000]       1.8140              42.5100             1.6130              178            
1              [11456/50000]       1.6617              43.8000             1.5642              179            
1              [11520/50000]       1.5266              44.8400             1.5794              180            
1              [11584/50000]       1.6292              42.6600             1.5872              181            
1              [11648/50000]       1.4001              43.5900             1.5739              182            
1              [11712/50000]       1.6196              46.0300             1.5216              183            
1              [11776/50000]       1.5911              44.8800             1.5484              184            
1              [11840/50000]       1.5032              43.2500             1.6172              185            
1              [11904/50000]       1.5102              42.7900             1.5721              186            
1              [11968/50000]       1.5919              42.7700             1.5822              187            
1              [12032/50000]       1.5223              42.5600             1.6605              188            
1              [12096/50000]       1.6170              41.3700             1.7035              189            
1              [12160/50000]       1.6750              38.8100             1.6805              190            
1              [12224/50000]       1.6498              40.4600             1.6579              191            
1              [12288/50000]       1.7306              41.5600             1.7257              192            
1              [12352/50000]       1.8196              44.3300             1.6398              193            
1              [12416/50000]       1.7441              39.3800             1.6859              194            
1              [12480/50000]       1.7693              41.4400             1.6232              195            
1              [12544/50000]       1.6957              41.8700             1.6823              196            
1              [12608/50000]       1.6503              43.3500             1.5502              197            
1              [12672/50000]       1.6117              44.5900             1.5301              198            
1              [12736/50000]       1.4191              44.5500             1.5956              199            
1              [12800/50000]       1.5664              43.7300             1.5645              200            
1              [12864/50000]       1.6967              41.2200             1.6435              201            
1              [12928/50000]       1.3646              44.6300             1.5765              202            
1              [12992/50000]       1.4851              44.5000             1.5249              203            
1              [13056/50000]       1.5929              44.6000             1.5628              204            
1              [13120/50000]       1.6295              41.3800             1.6509              205            
1              [13184/50000]       1.7118              44.4300             1.5745              206            
1              [13248/50000]       1.4708              43.1900             1.5793              207            
1              [13312/50000]       1.6518              45.4600             1.5585              208            
1              [13376/50000]       1.3827              44.7700             1.5520              209            
1              [13440/50000]       1.6496              38.2400             1.7174              210            
1              [13504/50000]       1.5702              43.8000             1.5521              211            
1              [13568/50000]       1.4617              44.4400             1.5457              212            
1              [13632/50000]       1.3924              43.7600             1.5887              213            
1              [13696/50000]       1.6375              40.8400             1.7247              214            
1              [13760/50000]       1.8478              39.3200             1.7509              215            
1              [13824/50000]       1.6817              39.4600             1.7170              216            
1              [13888/50000]       1.9555              38.5300             1.7440              217            
1              [13952/50000]       1.7803              44.4400             1.5561              218            
1              [14016/50000]       1.8022              45.4400             1.5256              219            
1              [14080/50000]       1.4309              43.5600             1.5775              220            
1              [14144/50000]       1.7546              39.7800             1.7343              221            
1              [14208/50000]       1.7377              45.5100             1.5262              222            
1              [14272/50000]       1.4885              44.7600             1.5483              223            
