P%         IPA_Average          STD                  BS                  
0.0        0.007044000          0.001055000          64                  
0.0        0.008890000          0.001483000          1024                
0.1        0.007914000          0.001515000          64                  
0.1        0.009972000          0.002423000          1024                
0.2        0.008707000          0.002467000          64                  
0.2        0.010743000          0.003028000          1024                
0.3        0.009234000          0.002129000          64                  
0.3        0.011443000          0.003139000          1024                
0.4        0.008702000          0.002047000          64                  
0.4        0.011391000          0.002096000          1024                
0.5        0.008501000          0.001683000          64                  
0.5        0.011172000          0.002569000          1024                
0.6        0.007674000          0.001351000          64                  
0.6        0.010185000          0.002167000          1024                
0.7        0.006726000          0.001132000          64                  
0.7        0.009550000          0.001763000          1024                
0.8        0.005745000          0.000992000          64                  
0.8        0.007575000          0.001171000          1024                
0.9        0.004383000          0.000694000          64                  
0.9        0.005486000          0.000815000          1024                
