Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               2.2880              0
1              [64/50000]          2.2859              15.1600             16.3458             1              
1              [128/50000]         13.6988             13.5600             20.2883             2              
1              [192/50000]         19.7312             14.1500             24.3274             3              
1              [256/50000]         24.4800             12.9200             25.0780             4              
1              [320/50000]         29.8905             15.9800             22.7212             5              
1              [384/50000]         22.0426             11.3300             24.7734             6              
1              [448/50000]         24.7438             19.9000             17.0783             7              
1              [512/50000]         20.0182             15.4300             11.1752             8              
1              [576/50000]         12.2929             15.5100             10.6598             9              
1              [640/50000]         10.4878             14.7200             9.6645              10             
1              [704/50000]         8.4598              17.3300             6.9666              11             
1              [768/50000]         4.8778              20.7500             4.6183              12             
1              [832/50000]         3.5352              20.3100             4.7154              13             
1              [896/50000]         5.0094              23.7400             4.7139              14             
1              [960/50000]         4.5426              20.7100             4.9024              15             
1              [1024/50000]        6.1462              23.4800             4.6642              16             
1              [1088/50000]        5.4281              23.7800             3.4557              17             
1              [1152/50000]        3.3138              20.7900             3.5904              18             
1              [1216/50000]        3.5461              24.2100             2.9782              19             
1              [1280/50000]        2.8329              26.7300             2.7866              20             
1              [1344/50000]        3.2505              24.2400             2.7333              21             
1              [1408/50000]        2.9777              27.9300             2.6568              22             
1              [1472/50000]        2.5151              19.9500             3.2890              23             
1              [1536/50000]        3.0396              20.1600             3.2067              24             
1              [1600/50000]        3.0482              29.5200             2.6230              25             
1              [1664/50000]        2.2765              25.3100             2.4438              26             
1              [1728/50000]        2.8647              27.7200             2.6195              27             
1              [1792/50000]        2.4456              30.7300             1.9467              28             
1              [1856/50000]        1.9339              30.0700             2.0255              29             
1              [1920/50000]        2.1070              30.2400             2.2572              30             
1              [1984/50000]        2.2536              32.6000             2.1676              31             
1              [2048/50000]        2.2375              28.4900             2.1032              32             
1              [2112/50000]        2.0509              33.0600             2.0909              33             
1              [2176/50000]        2.1819              32.1600             1.9347              34             
1              [2240/50000]        1.8508              30.7400             2.0690              35             
1              [2304/50000]        2.2739              25.0300             2.3534              36             
1              [2368/50000]        2.2158              31.8800             2.4061              37             
1              [2432/50000]        2.4787              26.3500             2.6398              38             
1              [2496/50000]        2.5072              30.9800             2.4164              39             
1              [2560/50000]        2.9156              36.2500             1.9784              40             
1              [2624/50000]        2.1186              26.1300             2.8168              41             
1              [2688/50000]        2.5942              30.3500             2.1957              42             
1              [2752/50000]        1.8694              24.0100             2.3511              43             
1              [2816/50000]        2.6587              30.5300             2.6183              44             
1              [2880/50000]        2.6963              32.1800             2.1684              45             
1              [2944/50000]        2.1352              30.3400             2.1993              46             
1              [3008/50000]        2.2835              29.1800             2.5018              47             
1              [3072/50000]        2.4128              34.0500             1.9021              48             
1              [3136/50000]        1.7841              30.6800             1.9713              49             
1              [3200/50000]        1.8687              31.5500             2.2153              50             
1              [3264/50000]        2.1118              34.2200             1.9831              51             
1              [3328/50000]        2.1366              35.5500             2.0969              52             
1              [3392/50000]        2.2697              33.5200             2.0232              53             
