P%         IPA_Average          STD                  BS                  
0.0        0.006947000          0.001187000          64                  
0.0        0.008595000          0.001455000          1024                
0.1        0.007290000          0.000988000          64                  
0.1        0.008871000          0.001892000          1024                
0.2        0.007382000          0.001100000          64                  
0.2        0.009186000          0.001481000          1024                
0.3        0.007481000          0.001165000          64                  
0.3        0.009509000          0.002059000          1024                
0.4        0.007961000          0.001677000          64                  
0.4        0.010152000          0.002433000          1024                
0.5        0.008193000          0.001409000          64                  
0.5        0.010419000          0.002412000          1024                
0.6        0.008775000          0.001913000          64                  
0.6        0.010930000          0.002505000          1024                
0.7        0.008848000          0.001889000          64                  
0.7        0.010920000          0.001832000          1024                
0.8        0.008686000          0.001587000          64                  
0.8        0.010517000          0.002278000          1024                
0.9        0.007388000          0.001423000          64                  
0.9        0.009282000          0.001862000          1024                
