P%         IPA_Highest          STD                  BS                  
0.0        0.008595000          0.001455000          1024                
0.1        0.008871000          0.001892000          1024                
0.2        0.009186000          0.001481000          1024                
0.3        0.009509000          0.002059000          1024                
0.4        0.010152000          0.002433000          1024                
0.5        0.010419000          0.002412000          1024                
0.6        0.010930000          0.002505000          1024                
0.7        0.010920000          0.001832000          1024                
0.8        0.010517000          0.002278000          1024                
0.9        0.009282000          0.001862000          1024                
