Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               2.3036              0
1              [64/50000]          2.3115              19.5100             5.2403              1              
1              [128/50000]         5.0218              13.3800             5.5718              2              
1              [192/50000]         5.0928              13.3000             6.0941              3              
1              [256/50000]         6.2920              15.6900             5.1247              4              
1              [320/50000]         4.8260              12.7400             4.9577              5              
1              [384/50000]         5.0665              14.8000             4.0134              6              
1              [448/50000]         4.0441              14.3400             3.1195              7              
1              [512/50000]         3.1584              19.6000             2.6240              8              
1              [576/50000]         2.5821              20.2700             2.2990              9              
1              [640/50000]         2.0872              26.8100             2.0373              10             
1              [704/50000]         2.0630              28.0800             2.0293              11             
1              [768/50000]         2.0570              28.6300             1.9911              12             
1              [832/50000]         1.9575              28.2900             1.9963              13             
1              [896/50000]         1.9524              32.0200             1.9120              14             
1              [960/50000]         1.9535              27.3600             1.9642              15             
1              [1024/50000]        1.9046              29.4100             1.9796              16             
1              [1088/50000]        2.1572              14.4700             2.7278              17             
1              [1152/50000]        2.8283              28.3500             2.2856              18             
1              [1216/50000]        1.9951              28.0500             2.1067              19             
1              [1280/50000]        2.2339              30.4600             1.9819              20             
1              [1344/50000]        1.6624              32.7000             1.9106              21             
1              [1408/50000]        2.0023              34.0400             1.8773              22             
1              [1472/50000]        1.7804              35.7100             1.8295              23             
1              [1536/50000]        1.8084              36.3500             1.8290              24             
1              [1600/50000]        1.8477              35.6000             1.8359              25             
1              [1664/50000]        1.7040              31.8000             1.9037              26             
1              [1728/50000]        1.8466              36.2600             1.8150              27             
1              [1792/50000]        1.6456              31.2900             1.9334              28             
1              [1856/50000]        1.7446              33.5200             1.8939              29             
1              [1920/50000]        1.9797              29.8100             1.9745              30             
1              [1984/50000]        1.9646              33.1000             1.8782              31             
1              [2048/50000]        1.8328              33.6700             1.8640              32             
1              [2112/50000]        2.0878              32.2800             1.9169              33             
1              [2176/50000]        1.8928              32.1300             1.9331              34             
1              [2240/50000]        1.8174              27.4600             2.0447              35             
1              [2304/50000]        2.0863              32.3800             1.9073              36             
1              [2368/50000]        1.9869              35.4300             1.8722              37             
1              [2432/50000]        1.8439              36.7600             1.8000              38             
1              [2496/50000]        1.6018              34.5100             1.8378              39             
1              [2560/50000]        1.9907              35.3400             1.8530              40             
1              [2624/50000]        1.9076              37.7200             1.7997              41             
1              [2688/50000]        1.8691              35.3100             1.8325              42             
1              [2752/50000]        1.8902              33.1700             1.8585              43             
1              [2816/50000]        1.8802              36.3800             1.7877              44             
1              [2880/50000]        1.8053              34.5100             1.8240              45             
1              [2944/50000]        1.8560              37.4500             1.7673              46             
1              [3008/50000]        1.8736              36.0400             1.8179              47             
1              [3072/50000]        1.6479              34.1700             1.8551              48             
1              [3136/50000]        1.6334              37.1700             1.7901              49             
1              [3200/50000]        1.7218              35.8200             1.7727              50             
1              [3264/50000]        1.7639              32.3100             1.8888              51             
1              [3328/50000]        1.8595              34.6700             1.8908              52             
1              [3392/50000]        1.8831              38.1500             1.7510              53             
1              [3456/50000]        1.5972              35.5000             1.8287              54             
1              [3520/50000]        1.6448              37.5500             1.7615              55             
1              [3584/50000]        1.7621              37.2900             1.8025              56             
1              [3648/50000]        1.8936              32.0900             1.8393              57             
1              [3712/50000]        1.6319              40.6200             1.7147              58             
1              [3776/50000]        1.8003              37.7400             1.7688              59             
1              [3840/50000]        2.1277              37.0800             1.7809              60             
1              [3904/50000]        1.7810              36.3800             1.7733              61             
1              [3968/50000]        1.9174              39.3300             1.7413              62             
1              [4032/50000]        1.6708              40.1200             1.7315              63             
1              [4096/50000]        1.7509              39.1800             1.7275              64             
1              [4160/50000]        1.8490              37.5600             1.7774              65             
1              [4224/50000]        1.5524              39.6900             1.7218              66             
1              [4288/50000]        1.8319              34.9300             1.8735              67             
1              [4352/50000]        1.7420              37.4100             1.7381              68             
1              [4416/50000]        1.6477              36.8500             1.7941              69             
1              [4480/50000]        1.7027              40.3400             1.6944              70             
1              [4544/50000]        1.6693              38.9800             1.7233              71             
1              [4608/50000]        1.6751              38.8100             1.7329              72             
1              [4672/50000]        1.6792              39.2300             1.7094              73             
1              [4736/50000]        1.6780              37.0400             1.7512              74             
1              [4800/50000]        2.0067              37.8800             1.7555              75             
1              [4864/50000]        1.6102              39.8500             1.6957              76             
1              [4928/50000]        1.8166              39.6400             1.7164              77             
1              [4992/50000]        1.8845              36.5900             1.7766              78             
1              [5056/50000]        1.8338              39.9500             1.6845              79             
1              [5120/50000]        1.6823              29.5300             2.0053              80             
1              [5184/50000]        2.4989              36.9100             1.8163              81             
1              [5248/50000]        1.8735              31.1800             1.8772              82             
1              [5312/50000]        1.9627              37.5000             1.7385              83             
1              [5376/50000]        1.8926              37.0900             1.7551              84             
1              [5440/50000]        1.7085              39.9600             1.6723              85             
1              [5504/50000]        1.7721              38.0500             1.7362              86             
1              [5568/50000]        1.8227              38.8400             1.6865              87             
1              [5632/50000]        1.8746              39.0600             1.7023              88             
1              [5696/50000]        1.9007              38.6200             1.7160              89             
1              [5760/50000]        1.5356              38.4100             1.7099              90             
1              [5824/50000]        1.8244              36.9200             1.7410              91             
1              [5888/50000]        1.7013              36.1100             1.7783              92             
1              [5952/50000]        1.6621              36.4800             1.7337              93             
1              [6016/50000]        1.7785              41.7200             1.6903              94             
1              [6080/50000]        1.5284              40.5000             1.6721              95             
1              [6144/50000]        1.5871              41.4300             1.6674              96             
1              [6208/50000]        1.7242              39.9800             1.7106              97             
1              [6272/50000]        1.7195              38.4600             1.7279              98             
1              [6336/50000]        1.6283              33.7500             1.8143              99             
1              [6400/50000]        1.7350              36.7700             1.7524              100            
1              [6464/50000]        1.8727              42.4700             1.6759              101            
1              [6528/50000]        1.5217              42.7300             1.6294              102            
1              [6592/50000]        1.6464              35.7500             1.7430              103            
1              [6656/50000]        1.6662              40.6300             1.6688              104            
1              [6720/50000]        1.4994              39.2200             1.7094              105            
1              [6784/50000]        1.7345              37.6200             1.7403              106            
1              [6848/50000]        1.6102              41.8100             1.6409              107            
1              [6912/50000]        1.7853              40.6100             1.6703              108            
1              [6976/50000]        1.6082              37.9100             1.7121              109            
1              [7040/50000]        1.8530              42.5600             1.6140              110            
1              [7104/50000]        1.6182              38.0600             1.7121              111            
1              [7168/50000]        1.8489              42.1100             1.6384              112            
1              [7232/50000]        1.8299              37.4900             1.7191              113            
1              [7296/50000]        1.6834              38.3400             1.6858              114            
1              [7360/50000]        1.7016              41.2000             1.6462              115            
1              [7424/50000]        1.6998              39.6100             1.6507              116            
1              [7488/50000]        1.6897              43.8800             1.6015              117            
1              [7552/50000]        1.4556              39.9600             1.6753              118            
1              [7616/50000]        1.7523              39.4100             1.6827              119            
1              [7680/50000]        1.6723              41.4600             1.6107              120            
1              [7744/50000]        1.6283              42.1100             1.6295              121            
1              [7808/50000]        1.6470              42.0200             1.6264              122            
1              [7872/50000]        1.7643              41.5800             1.6117              123            
1              [7936/50000]        1.7457              40.7200             1.6634              124            
1              [8000/50000]        1.8280              32.1700             1.9568              125            
1              [8064/50000]        2.1352              37.9600             1.7838              126            
1              [8128/50000]        1.7787              38.5700             1.7071              127            
1              [8192/50000]        1.6898              37.3900             1.7526              128            
1              [8256/50000]        1.8188              40.6300             1.7511              129            
1              [8320/50000]        1.7304              39.3600             1.6987              130            
1              [8384/50000]        1.7395              43.0500             1.5931              131            
1              [8448/50000]        1.7695              43.4400             1.6017              132            
1              [8512/50000]        1.6372              43.1000             1.5879              133            
1              [8576/50000]        1.5417              43.4800             1.5886              134            
1              [8640/50000]        1.6131              41.0500             1.6135              135            
1              [8704/50000]        1.6059              44.9200             1.5728              136            
1              [8768/50000]        1.5806              40.6000             1.6312              137            
1              [8832/50000]        1.6385              42.7400             1.5807              138            
1              [8896/50000]        1.4372              44.3300             1.5796              139            
