Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               2.3087              0
1              [64/50000]          2.3117              17.4400             19.4109             1              
1              [128/50000]         18.5432             13.3800             16.6720             2              
1              [192/50000]         14.9756             15.5000             18.9693             3              
1              [256/50000]         18.8570             10.0000             27.0849             4              
1              [320/50000]         26.4007             17.8200             19.9755             5              
1              [384/50000]         19.1666             11.5800             17.5902             6              
1              [448/50000]         17.9795             14.5900             14.0584             7              
1              [512/50000]         11.6330             23.4200             8.3971              8              
1              [576/50000]         6.7961              14.0700             10.5580             9              
1              [640/50000]         10.4287             22.5300             7.7960              10             
1              [704/50000]         5.5298              17.5200             7.0016              11             
1              [768/50000]         6.6681              17.1000             7.9316              12             
1              [832/50000]         8.9688              19.3000             6.6414              13             
1              [896/50000]         6.6270              17.9500             4.6452              14             
1              [960/50000]         4.4849              24.6100             3.3758              15             
1              [1024/50000]        3.6292              22.1500             4.1661              16             
1              [1088/50000]        3.7950              27.0600             3.5878              17             
1              [1152/50000]        3.2547              27.0500             2.7242              18             
1              [1216/50000]        2.6255              31.5500             2.5464              19             
1              [1280/50000]        2.3496              25.6400             3.4473              20             
1              [1344/50000]        3.7629              25.5200             3.4497              21             
1              [1408/50000]        3.3446              25.7600             2.7394              22             
1              [1472/50000]        2.8622              26.2200             2.7565              23             
1              [1536/50000]        3.0312              22.4600             3.3826              24             
1              [1600/50000]        3.3041              22.9500             3.5876              25             
1              [1664/50000]        3.7791              28.7200             2.8389              26             
1              [1728/50000]        2.9626              23.6100             2.9377              27             
1              [1792/50000]        3.1978              13.0400             3.9180              28             
1              [1856/50000]        3.6725              22.7200             3.8413              29             
1              [1920/50000]        4.0786              29.6400             3.5265              30             
1              [1984/50000]        3.6545              32.1200             2.6377              31             
1              [2048/50000]        2.2682              31.3200             2.3497              32             
1              [2112/50000]        2.7968              23.8400             2.9246              33             
1              [2176/50000]        3.5662              27.0400             3.0450              34             
1              [2240/50000]        3.1511              28.9600             2.3794              35             
1              [2304/50000]        2.5588              31.1100             2.3649              36             
1              [2368/50000]        2.8408              25.7600             2.5175              37             
1              [2432/50000]        2.3522              27.2900             2.5120              38             
1              [2496/50000]        2.2356              27.7700             2.3104              39             
1              [2560/50000]        2.4233              31.2100             2.2557              40             
1              [2624/50000]        2.3818              32.1200             2.0263              41             
1              [2688/50000]        2.0312              28.0600             2.4543              42             
1              [2752/50000]        2.9784              22.8600             2.5340              43             
1              [2816/50000]        2.5890              23.0400             2.9916              44             
1              [2880/50000]        2.2739              29.7100             2.6622              45             
1              [2944/50000]        2.4973              29.0200             2.2457              46             
1              [3008/50000]        2.1457              28.4100             2.3101              47             
1              [3072/50000]        2.5517              28.4100             2.5296              48             
1              [3136/50000]        2.7763              27.9700             2.3384              49             
1              [3200/50000]        2.2371              26.0700             2.2591              50             
1              [3264/50000]        2.2732              32.5900             2.0033              51             
1              [3328/50000]        1.9184              32.5900             1.9372              52             
1              [3392/50000]        2.0767              34.4900             2.0507              53             
1              [3456/50000]        2.2659              37.4000             1.7614              54             
1              [3520/50000]        1.7620              36.7200             1.8670              55             
1              [3584/50000]        1.8649              35.0000             1.7979              56             
1              [3648/50000]        1.7655              35.4200             1.9135              57             
1              [3712/50000]        1.8674              35.6500             2.0308              58             
1              [3776/50000]        1.6270              36.5200             1.8672              59             
1              [3840/50000]        2.1502              30.6800             2.0017              60             
1              [3904/50000]        2.1473              29.3500             2.5082              61             
1              [3968/50000]        2.5182              24.8000             2.4948              62             
1              [4032/50000]        2.6397              32.2800             2.0878              63             
1              [4096/50000]        1.9815              35.9900             1.8398              64             
1              [4160/50000]        2.1294              28.5600             2.2792              65             
1              [4224/50000]        2.5204              32.1100             2.3537              66             
1              [4288/50000]        2.7889              29.8200             2.1034              67             
1              [4352/50000]        2.3380              36.4200             1.9777              68             
1              [4416/50000]        2.0022              28.2900             2.0349              69             
1              [4480/50000]        2.0008              40.2500             1.7298              70             
1              [4544/50000]        1.8907              37.7500             1.7775              71             
1              [4608/50000]        1.8736              31.9900             2.0201              72             
1              [4672/50000]        1.9019              38.9100             1.7488              73             
1              [4736/50000]        1.5290              32.0200             1.9693              74             
1              [4800/50000]        2.0612              32.0300             2.0316              75             
1              [4864/50000]        2.1151              27.1300             2.1476              76             
1              [4928/50000]        2.0247              34.6000             1.9704              77             
1              [4992/50000]        2.2939              35.6400             2.1129              78             
1              [5056/50000]        2.4675              36.7100             1.9433              79             
1              [5120/50000]        1.9031              29.3900             2.1388              80             
1              [5184/50000]        2.1037              38.1700             1.7926              81             
1              [5248/50000]        1.6296              42.6500             1.6447              82             
1              [5312/50000]        1.5557              41.2100             1.6853              83             
1              [5376/50000]        1.6950              36.7300             1.8078              84             
1              [5440/50000]        1.7656              40.8000             1.6751              85             
1              [5504/50000]        1.8354              35.3000             1.8289              86             
1              [5568/50000]        1.9021              35.8100             1.8681              87             
1              [5632/50000]        1.7566              37.4700             1.7783              88             
1              [5696/50000]        1.8394              38.1900             1.7843              89             
1              [5760/50000]        1.8903              40.9000             1.7020              90             
1              [5824/50000]        2.0114              35.9000             1.8305              91             
1              [5888/50000]        1.8372              41.4100             1.6636              92             
1              [5952/50000]        1.7037              39.9100             1.7137              93             
1              [6016/50000]        1.6652              40.7200             1.6974              94             
1              [6080/50000]        1.9544              35.4100             1.9041              95             
1              [6144/50000]        2.0902              36.4200             1.8482              96             
1              [6208/50000]        1.7789              36.2800             1.8405              97             
1              [6272/50000]        2.1689              34.3300             1.9446              98             
1              [6336/50000]        1.6248              43.1100             1.6052              99             
1              [6400/50000]        1.6419              35.1800             1.8130              100            
1              [6464/50000]        1.9428              29.0600             2.0462              101            
1              [6528/50000]        1.8612              30.1000             2.0459              102            
1              [6592/50000]        2.0679              37.7900             1.7357              103            
1              [6656/50000]        1.6197              40.1600             1.6803              104            
1              [6720/50000]        1.5157              43.7000             1.5934              105            
1              [6784/50000]        1.3987              40.0300             1.6772              106            
1              [6848/50000]        1.6597              38.3200             1.7407              107            
1              [6912/50000]        1.5391              43.3400             1.6048              108            
1              [6976/50000]        1.5595              38.0800             1.8004              109            
1              [7040/50000]        1.7917              36.9600             1.8031              110            
1              [7104/50000]        1.7374              40.9600             1.7098              111            
1              [7168/50000]        1.8278              37.6600             1.7679              112            
1              [7232/50000]        1.5323              38.2800             1.8022              113            
1              [7296/50000]        1.9684              41.5300             1.7361              114            
1              [7360/50000]        1.5691              34.3100             1.9427              115            
1              [7424/50000]        2.0937              31.9200             1.9956              116            
1              [7488/50000]        1.9990              36.4300             1.9754              117            
1              [7552/50000]        1.7441              37.0800             1.8318              118            
1              [7616/50000]        1.9506              38.2800             1.7647              119            
1              [7680/50000]        1.7319              39.1900             1.7322              120            
1              [7744/50000]        1.6295              37.2200             1.7029              121            
1              [7808/50000]        1.6032              38.6700             1.7198              122            
1              [7872/50000]        1.8033              39.3300             1.6985              123            
1              [7936/50000]        1.9252              35.9400             1.7550              124            
1              [8000/50000]        1.7946              37.7900             1.7650              125            
1              [8064/50000]        1.9048              38.9300             1.7368              126            
1              [8128/50000]        1.8186              42.7100             1.6137              127            
1              [8192/50000]        1.4961              44.1200             1.5760              128            
1              [8256/50000]        1.5649              36.9100             1.7279              129            
1              [8320/50000]        1.8582              37.9200             1.7252              130            
1              [8384/50000]        1.6911              40.6100             1.7365              131            
1              [8448/50000]        1.7867              34.0800             1.8743              132            
1              [8512/50000]        2.2266              32.0500             2.2179              133            
1              [8576/50000]        2.3757              36.0800             1.7792              134            
1              [8640/50000]        1.6882              41.5700             1.6872              135            
1              [8704/50000]        1.7852              36.7900             1.7550              136            
1              [8768/50000]        1.7650              37.8100             1.7739              137            
1              [8832/50000]        1.6698              43.6400             1.5664              138            
1              [8896/50000]        1.5488              44.1100             1.5686              139            
1              [8960/50000]        1.6435              39.3500             1.6673              140            
1              [9024/50000]        1.9514              36.6200             1.7842              141            
1              [9088/50000]        1.7749              40.1600             1.6421              142            
