P%         IPA_Average          STD                  BS                  
0.0        0.006976000          0.001508000          64                  
0.0        0.008550000          0.001507000          1024                
0.1        0.007380000          0.001333000          64                  
0.1        0.009357000          0.002384000          1024                
0.2        0.007486000          0.001633000          64                  
0.2        0.009637000          0.002607000          1024                
0.3        0.007848000          0.001921000          64                  
0.3        0.010522000          0.002834000          1024                
0.4        0.008771000          0.002287000          64                  
0.4        0.010900000          0.003735000          1024                
0.5        0.009376000          0.002732000          64                  
0.5        0.011787000          0.004254000          1024                
0.6        0.009878000          0.002953000          64                  
0.6        0.011931000          0.004029000          1024                
0.7        0.010359000          0.003267000          64                  
0.7        0.013352000          0.004918000          1024                
0.8        0.010617000          0.003271000          64                  
0.8        0.012245000          0.003777000          1024                
0.9        0.009769000          0.002279000          64                  
0.9        0.012452000          0.003300000          1024                
