P%         IPA_Average          STD                  BS                  
0.0        0.006926000          0.001338000          64                  
0.0        0.008781000          0.001983000          1024                
0.1        0.007127000          0.001280000          64                  
0.1        0.008999000          0.002169000          1024                
0.2        0.007475000          0.001279000          64                  
0.2        0.009348000          0.001943000          1024                
0.3        0.007785000          0.001741000          64                  
0.3        0.010130000          0.002570000          1024                
0.4        0.008274000          0.001981000          64                  
0.4        0.009810000          0.001933000          1024                
0.5        0.008537000          0.002093000          64                  
0.5        0.010798000          0.002757000          1024                
0.6        0.009082000          0.002481000          64                  
0.6        0.010853000          0.002963000          1024                
0.7        0.009756000          0.003286000          64                  
0.7        0.011045000          0.003284000          1024                
0.8        0.009515000          0.002609000          64                  
0.8        0.010961000          0.002825000          1024                
0.9        0.008413000          0.001910000          64                  
0.9        0.010690000          0.002317000          1024                
