P%         IPA_Highest          STD                  BS                  
0.0        0.008781000          0.001983000          1024                
0.1        0.008999000          0.002169000          1024                
0.2        0.009348000          0.001943000          1024                
0.3        0.010130000          0.002570000          1024                
0.4        0.009810000          0.001933000          1024                
0.5        0.010798000          0.002757000          1024                
0.6        0.010853000          0.002963000          1024                
0.7        0.011045000          0.003284000          1024                
0.8        0.010961000          0.002825000          1024                
0.9        0.010690000          0.002317000          1024                
