Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,4.609423,9.02,100
1,4.609466,5.773051000000001,2.5599000000000003,100
2,5.760403999999999,9.317928,1.6581000000000001,100
3,9.263169,10.698671,1.5147,100
4,10.681199,10.24127,1.6991999999999998,100
5,10.187605999999999,9.185997,1.786,100
6,9.170931,7.973163,2.1106,100
7,7.923877,6.989732,2.5234,100
8,6.991579000000001,6.222917,2.9539,100
9,6.198170999999999,5.606223,3.5852999999999997,100
10,5.6047389999999995,5.183561999999999,4.2402999999999995,100
11,5.17841,4.881855,5.124700000000001,100
12,4.874242,4.683131,5.833200000000001,100
13,4.671588,4.537269,6.8044,100
14,4.539229,4.438965,7.3137,100
15,4.425826,4.369199,7.8466,100
16,4.364237,4.3151839999999995,8.279,100
17,4.316833,4.2706349999999995,8.6209,100
18,4.26561,4.228792,9.0772,100
19,4.2289460000000005,4.1945179999999995,9.2773,100
20,4.191037,4.166057,9.5623,100
21,4.165574,4.139647,9.7532,100
22,4.134575,4.108142,10.2265,100
23,4.11129,4.083055,10.5001,100
24,4.079806,4.0638630000000004,10.6711,100
25,4.062499,4.041748,10.888900000000001,100
26,4.036675,4.020582,11.0124,100
27,4.016901000000001,4.002435,11.280899999999999,100
28,3.996941,3.986055,11.437000000000001,100
29,3.9846440000000003,3.966817,11.6671,100
30,3.9694439999999998,3.948918,11.9459,100
31,3.947127,3.936185,12.060899999999998,100
32,3.930779,3.9246730000000003,12.2183,100
33,3.9258460000000004,3.9200880000000002,11.991700000000002,100
34,3.9162079999999997,3.9101,12.3504,100
35,3.90547,3.889862,12.511,100
36,3.88533,3.874006,12.7797,100
37,3.867731,3.861621,12.8818,100
38,3.85534,3.854958,12.943700000000002,100
39,3.8474630000000003,3.849844,13.0349,100
40,3.8481360000000002,3.8400540000000003,13.212,100
41,3.8326209999999996,3.8281799999999997,13.3625,100
42,3.8222899999999997,3.8204160000000003,13.4477,100
43,3.819201,3.816554,13.545399999999999,100
44,3.807361,3.795008,13.8082,100
45,3.789146,3.788922,13.9,100
46,3.7755360000000002,3.7816989999999997,14.0908,100
47,3.768182,3.775956,14.0246,100
48,3.7738929999999997,3.7711360000000003,14.1581,100
49,3.7698590000000003,3.775609,13.9145,100
50,3.6974869999999997,3.767274,14.145199999999999,100
51,3.689292,3.7593810000000003,14.3201,100
52,3.678551,3.747262,14.498199999999999,100
53,3.672199,3.741784,14.603900000000001,100
54,3.667832,3.7323579999999996,14.6823,100
55,3.655425,3.722065,14.9679,100
56,3.653573,3.718578,15.064400000000001,100
57,3.641492,3.7165929999999996,14.905,100
58,3.645438,3.7145889999999997,15.014100000000001,100
59,3.641237,3.7065249999999996,15.1406,100
60,3.6317399999999997,3.691615,15.4301,100
61,3.6214749999999998,3.687489,15.3998,100
62,3.613729,3.6863580000000002,15.4858,100
63,3.610639,3.679966,15.5121,100
64,3.611144,3.682652,15.6165,100
65,3.6138619999999997,3.6769249999999998,15.5908,100
66,3.6067540000000005,3.6668250000000002,15.878800000000002,100
67,3.5963979999999998,3.6585360000000002,15.9879,100
68,3.588575,3.652771,16.0308,100
69,3.584158,3.643281,16.2685,100
70,3.566555,3.6325330000000005,16.4531,100
71,3.5613240000000004,3.627983,16.348599999999998,100
72,3.558177,3.6268239999999996,16.5311,100
73,3.556679,3.615559,16.6555,100
74,3.542103,3.6070830000000003,16.8361,100
75,3.5394729999999996,3.6028840000000004,16.8262,100
