Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               4.6126              0
1              [1024/50000]        4.6144              2.1100              6.2884              1              
1              [2048/50000]        6.2588              1.8400              9.7197              2              
1              [3072/50000]        9.8137              2.1800              9.5285              3              
1              [4096/50000]        9.1775              2.0700              8.3578              4              
1              [5120/50000]        8.0694              2.6100              7.5271              5              
1              [6144/50000]        7.4877              3.0600              6.3285              6              
1              [7168/50000]        6.3298              3.0000              5.6789              7              
1              [8192/50000]        5.6192              3.4300              5.0616              8              
1              [9216/50000]        5.0783              4.6600              4.7848              9              
1              [10240/50000]       4.6995              5.4500              4.5663              10             
1              [11264/50000]       4.5409              7.2600              4.3336              11             
1              [12288/50000]       4.3093              7.2600              4.2202              12             
1              [13312/50000]       4.1754              7.1900              4.1888              13             
1              [14336/50000]       4.1731              9.1900              4.1484              14             
1              [15360/50000]       4.1319              10.5400             4.0991              15             
1              [16384/50000]       4.0658              9.7600              4.0880              16             
1              [17408/50000]       4.1183              8.9300              4.0805              17             
1              [18432/50000]       4.0321              11.3300             4.0402              18             
1              [19456/50000]       4.0628              10.1100             4.0026              19             
1              [20480/50000]       4.0485              10.5100             3.9997              20             
1              [21504/50000]       3.9531              11.3700             3.9695              21             
1              [22528/50000]       3.9769              10.3900             4.0019              22             
1              [23552/50000]       4.0464              11.2600             3.9925              23             
1              [24576/50000]       3.9954              11.2300             3.9962              24             
1              [25600/50000]       4.0092              12.3100             3.9571              25             
1              [26624/50000]       3.9616              11.6100             3.9057              26             
1              [27648/50000]       3.8740              13.2500             3.8966              27             
1              [28672/50000]       3.8489              10.9500             3.9429              28             
1              [29696/50000]       3.9196              11.3800             3.9695              29             
1              [30720/50000]       3.8985              11.8400             3.9652              30             
1              [31744/50000]       4.0281              11.8400             3.9287              31             
1              [32768/50000]       3.8971              12.1000             3.9146              32             
1              [33792/50000]       3.9516              13.0500             3.8832              33             
1              [34816/50000]       3.7860              12.4600             3.8390              34             
1              [35840/50000]       3.8376              13.5800             3.8368              35             
1              [36864/50000]       3.8052              14.9800             3.7705              36             
1              [37888/50000]       3.8552              14.4400             3.7659              37             
1              [38912/50000]       3.7481              13.6400             3.7804              38             
1              [39936/50000]       3.7759              12.5000             3.8833              39             
1              [40960/50000]       3.8945              12.2200             3.9004              40             
1              [41984/50000]       3.8824              13.1800             3.8240              41             
1              [43008/50000]       3.8252              12.3000             3.8843              42             
1              [44032/50000]       3.8738              12.8600             3.9448              43             
1              [45056/50000]       3.9343              13.3700             3.8079              44             
1              [46080/50000]       3.7897              14.1100             3.7546              45             
