Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,4.607267,9.02,100
1,4.607146,4.697694,2.3903,100
2,4.699451,5.213036,2.4175,100
3,5.213129,5.399863,2.6526,100
4,5.3847059999999995,5.405867,2.9794,100
5,5.374706,5.231648,3.4049,100
6,5.21704,5.00976,3.842,100
7,5.015702999999999,4.776565,4.4901,100
8,4.76955,4.545625,5.2534,100
9,4.544653,4.390186,6.1287,100
10,4.384611,4.287413,6.7292,100
11,4.278751,4.220539,7.4058,100
12,4.221006,4.174516,7.8541,100
13,4.1767840000000005,4.141062,8.2246,100
14,4.138382,4.115569,8.4637,100
15,4.112701,4.09575,8.7577,100
16,4.08872,4.067355,9.0774,100
17,4.0640789999999996,4.046715,9.3837,100
18,4.041411,4.032301,9.5266,100
19,4.031456,4.011691,9.8216,100
20,4.004306000000001,3.9936290000000003,10.051499999999999,100
21,3.993703,3.981896,10.245999999999999,100
22,3.9757529999999996,3.9666390000000002,10.5744,100
23,3.9589600000000003,3.95382,10.6623,100
24,3.943939,3.9365249999999996,10.908,100
25,3.9270229999999997,3.928027,11.0966,100
26,3.924776,3.922389,11.174900000000001,100
27,3.913105,3.9091210000000003,11.398,100
28,3.8995979999999997,3.903834,11.522,100
29,3.9051850000000004,3.889738,11.6395,100
30,3.8850420000000003,3.8729489999999998,12.044400000000001,100
31,3.8683769999999997,3.864584,12.1601,100
32,3.855264,3.854479,12.1774,100
33,3.848061,3.849008,12.341199999999999,100
34,3.843935,3.840576,12.466099999999999,100
35,3.8386219999999995,3.838938,12.5852,100
36,3.83906,3.830338,12.6788,100
37,3.823779,3.8194850000000002,12.85,100
38,3.812967,3.808553,13.0024,100
39,3.806544,3.800385,13.1807,100
40,3.791913,3.79228,13.376900000000001,100
41,3.783849,3.784381,13.488599999999998,100
42,3.782565,3.7741949999999997,13.6434,100
43,3.7639769999999997,3.765122,13.8127,100
44,3.755594,3.7623919999999997,13.786,100
45,3.757025,3.7541390000000003,13.927,100
46,3.748249,3.751731,14.0797,100
47,3.7468500000000002,3.7486720000000004,14.0419,100
48,3.7408010000000003,3.738091,14.3578,100
49,3.7295010000000004,3.740532,14.1742,100
50,3.676712,3.733947,14.4676,100
51,3.6745609999999997,3.7222250000000003,14.6229,100
52,3.662491,3.718447,14.6041,100
53,3.6507479999999997,3.717068,14.666099999999998,100
54,3.6614769999999996,3.714251,14.736500000000001,100
55,3.6589490000000002,3.707064,14.9617,100
56,3.646963,3.701574,14.988599999999998,100
57,3.633162,3.688363,15.207799999999999,100
58,3.619517,3.6803250000000003,15.3097,100
59,3.619178,3.6773700000000002,15.4132,100
60,3.610262,3.674108,15.426099999999998,100
61,3.6142540000000003,3.673696,15.418199999999999,100
62,3.623001,3.664108,15.685699999999999,100
63,3.6007249999999997,3.657737,15.8134,100
64,3.596175,3.6609179999999997,15.723199999999999,100
65,3.6027109999999998,3.652984,15.8773,100
66,3.596066,3.654778,15.948599999999999,100
67,3.6043740000000004,3.655117,15.8215,100
68,3.6101319999999997,3.6480919999999997,16.0134,100
69,3.602955,3.641064,16.089000000000002,100
70,3.595676,3.6312200000000003,16.2871,100
71,3.571144,3.621447,16.5393,100
72,3.568267,3.617932,16.5153,100
73,3.5619400000000003,3.619525,16.4873,100
74,3.5676979999999996,3.6151940000000002,16.5488,100
75,3.564388,3.6085359999999995,16.6651,100
76,3.55389,3.601972,16.782,100
77,3.552962,3.594961,16.9298,100
78,3.545315,3.5894779999999997,16.9777,100
79,3.5319670000000003,3.5891800000000003,17.0875,100
80,3.538067,3.582292,17.209500000000002,100
81,3.531481,3.584171,17.0825,100
82,3.538856,3.589428,17.0958,100
83,3.537391,3.581753,17.198600000000003,100
84,3.5333330000000003,3.570817,17.3936,100
85,3.516433,3.564053,17.5198,100
86,3.525127,3.562,17.6295,100
87,3.50534,3.553039,17.6996,100
88,3.493091,3.556915,17.6266,100
89,3.51226,3.5586399999999996,17.703699999999998,100
90,3.4950069999999998,3.549176,17.8102,100
91,3.5028930000000003,3.544013,17.9892,100
92,3.4999759999999998,3.542234,17.9896,100
93,3.496993,3.538334,18.074,100
