Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,4.612542,9.02,100
1,4.614042,17.528341,1.8107,100
2,17.522065,17.413615,1.4723,100
3,17.360456,18.396338,1.3838,100
4,18.622543,18.100739,1.4386,100
5,18.164049,16.311903,1.5009000000000001,100
6,16.204857999999998,14.909139,1.63,100
7,14.846386,13.086903999999999,1.6932,100
8,12.964245,11.502405000000001,1.7978999999999998,100
9,11.529558,10.358376,1.8043,100
10,10.320291,9.191534,1.9499000000000002,100
11,9.168913,8.391031,1.9723,100
12,8.425526,7.651306,2.0667,100
13,7.633401,6.9714599999999995,2.2743,100
14,6.980315000000001,6.464707999999999,2.4765,100
15,6.445943,6.058442,2.7489,100
16,6.015763,5.768646,2.7799,100
17,5.779561999999999,5.549104,3.0309,100
18,5.540884,5.311107,3.3124000000000002,100
19,5.285234,5.147749,3.4164,100
20,5.105829,4.998943,3.7194,100
21,5.004659,4.898270999999999,3.9375999999999998,100
22,4.89772,4.828679,4.059,100
23,4.816541,4.776999,4.1518,100
24,4.768371,4.712864,4.352,100
25,4.713963,4.651425,4.5470999999999995,100
26,4.635988,4.60332,4.8563,100
27,4.609748,4.571078,4.9326,100
28,4.588274999999999,4.56551,4.8708,100
29,4.564915,4.5284949999999995,5.0769,100
30,4.479787,4.519512000000001,5.145499999999999,100
31,4.521075,4.493062,5.3024000000000004,100
32,4.52335,4.465695999999999,5.6018,100
33,4.484424000000001,4.43319,5.6704,100
34,4.4300239999999995,4.420329,5.725700000000001,100
35,4.419501,4.424023,5.742999999999999,100
36,4.404249,4.408953,5.8293,100
37,4.4223930000000005,4.400498,5.8999,100
38,4.394592,4.381056,6.114199999999999,100
39,4.393409,4.375631,6.034299999999999,100
40,4.375122,4.368846,6.1889,100
41,4.382602,4.346114,6.3713,100
42,4.380132,4.349685,6.312,100
43,4.364891,4.34083,6.3327,100
44,4.339164,4.351755,6.2139999999999995,100
45,4.364106,4.349429,6.349,100
46,4.333196,4.33497,6.546799999999999,100
47,4.294475,4.317093,6.7181,100
48,4.321822,4.304519,6.868200000000001,100
49,4.280505,4.322664,6.6770000000000005,100
50,4.3139,4.315589,6.738300000000001,100
51,4.298011,4.3062130000000005,6.8081,100
52,4.294664,4.3019110000000005,6.9605999999999995,100
53,4.3115179999999995,4.293595,6.960800000000001,100
54,4.294554,4.279401,7.066599999999999,100
55,4.290094,4.271789,7.2142,100
56,4.257576,4.27271,7.1321,100
57,4.25154,4.272617,7.2487,100
58,4.248448,4.276451,7.2703,100
59,4.290571,4.253194000000001,7.3828,100
60,4.249783,4.243279,7.4162,100
61,4.240729,4.229112,7.682,100
62,4.227474,4.223546,7.652100000000001,100
63,4.205605,4.221336,7.6766,100
64,4.211977,4.232294,7.5691,100
65,4.231615,4.226263,7.7148,100
66,4.228519,4.21551,7.902200000000001,100
67,4.224169,4.196085,8.012,100
68,4.169917,4.201581,7.913099999999999,100
69,4.197934,4.185541,8.0163,100
70,4.170948,4.184183,8.131499999999999,100
71,4.169915,4.168863,8.3287,100
72,4.1845,4.169962,8.2637,100
73,4.201383,4.155304,8.3561,100
74,4.134065,4.157978,8.3138,100
75,4.144494,4.137836,8.6519,100
76,4.1345600000000005,4.131691,8.5732,100
77,4.125704,4.133678,8.5818,100
78,4.113631,4.132411,8.6363,100
79,4.125439,4.139592,8.589500000000001,100
80,4.1096686868686865,4.127529292929293,8.708282828282828,99
81,4.118553535353535,4.115676767676768,8.815858585858585,99
82,4.094077777777778,4.104124242424242,8.86080808080808,99
83,4.112663636363637,4.096563636363636,9.084545454545454,99
84,4.092136363636364,4.106543434343434,8.897676767676767,99
85,4.111621212121212,4.111511111111112,8.955656565656566,99
86,4.085238383838384,4.100392929292929,9.178484848484848,99
87,4.082328282828283,4.080183838383839,9.352121212121212,99
88,4.087151515151515,4.080926262626263,9.152121212121212,99
89,4.067208080808081,4.071073737373737,9.285858585858586,99
90,4.048234343434343,4.065153535353535,9.482727272727272,99
91,4.062663636363637,4.059922222222222,9.466868686868688,99
92,4.048672727272727,4.054586868686869,9.52111111111111,99
93,4.036422222222222,4.062178787878788,9.611818181818183,99
94,4.0573707070707075,4.04130404040404,9.834646464646465,99
95,4.0453626262626265,4.0322555555555555,9.798585858585858,99
96,4.002725252525252,4.035661616161616,9.86141414141414,99
97,4.032690909090909,4.032092929292929,10.005757575757576,99
98,4.028556565656566,4.0261545454545455,9.994646464646465,99
99,4.048336363636364,4.017575757575758,9.927878787878788,99
100,4.01109693877551,4.0183520408163265,9.881428571428572,98
101,4.044541836734694,4.0095755102040815,10.172244897959184,98
102,3.987029591836735,4.005013265306122,10.198367346938776,98
103,4.017740816326531,4.0116602040816325,10.095918367346938,98
104,4.004011224489796,4.0133785714285715,10.023775510204082,98
105,3.9882020408163266,4.002174489795919,10.284081632653061,98
106,3.9774051020408163,3.980777551020408,10.365816326530613,98
107,3.950631632653061,3.990888775510204,10.341122448979592,98
108,3.9789683673469387,3.976164285714286,10.544183673469387,98
109,3.9797000000000002,3.978252040816326,10.52265306122449,98
110,3.98939693877551,3.9843979591836733,10.435510204081632,98
111,3.971988775510204,3.9687469387755105,10.597244897959184,98
112,3.98514693877551,3.9641632653061225,10.773265306122449,98
113,3.967407142857143,3.9696418367346937,10.660714285714286,98
114,3.9680816326530612,3.9766255102040815,10.63030612244898,98
115,3.988234693877551,3.971958163265306,10.645102040816326,98
116,3.9865561224489796,3.9594397959183674,10.78295918367347,98
117,3.899119387755102,3.9677122448979594,10.581530612244897,98
118,3.9724948979591836,3.9507979591836735,10.880816326530612,98
119,3.9271714285714285,3.9419826530612245,11.138367346938775,98
120,3.926603260869565,3.929430434782609,11.431521739130435,92
121,3.9264391304347823,3.9399749999999996,11.15945652173913,92
