Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,4.613412,9.02,100
1,4.610778,20.015089,1.7596,100
2,19.82369,20.061065,1.5025,100
3,19.911042,21.667824,1.4655,100
4,21.688478,21.03369,1.4591999999999998,100
5,20.982394,19.185197000000002,1.5776,100
6,19.114341,17.40798,1.5423,100
7,17.423377000000002,15.421259,1.6058000000000001,100
8,15.254939,13.465869,1.7441,100
9,13.431441,11.869767,1.7965,100
10,11.914344000000002,10.921724,1.8175,100
11,10.906251,9.882576,1.851,100
12,9.858906,9.04803,1.9073,100
13,9.033211999999999,8.373454,1.9376,100
14,8.324827,7.657367000000001,2.2205,100
15,7.640444,7.03459,2.3919,100
16,7.0933839999999995,6.556442,2.4924,100
17,6.436311,6.1539660000000005,2.7556,100
18,6.102831,5.793557,2.9227999999999996,100
19,5.81576,5.526503,3.2266000000000004,100
20,5.516228,5.3641499999999995,3.3327999999999998,100
21,5.40736,5.195302000000001,3.6206,100
22,5.150435,5.089014000000001,3.7963,100
23,5.075675,4.944085,4.0041,100
24,4.984834,4.842099,4.1853,100
25,4.842521,4.782431,4.2913,100
26,4.767135,4.741245,4.3669,100
27,4.764386,4.6612279999999995,4.6949000000000005,100
28,4.632354,4.649119,4.7593,100
29,4.649216,4.598977,4.9631,100
30,4.587089,4.574598,5.1048,100
31,4.575734,4.544219,5.171,100
32,4.564983,4.531078,5.2758,100
33,4.531199,4.5257380000000005,5.2326999999999995,100
34,4.532825,4.503716,5.3918,100
35,4.456507,4.4675650000000005,5.602,100
36,4.462222,4.457397,5.4785,100
37,4.45768,4.4530899999999995,5.688300000000001,100
38,4.45538,4.439377,5.8214,100
39,4.445077,4.429518,5.8717999999999995,100
40,4.443417999999999,4.431645,5.929600000000001,100
41,4.438472,4.421957,6.0550999999999995,100
42,4.439552,4.405424,6.279299999999999,100
43,4.417662,4.384904000000001,6.3702,100
44,4.35927,4.398944,6.1374,100
45,4.416693,4.369001,6.3911,100
46,4.375636,4.362614,6.6248000000000005,100
47,4.346353000000001,4.373928,6.4514,100
48,4.3611830000000005,4.372305,6.5053,100
49,4.348849,4.3478460000000005,6.7463999999999995,100
50,4.339562,4.345423,6.660900000000001,100
51,4.360454,4.3480099999999995,6.7436,100
52,4.349199,4.334328,6.7562999999999995,100
53,4.327582,4.34121,6.7549,100
54,4.328251,4.333958,6.884399999999999,100
55,4.31387,4.344275,6.715599999999999,100
56,4.331689,4.3171870000000006,7.0793,100
57,4.335322,4.298871,7.120900000000001,100
58,4.288974,4.304563,7.1769,100
59,4.284872,4.2964,7.1812000000000005,100
60,4.305327,4.282591,7.372000000000001,100
61,4.249161,4.278055,7.4325,100
62,4.273577,4.261448,7.5839,100
63,4.254878,4.275701000000001,7.4342,100
64,4.289925,4.254699,7.6013,100
65,4.231945,4.265052,7.6374,100
66,4.280681,4.2573419999999995,7.547999999999999,100
67,4.2846839999999995,4.258635,7.4957,100
68,4.243854,4.2323640000000005,7.8401,100
69,4.245222,4.2335590000000005,7.742999999999999,100
70,4.1916269999999995,4.218583,7.9183,100
71,4.252102,4.203041,8.1273,100
72,4.195324,4.203393,8.0097,100
73,4.194999,4.192758,8.1868,100
74,4.169630000000001,4.193249,8.1571,100
75,4.171938,4.200728,8.2061,100
76,4.192984,4.19296,8.2622,100
77,4.168139,4.185581,8.3667,100
78,4.164921,4.185988,8.4387,100
79,4.190836,4.168317,8.5166,100
80,4.162314141414141,4.142242424242424,8.657878787878788,99
81,4.136813131313132,4.151455555555556,8.594141414141415,99
82,4.1481121212121215,4.1564848484848484,8.621919191919192,99
83,4.157119191919192,4.142044444444445,8.66030303030303,99
84,4.1131232323232325,4.12879595959596,8.833333333333334,99
85,4.144749494949495,4.1337222222222225,8.822323232323232,99
86,4.140195959595959,4.126255555555556,8.955555555555556,99
87,4.117517171717172,4.113724242424242,9.002121212121212,99
88,4.080660606060606,4.112977777777778,9.037070707070706,99
89,4.109122222222222,4.1024242424242425,9.25040404040404,99
90,4.108007070707071,4.100567676767677,9.180202020202021,99
91,4.112081818181818,4.083173737373738,9.343535353535353,99
92,4.050112121212121,4.088095959595959,9.25131313131313,99
93,4.0953323232323235,4.079611111111111,9.418484848484848,99
94,4.0470171717171715,4.081160606060606,9.385959595959596,99
95,4.063718181818182,4.075332323232323,9.593434343434344,99
96,4.059425252525252,4.069975757575757,9.59969696969697,99
97,4.0304646464646465,4.066231313131313,9.607171717171717,99
98,4.079041414141415,4.064017171717172,9.60878787878788,99
99,4.079082828282829,4.053231313131313,9.821616161616163,99
100,4.048343298969073,4.0509494845360825,9.781855670103093,97
101,4.0337814432989685,4.045886597938145,9.879278350515463,97
102,4.039952577319588,4.050979381443299,9.749175257731958,97
103,4.044996907216494,4.057365979381443,9.66,97
104,4.0392,4.04648762886598,9.910309278350516,97
105,4.029444329896908,4.024360824742268,10.066185567010308,97
106,3.983179381443299,4.0120340206185565,10.31577319587629,97
107,4.009145360824742,4.009145360824743,10.268041237113403,97
108,4.009417525773196,4.008550515463917,10.340721649484536,97
109,3.995329896907217,4.025649484536083,10.040103092783506,97
110,4.012152577319588,4.005227835051546,10.288247422680413,97
111,3.9793639175257733,4.004780412371134,10.440824742268042,97
112,3.9762329896907214,4.001320618556702,10.511340206185567,97
113,3.9757927835051547,4.004460824742268,10.335773195876289,97
114,4.009254639175258,3.977116494845361,10.752783505154639,97
115,3.9918752577319587,3.987181443298969,10.469072164948454,97
116,3.965401030927835,3.9810484536082473,10.692680412371134,97
117,3.9784134020618556,3.9761731958762887,10.73742268041237,97
118,3.989084536082474,3.9820474226804126,10.69340206185567,97
119,3.983475257731959,3.972,10.912886597938144,97
120,3.954840909090909,3.9668784090909095,10.944772727272728,88
121,3.965863636363636,3.9623613636363633,10.989659090909091,88
122,3.9551647727272727,3.9724636363636363,10.800227272727271,88
123,3.9542625,3.9597272727272728,11.017045454545455,88
124,3.950252272727273,3.9529204545454544,11.021931818181818,88
125,3.9513499999999997,3.9544465909090913,11.126136363636364,88
126,3.930719318181818,3.949785227272727,11.20875,88
127,3.9393147727272724,3.9564295454545455,11.086022727272727,88
128,3.9613272727272726,3.9396647727272724,11.160568181818181,88
129,3.922939772727273,3.9301022727272725,11.470113636363637,88
130,3.8896977272727273,3.9368079545454546,11.349204545454546,88
131,3.922964772727273,3.929219318181818,11.44625,88
132,3.915551136363636,3.9302170454545458,11.246022727272727,88
133,3.9395636363636366,3.9139375,11.587045454545454,88
134,3.8766511363636367,3.9266477272727274,11.461136363636363,88
135,3.9243397727272726,3.9169693181818186,11.650681818181818,88
136,3.9247636363636365,3.8988056818181818,11.86659090909091,88
137,3.8946409090909095,3.9013329545454543,11.829545454545455,88
138,3.894490909090909,3.887067045454545,12.059545454545455,88
139,3.8686704545454544,3.903422727272727,11.887272727272727,88
140,3.8803760563380285,3.882229577464789,12.090985915492958,71
141,3.8824563380281694,3.8778056338028173,12.264084507042254,71
142,3.8388211267605636,3.8966154929577463,11.822112676056339,71
143,3.8788140845070425,3.884060563380282,12.105070422535212,71
144,3.8780619718309857,3.886722535211267,11.97943661971831,71
145,3.875005633802817,3.888645070422535,11.962112676056337,71
146,3.8982014084507037,3.8751802816901413,12.090704225352113,71
147,3.878530985915493,3.8682549295774646,12.248450704225352,71
148,3.8546,3.8780169014084507,12.265633802816902,71
149,3.861485915492958,3.8778929577464787,12.137605633802817,71
150,3.871808450704225,3.865978873239437,12.43774647887324,71
151,3.8417098591549292,3.850330985915493,12.425774647887325,71
152,3.8549183098591553,3.8684042253521125,12.352676056338028,71
153,3.8656802816901408,3.875195774647887,12.192957746478873,71
154,3.8313647887323947,3.8459352112676055,12.65943661971831,71
155,3.8637028169014087,3.8441112676056335,12.490985915492958,71
156,3.8476394366197186,3.857643661971831,12.479859154929578,71
157,3.8407352112676056,3.843515492957746,12.736619718309859,71
158,3.8193028169014087,3.8457802816901414,12.724647887323945,71
159,3.849429577464789,3.8505154929577463,12.569577464788733,71
160,3.8487339622641508,3.837232075471698,12.756415094339623,53
161,3.835132075471698,3.820437735849057,13.068301886792453,53
162,3.7786509433962263,3.830803773584906,12.885471698113207,53
163,3.8379999999999996,3.806033962264151,13.259622641509434,53
164,3.79851320754717,3.8029188679245283,13.261509433962264,53
165,3.7989226415094337,3.811356603773585,13.260377358490565,53
166,3.854788679245283,3.810054716981132,13.08566037735849,53
167,3.8095566037735846,3.8318509433962262,12.738301886792453,53
168,3.8308094339622643,3.8230792452830187,13.01811320754717,53
169,3.7733999999999996,3.837277358490566,12.814339622641508,53
170,3.8302830188679247,3.8172150943396224,12.909245283018867,53
171,3.8095622641509435,3.8108792452830187,13.182264150943396,53
172,3.839449056603774,3.784111320754717,13.672452830188679,53
173,3.7541169811320754,3.8013150943396226,13.157358490566038,53
