Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               4.6056              0
1              [64/50000]          4.6001              1.9600              5.5685              1              
1              [128/50000]         5.7795              1.8100              5.1450              2              
1              [192/50000]         4.8633              1.6200              5.2685              3              
1              [256/50000]         5.4422              1.5400              5.3742              4              
1              [320/50000]         5.7352              2.6600              4.8660              5              
1              [384/50000]         4.6580              2.7700              4.8955              6              
1              [448/50000]         4.9859              2.6400              4.6695              7              
1              [512/50000]         4.6033              2.4100              4.6563              8              
1              [576/50000]         4.6632              2.5900              4.6632              9              
1              [640/50000]         4.7054              3.4200              4.5216              10             
1              [704/50000]         4.5718              2.6600              4.4883              11             
1              [768/50000]         4.5096              3.3600              4.4778              12             
1              [832/50000]         4.3893              4.4200              4.4667              13             
1              [896/50000]         4.3151              4.2600              4.4460              14             
1              [960/50000]         4.4605              3.8900              4.4515              15             
1              [1024/50000]        4.3377              4.5000              4.4290              16             
1              [1088/50000]        4.3666              4.9400              4.4287              17             
1              [1152/50000]        4.5828              4.5500              4.3862              18             
1              [1216/50000]        4.2314              2.8800              4.4602              19             
1              [1280/50000]        4.4276              5.4700              4.3629              20             
1              [1344/50000]        4.2517              5.9200              4.3455              21             
1              [1408/50000]        4.4318              6.0500              4.3357              22             
1              [1472/50000]        4.3978              6.2100              4.3066              23             
1              [1536/50000]        4.3061              6.1500              4.3367              24             
1              [1600/50000]        4.2152              5.2000              4.3757              25             
1              [1664/50000]        4.3655              5.6800              4.3058              26             
1              [1728/50000]        4.3168              5.0200              4.2912              27             
1              [1792/50000]        4.2668              5.8000              4.2602              28             
1              [1856/50000]        4.3638              5.0300              4.2737              29             
1              [1920/50000]        4.1786              6.2500              4.2509              30             
1              [1984/50000]        4.3866              6.9500              4.2153              31             
1              [2048/50000]        4.2627              6.8900              4.2135              32             
1              [2112/50000]        4.1418              7.1000              4.2348              33             
1              [2176/50000]        4.2551              6.5400              4.2494              34             
1              [2240/50000]        4.2339              6.6500              4.2763              35             
1              [2304/50000]        4.4080              7.9600              4.1948              36             
1              [2368/50000]        4.2725              5.4900              4.2707              37             
1              [2432/50000]        4.2880              5.5500              4.2316              38             
1              [2496/50000]        4.2001              5.5300              4.2330              39             
1              [2560/50000]        4.3000              7.6300              4.1942              40             
1              [2624/50000]        4.2033              5.9800              4.2005              41             
1              [2688/50000]        4.2461              7.5100              4.1697              42             
1              [2752/50000]        4.3975              5.5900              4.2345              43             
1              [2816/50000]        4.2370              6.5400              4.1808              44             
1              [2880/50000]        4.0619              6.1000              4.1936              45             
1              [2944/50000]        4.2602              7.0700              4.1766              46             
1              [3008/50000]        4.0974              7.4300              4.1309              47             
1              [3072/50000]        4.0447              6.8200              4.1601              48             
1              [3136/50000]        4.1245              8.0900              4.1326              49             
1              [3200/50000]        4.1068              7.0000              4.1363              50             
1              [3264/50000]        4.1434              7.6200              4.1203              51             
1              [3328/50000]        4.1161              7.6000              4.1393              52             
1              [3392/50000]        4.0476              7.0200              4.1547              53             
1              [3456/50000]        4.2729              8.9400              4.0913              54             
1              [3520/50000]        4.2899              8.1600              4.1391              55             
1              [3584/50000]        4.0939              8.9800              4.0923              56             
1              [3648/50000]        4.2067              7.4100              4.1140              57             
1              [3712/50000]        4.1952              9.3700              4.0716              58             
1              [3776/50000]        3.9760              7.1300              4.1329              59             
1              [3840/50000]        4.0861              7.6400              4.0990              60             
1              [3904/50000]        4.0202              7.8000              4.1300              61             
1              [3968/50000]        4.0691              8.6900              4.0994              62             
1              [4032/50000]        4.1588              7.5800              4.1110              63             
1              [4096/50000]        4.0891              7.6300              4.0718              64             
1              [4160/50000]        4.1640              7.3500              4.0915              65             
1              [4224/50000]        4.1021              7.4000              4.1522              66             
1              [4288/50000]        4.1388              8.9800              4.0859              67             
1              [4352/50000]        4.1568              7.4900              4.1154              68             
1              [4416/50000]        4.2904              8.5300              4.0556              69             
1              [4480/50000]        4.1363              8.3300              4.0499              70             
1              [4544/50000]        4.1570              6.8600              4.0990              71             
1              [4608/50000]        4.1065              8.3500              4.0721              72             
1              [4672/50000]        4.1425              6.2300              4.1435              73             
1              [4736/50000]        4.1910              10.1000             4.0164              74             
1              [4800/50000]        3.9442              9.2100              4.0624              75             
1              [4864/50000]        4.1781              8.8300              4.0589              76             
1              [4928/50000]        4.1256              7.8900              4.0608              77             
1              [4992/50000]        4.0870              8.6200              4.0447              78             
1              [5056/50000]        3.9890              9.2700              4.0314              79             
1              [5120/50000]        3.9513              8.9200              3.9976              80             
1              [5184/50000]        3.9675              7.9400              4.1138              81             
1              [5248/50000]        4.0406              9.0900              4.0292              82             
1              [5312/50000]        4.0586              8.8000              4.0806              83             
1              [5376/50000]        4.0092              8.3700              4.0417              84             
1              [5440/50000]        3.9548              9.4000              3.9956              85             
1              [5504/50000]        4.2492              9.2500              4.0403              86             
1              [5568/50000]        4.0438              8.7400              4.0056              87             
1              [5632/50000]        3.9543              7.9100              4.0584              88             
1              [5696/50000]        4.0420              9.5600              3.9859              89             
1              [5760/50000]        4.3154              9.5000              3.9836              90             
1              [5824/50000]        4.0532              9.8300              3.9860              91             
1              [5888/50000]        3.8082              9.0700              4.0135              92             
1              [5952/50000]        3.9013              9.6900              3.9972              93             
1              [6016/50000]        4.1704              11.3000             3.9251              94             
1              [6080/50000]        3.7892              9.1000              3.9686              95             
1              [6144/50000]        4.0543              8.2900              4.0086              96             
1              [6208/50000]        4.0478              9.1200              3.9833              97             
1              [6272/50000]        3.9517              9.2400              4.0035              98             
1              [6336/50000]        3.9287              9.1700              3.9902              99             
1              [6400/50000]        4.0390              10.8200             3.9478              100            
1              [6464/50000]        3.9271              10.6700             3.9411              101            
1              [6528/50000]        4.0188              10.5400             3.9267              102            
1              [6592/50000]        3.7907              10.8900             3.9234              103            
1              [6656/50000]        3.9782              9.9400              3.9636              104            
1              [6720/50000]        4.1504              10.9300             3.9339              105            
1              [6784/50000]        3.9967              11.1700             3.9182              106            
1              [6848/50000]        3.9320              11.6200             3.9309              107            
1              [6912/50000]        3.9215              11.2300             3.9264              108            
1              [6976/50000]        3.9035              12.2300             3.9360              109            
1              [7040/50000]        3.8637              10.7600             3.9749              110            
1              [7104/50000]        3.8535              11.4300             3.9223              111            
1              [7168/50000]        4.0551              10.8200             3.9362              112            
1              [7232/50000]        3.8879              11.3500             3.9081              113            
1              [7296/50000]        3.8271              12.3800             3.8969              114            
1              [7360/50000]        3.8553              11.3400             3.9027              115            
1              [7424/50000]        3.8294              10.4700             3.9597              116            
1              [7488/50000]        3.9045              11.0600             3.9333              117            
