Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3028              0
1              [64/60000]          2.3001              27.9300             2.3157              1              
1              [128/60000]         2.1090              40.9200             2.3660              2              
1              [192/60000]         2.3368              31.3000             2.3083              3              
1              [256/60000]         2.0761              53.0800             1.6792              4              
1              [320/60000]         1.8831              46.7800             1.3307              5              
1              [384/60000]         1.3311              47.5600             1.4040              6              
1              [448/60000]         1.3272              52.0100             1.3099              7              
1              [512/60000]         1.5140              53.1600             1.4176              8              
1              [576/60000]         1.4498              55.3800             1.3575              9              
1              [640/60000]         1.1868              61.5700             1.0582              10             
1              [704/60000]         0.9883              65.2900             0.9976              11             
1              [768/60000]         1.0877              55.8100             1.1305              12             
1              [832/60000]         1.1554              62.0200             1.0661              13             
1              [896/60000]         1.0163              69.9000             0.9290              14             
1              [960/60000]         0.9277              69.5100             0.8706              15             
1              [1024/60000]        0.7616              56.7000             1.0795              16             
1              [1088/60000]        1.2463              70.9900             1.0582              17             
1              [1152/60000]        0.7192              66.9500             1.1130              18             
1              [1216/60000]        1.2422              54.9200             1.2379              19             
1              [1280/60000]        1.0466              64.9100             1.0213              20             
1              [1344/60000]        0.9696              70.0400             0.8566              21             
1              [1408/60000]        0.9534              69.9300             0.7872              22             
1              [1472/60000]        0.8040              73.5300             0.7692              23             
1              [1536/60000]        0.6073              74.0900             0.7549              24             
1              [1600/60000]        0.6502              68.8100             0.8051              25             
1              [1664/60000]        0.9871              65.3600             0.9154              26             
1              [1728/60000]        0.8837              75.6000             0.6991              27             
1              [1792/60000]        0.7266              72.3300             0.7434              28             
1              [1856/60000]        0.8138              65.4300             0.8164              29             
1              [1920/60000]        0.8081              75.6000             0.6888              30             
1              [1984/60000]        0.5773              71.5900             0.7910              31             
1              [2048/60000]        0.6197              76.5000             0.6633              32             
1              [2112/60000]        0.6301              75.7300             0.6989              33             
1              [2176/60000]        0.4581              73.5600             0.6996              34             
1              [2240/60000]        0.6294              75.3200             0.6698              35             
1              [2304/60000]        0.6651              75.7900             0.7094              36             
1              [2368/60000]        0.7243              75.9500             0.6796              37             
1              [2432/60000]        0.6837              72.2000             0.7162              38             
1              [2496/60000]        0.5991              77.1700             0.6595              39             
1              [2560/60000]        0.5846              76.1300             0.6362              40             
1              [2624/60000]        0.4970              76.2600             0.6836              41             
1              [2688/60000]        0.8630              67.8700             0.8633              42             
1              [2752/60000]        0.8339              77.1100             0.6385              43             
1              [2816/60000]        0.6683              73.7600             0.7165              44             
1              [2880/60000]        0.6333              77.7300             0.6264              45             
1              [2944/60000]        0.5613              77.5800             0.6219              46             
1              [3008/60000]        0.6324              75.2000             0.6846              47             
1              [3072/60000]        0.6600              72.9900             0.7414              48             
1              [3136/60000]        0.8153              76.7300             0.6661              49             
1              [3200/60000]        0.6375              77.1400             0.6153              50             
1              [3264/60000]        0.6691              67.7700             0.8473              51             
1              [3328/60000]        0.7623              70.6600             0.7937              52             
1              [3392/60000]        0.7261              78.6500             0.6087              53             
1              [3456/60000]        0.5970              76.4300             0.6989              54             
1              [3520/60000]        0.9685              73.5300             0.8022              55             
1              [3584/60000]        0.7473              77.3700             0.6125              56             
1              [3648/60000]        0.6621              76.4000             0.6752              57             
1              [3712/60000]        0.6737              80.0700             0.5788              58             
1              [3776/60000]        0.6093              77.8700             0.6220              59             
1              [3840/60000]        0.6171              79.0100             0.6027              60             
1              [3904/60000]        0.5717              75.2700             0.6594              61             
1              [3968/60000]        0.6594              78.6700             0.6149              62             
1              [4032/60000]        0.5457              78.4200             0.6139              63             
1              [4096/60000]        0.4361              79.4900             0.5710              64             
1              [4160/60000]        0.5753              73.2800             0.6612              65             
1              [4224/60000]        0.5815              80.8300             0.5498              66             
1              [4288/60000]        0.4501              80.1600             0.5457              67             
1              [4352/60000]        0.5061              79.3500             0.5728              68             
1              [4416/60000]        0.3160              79.3300             0.5898              69             
1              [4480/60000]        0.6083              76.2200             0.6323              70             
1              [4544/60000]        0.8010              76.7500             0.6215              71             
1              [4608/60000]        0.5006              78.9900             0.5858              72             
1              [4672/60000]        0.6083              78.3900             0.6433              73             
1              [4736/60000]        0.5726              79.4400             0.5756              74             
1              [4800/60000]        0.7061              75.8800             0.6307              75             
1              [4864/60000]        0.5548              80.8400             0.5565              76             
1              [4928/60000]        0.6819              78.9000             0.5802              77             
1              [4992/60000]        0.6241              80.6100             0.5437              78             
1              [5056/60000]        0.5532              78.3100             0.5792              79             
1              [5120/60000]        0.5929              78.8700             0.5931              80             
1              [5184/60000]        0.7357              75.3500             0.6111              81             
1              [5248/60000]        0.5367              81.6900             0.5195              82             
1              [5312/60000]        0.4403              80.1400             0.5329              83             
1              [5376/60000]        0.5463              80.2700             0.5627              84             
1              [5440/60000]        0.5067              80.9000             0.5354              85             
1              [5504/60000]        0.6391              79.2400             0.5547              86             
1              [5568/60000]        0.6169              79.5300             0.5615              87             
1              [5632/60000]        0.6289              80.0500             0.5700              88             
1              [5696/60000]        0.4927              80.4900             0.5410              89             
1              [5760/60000]        0.5232              77.9200             0.5832              90             
1              [5824/60000]        0.6087              75.3700             0.6097              91             
1              [5888/60000]        0.6071              79.2400             0.5884              92             
1              [5952/60000]        0.4901              80.3200             0.5533              93             
1              [6016/60000]        0.4584              81.6400             0.5164              94             
1              [6080/60000]        0.4768              81.7400             0.5143              95             
1              [6144/60000]        0.5086              81.8900             0.5156              96             
1              [6208/60000]        0.5147              80.1600             0.5431              97             
1              [6272/60000]        0.4616              81.6100             0.5088              98             
1              [6336/60000]        0.4285              73.4400             0.6392              99             
1              [6400/60000]        0.6431              79.0800             0.5972              100            
1              [6464/60000]        0.7954              80.4900             0.5306              101            
1              [6528/60000]        0.5365              80.8000             0.5364              102            
1              [6592/60000]        0.5992              76.6500             0.6143              103            
1              [6656/60000]        0.6592              79.7200             0.5621              104            
1              [6720/60000]        0.6456              79.7900             0.5494              105            
1              [6784/60000]        0.3675              81.2200             0.5357              106            
1              [6848/60000]        0.5029              80.2100             0.5455              107            
1              [6912/60000]        0.4518              81.4400             0.5193              108            
1              [6976/60000]        0.4180              80.3400             0.5377              109            
1              [7040/60000]        0.7276              76.0700             0.6365              110            
1              [7104/60000]        0.8128              80.8100             0.5467              111            
1              [7168/60000]        0.4877              81.6200             0.5126              112            
1              [7232/60000]        0.5077              82.2300             0.4976              113            
1              [7296/60000]        0.4692              80.4500             0.5319              114            
1              [7360/60000]        0.6723              81.8400             0.5062              115            
1              [7424/60000]        0.5341              80.4600             0.5368              116            
1              [7488/60000]        0.4647              81.4700             0.5128              117            
1              [7552/60000]        0.5663              82.0200             0.5087              118            
1              [7616/60000]        0.3648              82.5700             0.4845              119            
1              [7680/60000]        0.4197              82.0600             0.5077              120            
1              [7744/60000]        0.3878              81.0500             0.5204              121            
1              [7808/60000]        0.6959              80.5600             0.5584              122            
1              [7872/60000]        0.3586              79.7300             0.5485              123            
1              [7936/60000]        0.3469              83.2200             0.4774              124            
1              [8000/60000]        0.4178              82.3600             0.4908              125            
1              [8064/60000]        0.5242              81.4300             0.5368              126            
1              [8128/60000]        0.4778              82.5100             0.4886              127            
1              [8192/60000]        0.3848              79.1000             0.5398              128            
1              [8256/60000]        0.6050              79.6300             0.5735              129            
1              [8320/60000]        0.5500              82.7700             0.4896              130            
1              [8384/60000]        0.4650              79.2200             0.5839              131            
1              [8448/60000]        0.4602              79.7400             0.5730              132            
1              [8512/60000]        0.6442              80.2300             0.5138              133            
1              [8576/60000]        0.5444              81.8300             0.4967              134            
1              [8640/60000]        0.6231              81.6000             0.4978              135            
1              [8704/60000]        0.3651              83.1700             0.4840              136            
1              [8768/60000]        0.4823              79.3800             0.5492              137            
1              [8832/60000]        0.7300              83.1300             0.4927              138            
1              [8896/60000]        0.4381              83.1700             0.4865              139            
1              [8960/60000]        0.5812              79.5000             0.5517              140            
1              [9024/60000]        0.4735              82.9600             0.4766              141            
1              [9088/60000]        0.3758              81.1700             0.5190              142            
1              [9152/60000]        0.3331              80.9300             0.5018              143            
1              [9216/60000]        0.3313              81.0300             0.5052              144            
1              [9280/60000]        0.4527              80.4100             0.5544              145            
1              [9344/60000]        0.3960              80.4600             0.5396              146            
1              [9408/60000]        0.4111              80.0800             0.5234              147            
1              [9472/60000]        0.6488              81.3200             0.5255              148            
1              [9536/60000]        0.4024              80.1700             0.5204              149            
1              [9600/60000]        0.6357              81.4400             0.5357              150            
1              [9664/60000]        0.3462              83.2100             0.4701              151            
1              [9728/60000]        0.4939              81.3100             0.5214              152            
1              [9792/60000]        0.7079              80.0700             0.5233              153            
1              [9856/60000]        0.3118              81.5900             0.5001              154            
1              [9920/60000]        0.4384              80.8800             0.5140              155            
1              [9984/60000]        0.5410              82.7200             0.4853              156            
1              [10048/60000]       0.2555              82.6400             0.4836              157            
1              [10112/60000]       0.4520              81.5500             0.4900              158            
1              [10176/60000]       0.5082              82.7900             0.4817              159            
1              [10240/60000]       0.7261              80.7500             0.5400              160            
1              [10304/60000]       0.5535              82.0300             0.4894              161            
1              [10368/60000]       0.2700              83.4100             0.4625              162            
1              [10432/60000]       0.4639              79.5700             0.5509              163            
1              [10496/60000]       0.4150              83.6400             0.4567              164            
1              [10560/60000]       0.5412              79.8800             0.5955              165            
1              [10624/60000]       0.5016              81.1300             0.5115              166            
1              [10688/60000]       0.6076              78.8600             0.5887              167            
1              [10752/60000]       0.7116              82.6900             0.4704              168            
1              [10816/60000]       0.3658              82.1100             0.4937              169            
1              [10880/60000]       0.5160              83.9800             0.4569              170            
1              [10944/60000]       0.4259              83.1500             0.4680              171            
1              [11008/60000]       0.3957              82.4900             0.4810              172            
