Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3096              0
1              [1024/60000]        2.3085              42.9900             1.5879              1              
1              [2048/60000]        1.5835              24.2100             3.8882              2              
1              [3072/60000]        3.9416              50.4000             3.5712              3              
1              [4096/60000]        3.4951              43.4300             3.4011              4              
1              [5120/60000]        3.1165              40.5400             3.0421              5              
1              [6144/60000]        3.0028              48.3100             2.4647              6              
1              [7168/60000]        2.5073              50.8700             1.7492              7              
1              [8192/60000]        1.8070              52.0100             1.6101              8              
1              [9216/60000]        1.7148              68.9400             1.3583              9              
1              [10240/60000]       1.3879              65.3400             1.2255              10             
1              [11264/60000]       1.2126              57.0200             1.3610              11             
1              [12288/60000]       1.4222              55.3800             1.4263              12             
1              [13312/60000]       1.4270              61.8400             1.1128              13             
1              [14336/60000]       1.1592              64.6400             1.0492              14             
1              [15360/60000]       1.0370              63.3300             1.2009              15             
1              [16384/60000]       1.1451              67.0600             0.9047              16             
1              [17408/60000]       0.8900              71.0900             0.8235              17             
1              [18432/60000]       0.7820              69.6300             0.8398              18             
1              [19456/60000]       0.8392              64.5200             0.8836              19             
1              [20480/60000]       0.8624              71.5700             0.9516              20             
1              [21504/60000]       0.9013              73.5300             0.7487              21             
1              [22528/60000]       0.7103              74.2200             0.7124              22             
1              [23552/60000]       0.6650              75.5700             0.6955              23             
1              [24576/60000]       0.6717              74.0000             0.7004              24             
1              [25600/60000]       0.6814              74.8900             0.7843              25             
1              [26624/60000]       0.8097              70.0200             0.7329              26             
1              [27648/60000]       0.6936              75.2700             0.8255              27             
1              [28672/60000]       0.8136              75.3700             0.6946              28             
1              [29696/60000]       0.6505              76.1300             0.6628              29             
1              [30720/60000]       0.6322              75.8300             0.6738              30             
1              [31744/60000]       0.6597              72.9600             0.7788              31             
1              [32768/60000]       0.8003              71.3300             0.8469              32             
1              [33792/60000]       0.8400              71.3000             0.7812              33             
1              [34816/60000]       0.7335              71.1800             0.7704              34             
1              [35840/60000]       0.7371              68.4500             0.7887              35             
1              [36864/60000]       0.7869              69.3800             0.8546              36             
1              [37888/60000]       0.8318              71.7000             0.7650              37             
1              [38912/60000]       0.7177              74.5000             0.7271              38             
1              [39936/60000]       0.7230              72.8000             0.6954              39             
1              [40960/60000]       0.6444              76.2800             0.7087              40             
1              [41984/60000]       0.6679              74.2700             0.6523              41             
1              [43008/60000]       0.6395              75.1200             0.7222              42             
1              [44032/60000]       0.6847              74.2200             0.6971              43             
