Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,2.305383,9.02,100
1,2.305285,2.99389,41.3424,100
2,3.000998,10.437349,34.2064,100
3,10.433247,11.976324,29.4762,100
4,11.974644000000001,9.904589999999999,33.3463,100
5,9.925055,8.157232,37.7123,100
6,8.127226,6.670841,40.5539,100
7,6.658998,5.214876,44.8778,100
8,5.2439670000000005,3.8052620000000004,50.8671,100
9,3.768745,2.9738740000000004,55.8721,100
10,2.940403,2.196943,60.693000000000005,100
11,2.175691,1.684161,65.0232,100
12,1.660327,1.450375,68.0081,100
13,1.430289,1.226413,69.7479,100
14,1.213839,1.1152819999999999,70.6252,100
15,1.0854869999999999,1.071841,70.7966,100
16,1.049523,1.09696,71.1999,100
17,1.075699,1.051245,72.28359999999999,100
18,1.018116,0.990008,72.407,100
19,0.968043,0.953122,72.8255,100
20,0.936748,0.944612,73.01060000000001,100
21,0.933756,0.944988,73.447,100
22,0.9312309999999999,0.915102,73.7169,100
23,0.886925,0.877553,74.3631,100
24,0.8570329999999999,0.852658,74.3643,100
25,0.830799,0.867444,74.4675,100
26,0.853317,0.829422,75.1012,100
27,0.808526,0.796134,75.0166,100
28,0.7698529999999999,0.816412,74.9459,100
29,0.796758,0.828915,75.1122,100
30,0.801626,0.797984,75.4002,100
31,0.7654989999999999,0.777327,75.7252,100
32,0.7565130000000001,0.775451,75.53479999999999,100
33,0.754803,0.7850860000000001,75.8839,100
34,0.7665099999999999,0.760506,75.6222,100
35,0.733788,0.7758700000000001,76.0389,100
36,0.755728,0.773933,75.6017,100
37,0.757228,0.7875190000000001,75.3327,100
38,0.76833,0.754285,75.9981,100
39,0.730627,0.748814,76.0626,100
40,0.72223,0.74395,76.1652,100
41,0.716106,0.745391,76.2001,100
42,0.721581,0.743232,76.4716,100
43,0.721871,0.741095,76.4045,100
44,0.716514,0.7199800000000001,76.722,100
45,0.6951900000000001,0.711691,76.9436,100
46,0.684316,0.7060949999999999,77.3762,100
47,0.687986,0.687504,77.51180000000001,100
48,0.6639060000000001,0.683202,77.5591,100
49,0.6617799999999999,0.70261,77.3562,100
50,0.6870919999999999,0.7201879999999999,76.8749,100
51,0.6911449999999999,0.699818,77.4674,100
52,0.676181,0.6655580000000001,77.6013,100
53,0.6392519999999999,0.678905,77.6198,100
54,0.656871,0.673443,77.54350000000001,100
55,0.653338,0.6836960000000001,77.61,100
56,0.655767,0.6546179999999999,78.1949,100
57,0.634076,0.646363,78.482,100
58,0.624006,0.634807,78.4633,100
59,0.615036,0.642555,78.5795,100
60,0.612687,0.619718,78.9501,100
61,0.590506,0.602743,79.23949999999999,100
62,0.578751,0.61595,78.7311,100
63,0.588039,0.620524,78.9526,100
64,0.594457,0.60739,79.1918,100
65,0.58126,0.597744,79.26100000000001,100
66,0.5685629999999999,0.590461,79.4816,100
67,0.562655,0.5853889999999999,79.7251,100
68,0.556303,0.576199,79.8588,100
69,0.553365,0.583728,79.8512,100
70,0.55585,0.574854,80.0077,100
71,0.5461509999999999,0.5739070000000001,79.954,100
72,0.541524,0.569164,80.07130000000001,100
73,0.543836,0.5746370000000001,80.0147,100
74,0.55348,0.55942,80.3153,100
75,0.535778,0.550606,80.53609999999999,100
76,0.521914,0.545891,80.6528,100
77,0.5198429999999999,0.541873,80.8695,100
78,0.518553,0.538261,80.9201,100
79,0.509269,0.53595,81.0122,100
80,0.512878,0.5368780000000001,80.9716,100
81,0.5109210000000001,0.5317390000000001,81.1345,100
82,0.506443,0.5309170000000001,81.14,100
83,0.503874,0.5204650000000001,81.4444,100
84,0.489955,0.52068,81.4984,100
85,0.49599499999999996,0.519686,81.3552,100
86,0.494291,0.524452,81.4314,100
87,0.503925,0.519035,81.44239999999999,100
88,0.49310200000000004,0.526979,81.1578,100
89,0.505969,0.530613,80.9838,100
90,0.502161,0.529855,81.23949999999999,100
91,0.512952,0.521794,81.3042,100
92,0.496207,0.513497,81.6564,100
93,0.486633,0.507095,81.7529,100
94,0.481958,0.503987,81.8661,100
95,0.482789,0.5025459999999999,81.8987,100
96,0.473632,0.502983,81.9459,100
97,0.478769,0.504455,81.7997,100
98,0.475828,0.49916699999999997,82.1699,100
99,0.475006,0.492447,82.1858,100
100,0.46228842105263157,0.4889473684210527,82.4041052631579,95
101,0.46080000000000004,0.49057473684210523,82.23926315789474,95
102,0.46361473684210525,0.4900178947368421,82.41136842105263,95
103,0.4590126315789474,0.48241684210526314,82.56515789473684,95
104,0.45935473684210526,0.49043052631578943,82.37568421052632,95
105,0.4621263157894737,0.4878031578947368,82.27094736842105,95
106,0.4605042105263158,0.49018105263157896,82.40484210526316,95
107,0.467838947368421,0.48512631578947374,82.45094736842105,95
108,0.45657473684210526,0.48210105263157893,82.69852631578947,95
109,0.4569821052631579,0.47942631578947364,82.6561052631579,95
110,0.4576515789473684,0.4816778947368421,82.69863157894737,95
111,0.4537357894736842,0.47733684210526317,82.80221052631579,95
112,0.45545578947368426,0.47767894736842104,82.73831578947369,95
113,0.4489073684210526,0.47894315789473685,82.70747368421053,95
114,0.4565042105263158,0.4811642105263158,82.63378947368422,95
115,0.45924947368421054,0.47953578947368425,82.62884210526316,95
116,0.4550568421052632,0.48129578947368423,82.57378947368422,95
117,0.45714842105263154,0.4768578947368421,82.77778947368421,95
118,0.4524157894736842,0.4786494736842105,82.824,95
119,0.4470252631578947,0.4732178947368421,82.87042105263157,95
120,0.4421065934065935,0.46862967032967034,83.10714285714286,91
121,0.4413912087912088,0.46673516483516486,83.07923076923078,91
122,0.4357824175824176,0.4683967032967033,83.09461538461538,91
123,0.43681208791208787,0.46637912087912087,83.1254945054945,91
124,0.43524065934065936,0.461121978021978,83.32021978021979,91
125,0.42731978021978023,0.4649571428571429,83.17769230769231,91
126,0.4356637362637363,0.46470549450549453,83.15230769230769,91
127,0.4324417582417583,0.4673813186813187,83.10076923076923,91
128,0.43452527472527475,0.4663934065934066,83.10065934065933,91
129,0.4353747252747253,0.4664263736263736,83.07648351648352,91
130,0.43015824175824174,0.46437802197802197,83.23549450549451,91
131,0.4339593406593406,0.4597868131868132,83.33098901098901,91
132,0.4286164835164835,0.46073736263736265,83.3110989010989,91
133,0.4307417582417582,0.4581362637362637,83.34769230769231,91
134,0.4267065934065934,0.46148131868131864,83.21945054945056,91
135,0.4276648351648351,0.4587197802197802,83.46153846153847,91
136,0.43202857142857143,0.45358241758241763,83.5423076923077,91
137,0.42569560439560444,0.4551186813186813,83.46604395604396,91
138,0.4244186813186814,0.45335604395604395,83.5965934065934,91
139,0.4262978021978022,0.4530120879120879,83.53659340659341,91
140,0.42230123456790125,0.4562283950617284,83.50271604938271,81
141,0.4212123456790124,0.45528395061728394,83.59851851851852,81
142,0.425153086419753,0.45204567901234566,83.61185185185185,81
143,0.4189086419753087,0.4557740740740741,83.49296296296296,81
144,0.43170864197530867,0.4550641975308642,83.54358024691358,81
