Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3036              0
1              [64/60000]          2.3013              20.0200             2.1762              1              
1              [128/60000]         2.0962              32.6000             1.8819              2              
1              [192/60000]         1.8306              37.8600             1.6280              3              
1              [256/60000]         1.6052              39.6200             1.5190              4              
1              [320/60000]         1.5463              45.2400             1.4695              5              
1              [384/60000]         1.2147              48.9400             1.4038              6              
1              [448/60000]         1.4894              40.2500             1.7135              7              
1              [512/60000]         1.8862              53.1500             1.4183              8              
1              [576/60000]         1.2142              55.9600             1.3190              9              
1              [640/60000]         1.4205              47.1000             1.2674              10             
1              [704/60000]         1.1516              63.9800             1.0640              11             
1              [768/60000]         1.0034              64.6600             1.0223              12             
1              [832/60000]         1.0240              57.2700             1.0798              13             
1              [896/60000]         0.9921              68.2700             0.9727              14             
1              [960/60000]         1.0026              68.2600             0.8779              15             
1              [1024/60000]        0.8213              62.5800             1.0015              16             
1              [1088/60000]        1.0340              60.9600             1.1290              17             
1              [1152/60000]        1.3019              51.4000             1.1209              18             
1              [1216/60000]        1.1480              59.1900             1.2303              19             
1              [1280/60000]        1.0809              66.6600             0.9122              20             
1              [1344/60000]        0.6447              66.7600             0.8930              21             
1              [1408/60000]        1.0592              65.4200             0.9321              22             
1              [1472/60000]        0.6332              60.9900             1.0701              23             
1              [1536/60000]        0.9990              67.6600             0.9379              24             
1              [1600/60000]        0.8385              69.6200             0.8567              25             
1              [1664/60000]        0.9347              66.2300             0.9152              26             
1              [1728/60000]        0.9800              73.8600             0.7526              27             
1              [1792/60000]        0.7968              69.1400             0.8075              28             
1              [1856/60000]        0.8995              70.1000             0.8221              29             
1              [1920/60000]        0.7682              69.9300             0.8310              30             
1              [1984/60000]        0.7480              67.1800             0.8219              31             
1              [2048/60000]        1.0019              69.5900             0.7829              32             
1              [2112/60000]        0.8868              69.4900             0.8700              33             
1              [2176/60000]        0.8391              69.5100             0.8661              34             
1              [2240/60000]        0.7999              71.4100             0.7674              35             
1              [2304/60000]        0.7609              67.9600             0.9091              36             
1              [2368/60000]        0.9338              67.6600             0.8256              37             
1              [2432/60000]        0.6230              75.2800             0.6960              38             
1              [2496/60000]        0.6931              74.3700             0.6937              39             
1              [2560/60000]        0.7559              66.8700             0.8196              40             
1              [2624/60000]        0.7474              68.3500             0.7712              41             
1              [2688/60000]        0.8122              69.2000             0.7797              42             
1              [2752/60000]        0.7055              68.4000             0.7704              43             
1              [2816/60000]        0.7975              75.9600             0.6756              44             
1              [2880/60000]        0.6625              73.4800             0.6959              45             
1              [2944/60000]        0.4701              72.3600             0.7058              46             
1              [3008/60000]        0.6713              69.3800             0.7875              47             
1              [3072/60000]        0.8191              72.2400             0.7383              48             
1              [3136/60000]        0.5093              77.1100             0.6305              49             
1              [3200/60000]        0.6719              78.3000             0.6277              50             
1              [3264/60000]        0.7035              73.9100             0.7046              51             
1              [3328/60000]        0.7216              75.3200             0.6890              52             
1              [3392/60000]        0.5546              75.2500             0.6655              53             
1              [3456/60000]        0.4906              77.8800             0.6222              54             
1              [3520/60000]        0.4837              77.3000             0.6363              55             
1              [3584/60000]        0.5589              74.8800             0.6701              56             
1              [3648/60000]        0.5765              76.7400             0.6390              57             
1              [3712/60000]        0.6907              72.3900             0.7508              58             
1              [3776/60000]        0.7408              77.3400             0.6328              59             
1              [3840/60000]        0.6311              73.3500             0.6515              60             
1              [3904/60000]        0.6291              74.2500             0.6821              61             
1              [3968/60000]        0.8709              65.8000             0.9594              62             
1              [4032/60000]        0.9577              67.1100             0.8627              63             
1              [4096/60000]        0.7802              76.4900             0.6859              64             
1              [4160/60000]        0.6868              72.8300             0.7468              65             
1              [4224/60000]        0.6890              77.9300             0.6432              66             
1              [4288/60000]        0.5434              76.5200             0.6263              67             
1              [4352/60000]        0.4803              77.2000             0.6260              68             
1              [4416/60000]        0.7174              77.1800             0.6180              69             
1              [4480/60000]        0.6978              78.8000             0.5859              70             
1              [4544/60000]        0.4580              77.6500             0.6069              71             
1              [4608/60000]        0.4524              78.4000             0.5870              72             
1              [4672/60000]        0.7139              66.5800             0.8355              73             
1              [4736/60000]        0.7532              77.8700             0.6162              74             
1              [4800/60000]        0.6297              79.2300             0.5802              75             
1              [4864/60000]        0.6644              76.4300             0.6473              76             
1              [4928/60000]        0.4620              77.0500             0.6371              77             
1              [4992/60000]        0.4584              77.8100             0.6177              78             
1              [5056/60000]        0.5196              79.4600             0.5782              79             
1              [5120/60000]        0.5093              76.8500             0.6189              80             
1              [5184/60000]        0.6043              77.8500             0.6123              81             
1              [5248/60000]        0.4858              78.1300             0.6007              82             
1              [5312/60000]        0.6478              78.3300             0.5943              83             
1              [5376/60000]        0.4606              78.6400             0.5627              84             
1              [5440/60000]        0.6212              79.6300             0.5704              85             
1              [5504/60000]        0.3303              77.8100             0.6185              86             
1              [5568/60000]        0.6086              76.2700             0.6687              87             
1              [5632/60000]        0.5120              80.4700             0.5448              88             
1              [5696/60000]        0.4302              79.5800             0.5710              89             
1              [5760/60000]        0.5378              80.6800             0.5501              90             
1              [5824/60000]        0.3850              78.2100             0.5845              91             
1              [5888/60000]        0.3084              77.0700             0.6039              92             
1              [5952/60000]        0.6858              78.7400             0.5758              93             
1              [6016/60000]        0.5262              79.0000             0.6035              94             
1              [6080/60000]        0.5439              79.0500             0.5825              95             
1              [6144/60000]        0.6614              74.9700             0.6670              96             
1              [6208/60000]        0.7176              78.2200             0.5750              97             
1              [6272/60000]        0.6179              78.3300             0.5981              98             
1              [6336/60000]        0.4252              79.1000             0.5889              99             
1              [6400/60000]        0.5145              81.9000             0.5183              100            
1              [6464/60000]        0.4987              80.2000             0.5804              101            
1              [6528/60000]        0.5912              77.9000             0.5775              102            
1              [6592/60000]        0.5474              80.5400             0.5422              103            
1              [6656/60000]        0.5679              78.7900             0.5689              104            
1              [6720/60000]        0.6578              78.4700             0.5770              105            
1              [6784/60000]        0.6206              78.2200             0.5736              106            
1              [6848/60000]        0.5550              78.4500             0.5716              107            
1              [6912/60000]        0.7025              79.2200             0.5822              108            
1              [6976/60000]        0.6176              81.6300             0.5182              109            
1              [7040/60000]        0.5355              78.5000             0.5808              110            
1              [7104/60000]        0.6537              80.4300             0.5610              111            
1              [7168/60000]        0.6467              78.4600             0.5773              112            
1              [7232/60000]        0.5817              77.1100             0.6205              113            
1              [7296/60000]        0.6539              79.2300             0.5613              114            
1              [7360/60000]        0.4070              80.7700             0.5349              115            
1              [7424/60000]        0.5133              76.6300             0.5926              116            
1              [7488/60000]        0.4939              77.2200             0.5892              117            
1              [7552/60000]        0.5222              78.3600             0.5569              118            
1              [7616/60000]        0.6358              79.5100             0.5465              119            
1              [7680/60000]        0.7180              80.1600             0.5585              120            
1              [7744/60000]        0.4850              81.0200             0.5207              121            
1              [7808/60000]        0.4985              75.3200             0.6658              122            
1              [7872/60000]        0.4676              80.1800             0.5347              123            
1              [7936/60000]        0.4818              78.8000             0.5784              124            
1              [8000/60000]        0.5609              78.4800             0.5478              125            
1              [8064/60000]        0.7366              78.1600             0.5862              126            
1              [8128/60000]        0.6326              77.4800             0.5881              127            
1              [8192/60000]        0.6754              81.6600             0.5059              128            
1              [8256/60000]        0.5642              82.1200             0.5084              129            
1              [8320/60000]        0.5248              81.5800             0.5270              130            
1              [8384/60000]        0.5192              76.5400             0.5732              131            
1              [8448/60000]        0.4219              79.3600             0.5664              132            
1              [8512/60000]        0.6007              81.5500             0.5042              133            
1              [8576/60000]        0.4353              81.0000             0.5153              134            
1              [8640/60000]        0.5685              79.5900             0.5615              135            
1              [8704/60000]        0.6074              79.3800             0.5644              136            
1              [8768/60000]        0.8013              78.5400             0.5749              137            
1              [8832/60000]        0.6172              81.2800             0.5111              138            
1              [8896/60000]        0.4122              82.8700             0.4846              139            
1              [8960/60000]        0.3236              82.2200             0.4983              140            
1              [9024/60000]        0.4595              80.6000             0.5286              141            
1              [9088/60000]        0.4006              82.4000             0.4873              142            
1              [9152/60000]        0.3471              81.7900             0.4973              143            
1              [9216/60000]        0.5281              82.5000             0.4810              144            
1              [9280/60000]        0.4874              81.5300             0.5030              145            
1              [9344/60000]        0.3601              81.7900             0.4991              146            
1              [9408/60000]        0.4752              78.0900             0.6061              147            
1              [9472/60000]        0.6989              77.8700             0.6225              148            
1              [9536/60000]        0.5114              82.8500             0.4855              149            
1              [9600/60000]        0.2622              82.2700             0.5044              150            
1              [9664/60000]        0.3827              81.2000             0.5410              151            
1              [9728/60000]        0.3330              82.5400             0.4984              152            
1              [9792/60000]        0.5802              74.1700             0.6670              153            
1              [9856/60000]        0.6774              79.6600             0.6023              154            
1              [9920/60000]        0.7030              79.6200             0.5300              155            
1              [9984/60000]        0.3752              82.6800             0.5020              156            
1              [10048/60000]       0.8215              82.1800             0.5191              157            
1              [10112/60000]       0.5151              81.2300             0.5351              158            
1              [10176/60000]       0.6922              78.2000             0.5419              159            
1              [10240/60000]       0.5313              81.7400             0.5114              160            
1              [10304/60000]       0.6240              82.1800             0.4916              161            
1              [10368/60000]       0.3277              81.8800             0.4989              162            
1              [10432/60000]       0.4417              82.9000             0.4836              163            
1              [10496/60000]       0.3854              83.4000             0.4747              164            
1              [10560/60000]       0.5428              79.9900             0.5154              165            
1              [10624/60000]       0.5844              81.3900             0.5114              166            
1              [10688/60000]       0.3929              82.3600             0.4999              167            
1              [10752/60000]       0.4309              76.6400             0.6211              168            
1              [10816/60000]       0.6109              82.1100             0.4976              169            
1              [10880/60000]       0.3573              82.9600             0.4871              170            
1              [10944/60000]       0.2721              82.0800             0.4868              171            
1              [11008/60000]       0.3919              83.3200             0.4752              172            
1              [11072/60000]       0.3835              81.7900             0.4908              173            
