Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3115              0
1              [64/60000]          2.2971              27.1500             11.7891             1              
1              [128/60000]         13.8304             44.6700             10.4994             2              
1              [192/60000]         8.7696              16.9500             21.0445             3              
1              [256/60000]         17.5572             26.1200             12.4656             4              
1              [320/60000]         11.6570             21.2300             14.2467             5              
1              [384/60000]         16.7315             41.2800             11.1015             6              
1              [448/60000]         10.9163             43.4000             5.5182              7              
1              [512/60000]         6.2694              58.6600             4.8435              8              
1              [576/60000]         2.5934              49.5100             6.2392              9              
1              [640/60000]         5.3268              62.0200             6.6797              10             
1              [704/60000]         5.5993              61.6200             4.6614              11             
1              [768/60000]         4.7515              55.7900             2.8942              12             
1              [832/60000]         2.9181              51.3400             4.1314              13             
1              [896/60000]         4.6346              60.8400             2.6711              14             
1              [960/60000]         2.6408              57.4400             2.3273              15             
1              [1024/60000]        1.7982              72.4100             2.0172              16             
1              [1088/60000]        1.8831              73.8600             1.3277              17             
1              [1152/60000]        1.7572              74.8500             1.0396              18             
1              [1216/60000]        1.1473              75.1500             0.9009              19             
1              [1280/60000]        0.8421              72.1900             1.0453              20             
1              [1344/60000]        0.8993              74.7500             0.8295              21             
1              [1408/60000]        0.8850              69.6600             1.2084              22             
1              [1472/60000]        1.0720              72.0900             0.9516              23             
1              [1536/60000]        0.8049              73.9800             1.0666              24             
1              [1600/60000]        1.7565              66.7300             1.7793              25             
1              [1664/60000]        1.9856              64.4300             2.0346              26             
1              [1728/60000]        1.3535              57.0100             2.7186              27             
1              [1792/60000]        2.0672              69.6900             1.3579              28             
1              [1856/60000]        1.4471              71.8800             1.2735              29             
1              [1920/60000]        1.2535              72.5600             1.0310              30             
1              [1984/60000]        0.8830              75.5900             0.8023              31             
1              [2048/60000]        0.6554              72.5800             1.0150              32             
1              [2112/60000]        1.0354              69.7500             1.3321              33             
1              [2176/60000]        1.1059              71.9600             1.1043              34             
1              [2240/60000]        1.5882              64.9200             1.4018              35             
1              [2304/60000]        1.8590              57.0600             2.5411              36             
1              [2368/60000]        2.2471              75.8400             0.8062              37             
1              [2432/60000]        1.3154              68.9600             1.3105              38             
1              [2496/60000]        1.1709              74.1600             0.9032              39             
1              [2560/60000]        1.0187              77.7300             0.7192              40             
1              [2624/60000]        0.8868              75.2700             0.9322              41             
1              [2688/60000]        0.7670              75.9500             0.7714              42             
1              [2752/60000]        0.8379              70.0200             0.9933              43             
1              [2816/60000]        1.1900              72.9500             1.2457              44             
1              [2880/60000]        0.7674              79.0400             0.7176              45             
1              [2944/60000]        0.8616              70.9400             0.9901              46             
1              [3008/60000]        1.0772              72.9400             0.9741              47             
1              [3072/60000]        0.7875              74.4300             0.9673              48             
1              [3136/60000]        0.5874              71.6000             1.0587              49             
1              [3200/60000]        1.1972              77.7000             0.7505              50             
1              [3264/60000]        0.8637              71.6800             1.0386              51             
