Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,2.3035,9.02,100
1,2.30369,1.6920789999999999,44.15560000000001,100
2,1.6874719999999999,3.5695530000000004,37.473800000000004,100
3,3.5569479999999998,3.954749,36.3785,100
4,3.944936,3.4857650000000002,39.2584,100
5,3.464044,2.903438,43.1126,100
6,2.903231,2.365986,46.5044,100
7,2.352707,1.847004,50.976000000000006,100
8,1.847464,1.502194,57.2365,100
9,1.480179,1.272698,60.586400000000005,100
10,1.268608,1.130074,63.7367,100
11,1.112457,1.02235,66.3253,100
12,1.012408,0.9671949999999999,67.9618,100
13,0.950538,0.904138,69.2579,100
14,0.895043,0.8828489999999999,70.3932,100
15,0.8673770000000001,0.844713,71.095,100
16,0.8361379999999999,0.8108669999999999,72.1632,100
17,0.8027549999999999,0.796691,72.46300000000001,100
18,0.780693,0.7843000000000001,72.9628,100
19,0.768772,0.7576930000000001,73.3527,100
20,0.743349,0.748419,73.7511,100
21,0.735837,0.743536,73.9188,100
22,0.7260089999999999,0.72357,74.6491,100
23,0.7131310000000001,0.718189,74.8047,100
24,0.696755,0.7022400000000001,75.218,100
25,0.690644,0.700092,75.16640000000001,100
26,0.6800740000000001,0.700373,75.3854,100
27,0.68756,0.69354,75.3352,100
28,0.678871,0.6919240000000001,75.8255,100
29,0.679717,0.686604,75.5786,100
30,0.671334,0.6836620000000001,75.5933,100
31,0.672272,0.69381,75.4533,100
32,0.6761459999999999,0.6732899999999999,76.0566,100
33,0.653596,0.672295,75.8826,100
34,0.660513,0.668613,76.4033,100
35,0.654393,0.6593800000000001,76.4484,100
36,0.644542,0.657985,76.4077,100
37,0.641684,0.6605,76.5802,100
38,0.645085,0.645971,77.1947,100
39,0.6316729999999999,0.6348400000000001,77.3833,100
40,0.618396,0.632811,77.3244,100
41,0.618037,0.638552,76.9722,100
42,0.617281,0.639834,77.06819999999999,100
43,0.6244700000000001,0.6398769999999999,76.8696,100
44,0.6245499999999999,0.638559,77.172,100
45,0.6194769999999999,0.623647,77.47279999999999,100
46,0.611526,0.626525,77.4367,100
47,0.608264,0.624283,77.5278,100
48,0.6141570000000001,0.622703,77.5555,100
49,0.605554,0.619786,77.62899999999999,100
50,0.604333,0.615492,77.906,100
51,0.591734,0.61265,77.9325,100
52,0.595135,0.607054,77.9973,100
53,0.59273,0.607711,78.0228,100
54,0.591674,0.607306,78.0516,100
55,0.59027,0.593117,78.5073,100
56,0.580433,0.589083,78.602,100
57,0.5674779999999999,0.5882390000000001,78.7045,100
58,0.568362,0.587863,78.7142,100
59,0.567889,0.600514,78.38730000000001,100
60,0.579969,0.591027,78.5438,100
61,0.566096,0.582228,78.97980000000001,100
62,0.5676209999999999,0.574042,79.2347,100
63,0.550076,0.566804,79.4258,100
64,0.5459499999999999,0.566119,79.4446,100
65,0.547133,0.5679569999999999,79.4453,100
66,0.548667,0.564978,79.53829999999999,100
67,0.545374,0.56237,79.6642,100
68,0.541307,0.559878,79.5151,100
69,0.534125,0.558736,79.9584,100
70,0.537675,0.545805,80.0959,100
71,0.524408,0.553366,79.8804,100
72,0.528805,0.555309,79.8432,100
73,0.53326,0.5458919999999999,80.2799,100
74,0.523147,0.538826,80.285,100
75,0.519366,0.537886,80.4824,100
76,0.515379,0.540376,80.22980000000001,100
77,0.517697,0.5353829999999999,80.6254,100
78,0.512385,0.532802,80.4526,100
79,0.510062,0.535478,80.61970000000001,100
80,0.5142828282828283,0.5273636363636364,80.80787878787878,99
81,0.5008656565656566,0.5268929292929293,80.77464646464647,99
82,0.5043373737373738,0.5286898989898989,80.75474747474748,99
83,0.5026636363636363,0.5245343434343435,80.92121212121212,99
84,0.5034313131313132,0.5252626262626262,80.85767676767676,99
85,0.502430303030303,0.5236121212121212,80.93323232323233,99
86,0.5001979797979798,0.518080808080808,81.17545454545454,99
87,0.4975464646464647,0.5171858585858585,81.2220202020202,99
88,0.4913585858585859,0.5157434343434343,81.24161616161616,99
89,0.4975363636363636,0.5131282828282828,81.34676767676767,99
90,0.4884747474747475,0.5112353535353535,81.38454545454545,99
91,0.48454444444444444,0.5088111111111111,81.62838383838384,99
92,0.4871030303030303,0.5043656565656566,81.59848484848484,99
93,0.4841888888888889,0.5037484848484848,81.76474747474748,99
94,0.48003636363636365,0.5057666666666667,81.49393939393939,99
95,0.48700101010101005,0.5159343434343434,81.28252525252526,99
96,0.4958818181818182,0.5078565656565657,81.38414141414141,99
97,0.4865323232323232,0.5064111111111111,81.70535353535354,99
98,0.4815464646464646,0.4998161616161616,81.67363636363636,99
99,0.47994949494949496,0.5061868686868687,81.6179797979798,99
100,0.475871875,0.499390625,81.76895833333333,96
101,0.47793541666666667,0.5021697916666666,81.77447916666667,96
102,0.4805729166666666,0.49856979166666665,81.8340625,96
103,0.4746489583333333,0.49505312500000004,81.97208333333333,96
104,0.47189895833333334,0.4944979166666667,81.97947916666666,96
105,0.47020833333333334,0.5001645833333334,81.76916666666666,96
106,0.4734833333333333,0.49493125,81.96739583333333,96
107,0.4694041666666667,0.4907958333333333,82.05364583333333,96
108,0.47006666666666663,0.488309375,82.19645833333333,96
109,0.4682385416666666,0.48738125000000004,82.2,96
110,0.46505104166666666,0.48560625,82.35354166666666,96
111,0.4642291666666667,0.4838375,82.34270833333333,96
112,0.4634947916666667,0.48271875000000003,82.38239583333333,96
113,0.46216250000000003,0.4785270833333333,82.58447916666667,96
114,0.45429583333333334,0.47534583333333336,82.6665625,96
115,0.45490312499999996,0.47834895833333335,82.575,96
116,0.45208333333333334,0.475009375,82.67302083333333,96
117,0.45646562500000004,0.47953229166666667,82.53,96
118,0.45610208333333335,0.490609375,82.0534375,96
119,0.46502708333333337,0.48551666666666665,82.39479166666666,96
120,0.45299186046511625,0.4738372093023256,82.73616279069766,86
121,0.4477116279069767,0.4750848837209303,82.63720930232559,86
122,0.44593604651162794,0.47535,82.65860465116279,86
123,0.44239534883720927,0.47455697674418607,82.7513953488372,86
124,0.450053488372093,0.47164186046511625,82.72093023255815,86
125,0.43828255813953493,0.4731558139534884,82.74790697674418,86
126,0.44815232558139534,0.4729081395348837,82.64174418604651,86
127,0.43904651162790703,0.46667325581395347,83.06732558139535,86
128,0.4409441860465116,0.46563953488372095,82.99941860465115,86
129,0.4359209302325581,0.46724069767441856,82.95953488372093,86
130,0.4385558139534884,0.46576511627906975,83.03127906976745,86
131,0.43979069767441864,0.4693186046511628,82.88511627906976,86
132,0.44399302325581397,0.46847441860465117,82.95744186046512,86
133,0.44187093023255813,0.46929883720930227,82.8017441860465,86
134,0.43910813953488376,0.46835581395348835,83.0153488372093,86
135,0.44287674418604656,0.46373023255813955,83.06267441860466,86
136,0.43312906976744187,0.46011162790697674,83.3463953488372,86
137,0.4393372093023256,0.4566697674418605,83.37267441860466,86
138,0.4289581395348837,0.45932093023255816,83.31511627906977,86
139,0.43182790697674417,0.45912441860465114,83.26627906976744,86
140,0.4262128205128205,0.45934487179487177,83.36038461538462,78
141,0.4321897435897436,0.45574358974358975,83.46666666666667,78
142,0.4256615384615384,0.45207820512820507,83.62012820512821,78
143,0.4263384615384615,0.4530115384615384,83.6275641025641,78
144,0.42116282051282056,0.4537628205128206,83.47487179487179,78
145,0.4244205128205128,0.4571333333333333,83.41910256410256,78
146,0.42843589743589744,0.459598717948718,83.20525641025641,78
147,0.43553974358974357,0.4587961538461538,83.31089743589743,78
148,0.4303923076923077,0.45505384615384614,83.36564102564103,78
149,0.428001282051282,0.4540128205128205,83.53846153846153,78
150,0.4257846153846154,0.4495653846153846,83.53615384615384,78
151,0.42156923076923075,0.4477230769230769,83.73897435897436,78
152,0.4233846153846154,0.4459807692307692,83.9026923076923,78
153,0.41772820512820513,0.4431012820512821,83.93025641025642,78
154,0.4156730769230769,0.445525641025641,83.80679487179488,78
155,0.416324358974359,0.4478705128205128,83.65243589743591,78
156,0.4204410256410257,0.44704230769230774,83.83307692307692,78
157,0.42298589743589743,0.4462064102564102,83.66794871794872,78
