Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3212              0
1              [1024/60000]        2.3224              38.4300             4.4197              1              
1              [2048/60000]        4.5629              51.7400             7.5504              2              
1              [3072/60000]        7.5000              38.7000             15.1760             3              
1              [4096/60000]        15.2961             27.6300             11.7334             4              
1              [5120/60000]        11.8070             37.6100             5.6490              5              
1              [6144/60000]        5.5919              38.1200             5.4130              6              
1              [7168/60000]        5.4615              39.0000             6.1779              7              
1              [8192/60000]        5.9599              48.0900             6.2169              8              
1              [9216/60000]        5.9534              59.9700             3.7086              9              
1              [10240/60000]       3.4000              68.4100             2.4792              10             
1              [11264/60000]       2.4719              67.5400             2.2362              11             
1              [12288/60000]       2.2605              71.1400             0.9851              12             
1              [13312/60000]       0.9028              73.8800             0.9958              13             
1              [14336/60000]       0.9614              64.9500             1.1185              14             
1              [15360/60000]       1.0095              64.1200             1.4598              15             
1              [16384/60000]       1.5109              65.4600             1.5107              16             
1              [17408/60000]       1.4051              74.2300             0.8766              17             
1              [18432/60000]       0.8318              73.3300             0.9107              18             
1              [19456/60000]       0.8242              72.4500             1.3000              19             
1              [20480/60000]       1.2921              74.3600             0.9614              20             
1              [21504/60000]       0.8350              77.4800             0.6578              21             
1              [22528/60000]       0.6606              79.6100             0.6008              22             
1              [23552/60000]       0.6370              73.8800             0.7090              23             
1              [24576/60000]       0.7260              76.0200             1.1769              24             
1              [25600/60000]       1.0730              77.8700             0.6736              25             
1              [26624/60000]       0.6833              70.5800             0.7963              26             
1              [27648/60000]       0.7333              78.0600             1.1623              27             
1              [28672/60000]       1.1280              75.3100             0.7583              28             
1              [29696/60000]       0.7641              74.4600             0.9113              29             
1              [30720/60000]       0.9370              73.7900             0.9186              30             
1              [31744/60000]       0.8872              75.4300             1.0176              31             
1              [32768/60000]       1.0683              79.2400             0.6376              32             
1              [33792/60000]       0.6264              79.1300             0.6094              33             
1              [34816/60000]       0.5798              78.8400             0.7294              34             
1              [35840/60000]       0.7132              79.2500             0.5962              35             
1              [36864/60000]       0.5799              79.4500             0.6227              36             
1              [37888/60000]       0.6221              75.4500             0.6550              37             
1              [38912/60000]       0.6198              76.5900             0.8685              38             
1              [39936/60000]       0.7925              76.6800             0.6723              39             
1              [40960/60000]       0.6549              74.6700             0.8235              40             
1              [41984/60000]       0.7343              75.5700             0.8398              41             
1              [43008/60000]       0.8484              76.7700             0.8620              42             
1              [44032/60000]       0.9138              74.8700             0.8064              43             
1              [45056/60000]       0.7592              78.5900             0.7585              44             
1              [46080/60000]       0.8132              78.1500             0.6120              45             
1              [47104/60000]       0.5549              79.1700             0.6886              46             
1              [48128/60000]       0.6543              79.9000             0.5705              47             
1              [49152/60000]       0.5545              80.8000             0.5660              48             
1              [50176/60000]       0.5504              78.1700             0.6191              49             
1              [51200/60000]       0.5999              78.5700             0.6316              50             
1              [52224/60000]       0.6350              73.4100             0.7733              51             
1              [53248/60000]       0.6890              80.3300             0.7390              52             
1              [54272/60000]       0.7760              82.4500             0.4958              53             
1              [55296/60000]       0.4477              83.2400             0.4847              54             
1              [56320/60000]       0.4421              81.1200             0.5160              55             
1              [57344/60000]       0.4873              81.3300             0.5537              56             
1              [58368/60000]       0.5535              77.3100             0.6708              57             
1              [59392/60000]       0.7198              74.8600             0.8142              58             
1              [35872/60000]       0.8405              76.2300             0.8503              59             
2              [1024/60000]        0.8071              81.1200             0.5603              60             
2              [2048/60000]        0.5351              82.0000             0.5017              61             
2              [3072/60000]        0.4325              82.1200             0.5217              62             
2              [4096/60000]        0.4913              80.8900             0.5299              63             
2              [5120/60000]        0.4728              80.4200             0.5658              64             
2              [6144/60000]        0.5230              79.2100             0.5495              65             
2              [7168/60000]        0.5595              79.0900             0.6256              66             
2              [8192/60000]        0.6112              79.4800             0.5463              67             
2              [9216/60000]        0.5097              80.5400             0.5784              68             
2              [10240/60000]       0.5274              79.4300             0.5740              69             
2              [11264/60000]       0.5498              80.4000             0.5766              70             
2              [12288/60000]       0.5718              78.7400             0.5888              71             
2              [13312/60000]       0.5781              82.0500             0.5236              72             
2              [14336/60000]       0.5204              79.8200             0.5669              73             
2              [15360/60000]       0.5483              81.7500             0.5312              74             
2              [16384/60000]       0.4927              79.7000             0.5539              75             
2              [17408/60000]       0.5678              81.8500             0.5207              76             
2              [18432/60000]       0.4926              81.2200             0.4951              77             
2              [19456/60000]       0.5043              82.2900             0.5114              78             
2              [20480/60000]       0.4974              80.9200             0.5071              79             
2              [21504/60000]       0.4918              81.9100             0.5437              80             
2              [22528/60000]       0.5153              82.5200             0.4934              81             
2              [23552/60000]       0.4728              82.1700             0.5074              82             
2              [24576/60000]       0.4693              83.7300             0.4667              83             
2              [25600/60000]       0.4177              82.8200             0.4801              84             
2              [26624/60000]       0.4939              80.9600             0.5407              85             
2              [27648/60000]       0.4845              81.4700             0.5154              86             
2              [28672/60000]       0.4453              82.5700             0.5010              87             
2              [29696/60000]       0.4379              82.4100             0.4723              88             
2              [30720/60000]       0.4236              81.9200             0.5217              89             
2              [31744/60000]       0.5028              79.5900             0.5640              90             
2              [32768/60000]       0.5200              79.7000             0.6019              91             
2              [33792/60000]       0.6079              80.5200             0.5612              92             
2              [34816/60000]       0.5056              82.2100             0.5054              93             
2              [35840/60000]       0.4332              82.6800             0.4871              94             
2              [36864/60000]       0.4874              82.6400             0.4864              95             
2              [37888/60000]       0.4709              82.9600             0.4815              96             
2              [38912/60000]       0.4084              83.1500             0.4579              97             
2              [39936/60000]       0.4523              84.1000             0.4549              98             
2              [40960/60000]       0.4459              83.8500             0.4525              99             
2              [41984/60000]       0.4198              83.5400             0.4618              100            
2              [43008/60000]       0.4118              83.7200             0.4540              101            
2              [44032/60000]       0.4029              84.0500             0.4459              102            
2              [45056/60000]       0.4239              84.4100             0.4436              103            
2              [46080/60000]       0.4255              83.5300             0.4564              104            
2              [47104/60000]       0.4676              82.4800             0.4765              105            
2              [48128/60000]       0.4293              82.8800             0.4800              106            
2              [49152/60000]       0.4588              81.0600             0.5111              107            
2              [50176/60000]       0.4775              81.4100             0.5328              108            
2              [51200/60000]       0.5394              80.0000             0.5798              109            
2              [52224/60000]       0.5624              83.9000             0.4543              110            
2              [53248/60000]       0.4761              82.8500             0.4569              111            
2              [54272/60000]       0.4098              83.2500             0.4716              112            
2              [55296/60000]       0.4746              82.5000             0.4727              113            
2              [56320/60000]       0.4576              83.5100             0.4667              114            
2              [57344/60000]       0.4597              82.4600             0.4814              115            
2              [58368/60000]       0.4074              83.6200             0.4588              116            
2              [59392/60000]       0.4680              82.5100             0.4846              117            
2              [35872/60000]       0.4371              83.2400             0.4646              118            
3              [1024/60000]        0.4506              84.2700             0.4412              119            
3              [2048/60000]        0.4102              82.5700             0.4733              120            
3              [3072/60000]        0.4152              84.3900             0.4420              121            
3              [4096/60000]        0.4000              84.8400             0.4202              122            
3              [5120/60000]        0.3822              85.5900             0.4089              123            
3              [6144/60000]        0.3608              85.3500             0.4096              124            
3              [7168/60000]        0.3663              85.6500             0.4071              125            
3              [8192/60000]        0.3337              85.2400             0.4096              126            
3              [9216/60000]        0.3734              84.6800             0.4315              127            
3              [10240/60000]       0.3936              82.4500             0.4637              128            
3              [11264/60000]       0.3938              82.8100             0.4862              129            
3              [12288/60000]       0.4027              83.6700             0.4573              130            
3              [13312/60000]       0.4156              83.1400             0.4837              131            
3              [14336/60000]       0.4667              82.0800             0.4987              132            
3              [15360/60000]       0.4758              80.5000             0.5789              133            
3              [16384/60000]       0.5116              83.5800             0.4548              134            
3              [17408/60000]       0.4266              83.5600             0.4601              135            
3              [18432/60000]       0.3665              84.2700             0.4394              136            
3              [19456/60000]       0.4631              83.9400             0.4418              137            
3              [20480/60000]       0.4076              83.5000             0.4494              138            
3              [21504/60000]       0.4872              82.0000             0.5125              139            
3              [22528/60000]       0.5457              78.4800             0.5805              140            
3              [23552/60000]       0.5621              83.0800             0.4762              141            
3              [24576/60000]       0.4385              85.0700             0.4161              142            
3              [25600/60000]       0.3688              85.9000             0.4049              143            
3              [26624/60000]       0.3759              85.5300             0.4077              144            
3              [27648/60000]       0.4081              85.3300             0.4050              145            
3              [28672/60000]       0.3400              84.9100             0.4254              146            
3              [29696/60000]       0.3921              83.1500             0.4381              147            
3              [30720/60000]       0.3828              83.8700             0.4644              148            
3              [31744/60000]       0.4357              84.4400             0.4234              149            
3              [32768/60000]       0.3344              85.2400             0.4176              150            
3              [33792/60000]       0.4113              82.2600             0.4645              151            
3              [34816/60000]       0.4107              84.5700             0.4386              152            
3              [35840/60000]       0.4011              84.4500             0.4181              153            
3              [36864/60000]       0.3658              85.5400             0.4115              154            
3              [37888/60000]       0.4240              83.8100             0.4325              155            
3              [38912/60000]       0.3445              85.9200             0.3943              156            
3              [39936/60000]       0.3911              85.2300             0.4012              157            
3              [40960/60000]       0.3702              85.4100             0.4161              158            
3              [41984/60000]       0.4003              84.3700             0.4244              159            
3              [43008/60000]       0.3769              84.8400             0.4303              160            
3              [44032/60000]       0.3970              84.1400             0.4266              161            
3              [45056/60000]       0.4097              84.0600             0.4310              162            
3              [46080/60000]       0.3761              83.3700             0.4637              163            
3              [47104/60000]       0.4077              85.2200             0.4112              164            
3              [48128/60000]       0.3572              86.1100             0.3918              165            
3              [49152/60000]       0.3830              84.8000             0.4202              166            
3              [50176/60000]       0.4436              84.8300             0.4200              167            
3              [51200/60000]       0.3893              84.5600             0.4195              168            
3              [52224/60000]       0.3640              84.9900             0.4224              169            
3              [53248/60000]       0.3857              84.5200             0.4273              170            
3              [54272/60000]       0.3818              84.8400             0.4212              171            
3              [55296/60000]       0.4053              85.3100             0.4025              172            
3              [56320/60000]       0.4263              83.8000             0.4560              173            
3              [57344/60000]       0.4380              81.8600             0.5007              174            
3              [58368/60000]       0.4109              83.8300             0.4571              175            
3              [59392/60000]       0.4271              83.4500             0.4462              176            
3              [35872/60000]       0.3853              84.7700             0.4246              177            
4              [1024/60000]        0.3998              83.6500             0.4379              178            
4              [2048/60000]        0.3931              83.8500             0.4484              179            
4              [3072/60000]        0.3886              83.5200             0.4487              180            
