Batch_Size,Pruning_Percentage,CE_Type,AUC
64,1.0,Avg_CE_Train,780.5763465249815
64,0.9,Avg_CE_Train,227.12175174748833
64,0.8,Avg_CE_Train,207.50787601267362
64,0.7,Avg_CE_Train,198.94381318564848
64,0.6,Avg_CE_Train,197.93065557970422
64,0.5,Avg_CE_Train,199.61961269453303
64,0.4,Avg_CE_Train,203.3752347522385
64,0.3,Avg_CE_Train,209.35315259165958
64,0.2,Avg_CE_Train,216.80578458111196
64,0.1,Avg_CE_Train,225.97178798204348
64,0.0,Avg_CE_Train,240.16527291509271
64,1.0,Avg_CE_Test,780.5763465249815
64,0.9,Avg_CE_Test,234.0918315832671
64,0.8,Avg_CE_Test,214.7836248157487
64,0.7,Avg_CE_Test,205.51779991691433
64,0.6,Avg_CE_Test,205.1166489555962
64,0.5,Avg_CE_Test,206.49695775545246
64,0.4,Avg_CE_Test,210.56177927632586
64,0.3,Avg_CE_Test,216.63553853753353
64,0.2,Avg_CE_Test,223.96653796602808
64,0.1,Avg_CE_Test,233.7609814622208
64,0.0,Avg_CE_Test,248.24587299481948
1024,1.0,Avg_CE_Train,780.5763465249815
1024,0.9,Avg_CE_Train,204.51068189293136
1024,0.8,Avg_CE_Train,181.87202951920997
1024,0.7,Avg_CE_Train,173.2162932906034
1024,0.6,Avg_CE_Train,170.93706971715343
1024,0.5,Avg_CE_Train,172.78098574745133
1024,0.4,Avg_CE_Train,173.21976368346276
1024,0.3,Avg_CE_Train,177.81961334535632
1024,0.2,Avg_CE_Train,181.14374165839178
1024,0.1,Avg_CE_Train,186.42052926650325
1024,0.0,Avg_CE_Train,193.86176260151788
1024,1.0,Avg_CE_Test,780.5763465249815
1024,0.9,Avg_CE_Test,212.8883419953753
1024,0.8,Avg_CE_Test,190.55993314946596
1024,0.7,Avg_CE_Test,182.26224721510926
1024,0.6,Avg_CE_Test,180.3105638540116
1024,0.5,Avg_CE_Test,182.4119651344018
1024,0.4,Avg_CE_Test,183.35293091889935
1024,0.3,Avg_CE_Test,188.36253883897643
1024,0.2,Avg_CE_Test,192.29842248465621
1024,0.1,Avg_CE_Test,198.18146297853005
1024,0.0,Avg_CE_Test,206.4040557538056
