Batch_Size,Pruning_Percentage,CE_Type,AUC
64,1.0,Avg_CE_Train,872.6797502447434
64,0.9,Avg_CE_Train,236.41039264553777
64,0.8,Avg_CE_Train,234.4831971098609
64,0.7,Avg_CE_Train,237.52168559256538
64,0.6,Avg_CE_Train,237.71381185940444
64,0.5,Avg_CE_Train,244.658701056274
64,0.4,Avg_CE_Train,244.14409001068924
64,0.3,Avg_CE_Train,248.0089928032799
64,0.2,Avg_CE_Train,251.39072920506524
64,0.1,Avg_CE_Train,253.62849144849218
64,0.0,Avg_CE_Train,256.54917031393387
64,1.0,Avg_CE_Test,872.6797502447434
64,0.9,Avg_CE_Test,244.0638644045536
64,0.8,Avg_CE_Test,241.88965268001112
64,0.7,Avg_CE_Test,245.94842427786477
64,0.6,Avg_CE_Test,246.4532578245931
64,0.5,Avg_CE_Test,252.74992747809537
64,0.4,Avg_CE_Test,252.85918325975186
64,0.3,Avg_CE_Test,257.0266185875554
64,0.2,Avg_CE_Test,260.639815370361
64,0.1,Avg_CE_Test,262.6289296996554
64,0.0,Avg_CE_Test,265.155833751486
1024,1.0,Avg_CE_Train,1010.8348558243862
1024,0.9,Avg_CE_Train,228.09527942439345
1024,0.8,Avg_CE_Train,221.60471593088312
1024,0.7,Avg_CE_Train,218.46737172699466
1024,0.6,Avg_CE_Train,220.94119542743752
1024,0.5,Avg_CE_Train,223.47314842058432
1024,0.4,Avg_CE_Train,222.509629174731
1024,0.3,Avg_CE_Train,224.9057311745136
1024,0.2,Avg_CE_Train,225.52023741461664
1024,0.1,Avg_CE_Train,225.02502475220726
1024,0.0,Avg_CE_Train,224.31504049245348
1024,1.0,Avg_CE_Test,1010.8348558243862
1024,0.9,Avg_CE_Test,240.7044513890936
1024,0.8,Avg_CE_Test,235.4692999548554
1024,0.7,Avg_CE_Test,232.99479998305736
1024,0.6,Avg_CE_Test,235.9526521938896
1024,0.5,Avg_CE_Test,239.4261563704095
1024,0.4,Avg_CE_Test,238.87661560968667
1024,0.3,Avg_CE_Test,241.73465013575554
1024,0.2,Avg_CE_Test,242.70562768480144
1024,0.1,Avg_CE_Test,242.44505849646322
1024,0.0,Avg_CE_Test,242.5078451509402
