Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3070              0
1              [1024/60000]        2.3075              53.1900             1.9378              1              
1              [2048/60000]        1.9258              50.7300             1.6521              2              
1              [3072/60000]        1.6737              61.9400             1.4385              3              
1              [4096/60000]        1.4183              57.1700             1.2943              4              
1              [5120/60000]        1.2987              60.9800             1.1979              5              
1              [6144/60000]        1.1697              53.6200             1.2459              6              
1              [7168/60000]        1.2348              50.6200             1.2541              7              
1              [8192/60000]        1.2117              52.8200             1.1692              8              
1              [9216/60000]        1.1668              59.4000             1.1351              9              
1              [10240/60000]       1.1327              61.6300             1.0752              10             
1              [11264/60000]       1.0406              61.5200             0.9839              11             
1              [12288/60000]       0.9899              64.2800             1.1518              12             
1              [13312/60000]       1.1045              65.2800             1.0802              13             
1              [14336/60000]       1.0435              62.2900             0.9448              14             
1              [15360/60000]       0.9183              66.3500             0.8957              15             
1              [16384/60000]       0.8910              68.6700             0.9285              16             
1              [17408/60000]       0.8597              69.3500             0.8562              17             
1              [18432/60000]       0.8213              71.0800             0.8150              18             
1              [19456/60000]       0.7662              70.6500             0.7780              19             
1              [20480/60000]       0.8021              70.7700             0.7982              20             
1              [21504/60000]       0.8051              69.5800             0.8246              21             
1              [22528/60000]       0.7632              72.4100             0.7459              22             
1              [23552/60000]       0.7066              66.5200             0.8099              23             
1              [24576/60000]       0.7799              69.2700             0.9107              24             
1              [25600/60000]       0.9654              69.8500             0.8010              25             
1              [26624/60000]       0.7788              72.9900             0.7366              26             
1              [27648/60000]       0.7440              72.8800             0.7376              27             
1              [28672/60000]       0.7381              69.6800             0.7543              28             
1              [29696/60000]       0.7308              72.3300             0.7310              29             
1              [30720/60000]       0.7899              71.3200             0.7256              30             
1              [31744/60000]       0.7742              71.4800             0.7730              31             
1              [32768/60000]       0.7424              74.0500             0.6942              32             
1              [33792/60000]       0.6366              75.9200             0.6595              33             
1              [34816/60000]       0.6486              75.8800             0.6477              34             
1              [35840/60000]       0.6875              75.6200             0.6727              35             
1              [36864/60000]       0.6979              76.1600             0.6467              36             
1              [37888/60000]       0.6344              77.5800             0.6228              37             
1              [38912/60000]       0.6095              77.8800             0.6053              38             
1              [39936/60000]       0.5972              78.1800             0.6040              39             
1              [40960/60000]       0.6142              76.2100             0.6384              40             
1              [41984/60000]       0.5991              77.8300             0.6080              41             
1              [43008/60000]       0.5797              77.4900             0.6028              42             
1              [44032/60000]       0.5739              78.2400             0.6045              43             
1              [45056/60000]       0.6058              72.2600             0.7097              44             
1              [46080/60000]       0.6846              76.6100             0.6953              45             
1              [47104/60000]       0.7423              77.3900             0.6072              46             
1              [48128/60000]       0.5796              78.0800             0.6037              47             
1              [49152/60000]       0.5433              80.2400             0.5570              48             
1              [50176/60000]       0.5704              80.1200             0.5499              49             
1              [51200/60000]       0.5044              79.1700             0.5663              50             
1              [52224/60000]       0.5889              76.6100             0.6222              51             
1              [53248/60000]       0.5895              76.0000             0.6348              52             
1              [54272/60000]       0.6361              78.1300             0.5940              53             
1              [55296/60000]       0.6588              76.7900             0.6322              54             
1              [56320/60000]       0.6201              78.1700             0.6134              55             
1              [57344/60000]       0.6191              78.0100             0.5902              56             
1              [58368/60000]       0.5886              79.6700             0.5674              57             
1              [59392/60000]       0.5237              80.1200             0.5491              58             
1              [35872/60000]       0.4671              79.8400             0.5626              59             
2              [1024/60000]        0.5759              79.0400             0.5625              60             
2              [2048/60000]        0.5304              79.8200             0.5586              61             
2              [3072/60000]        0.5661              79.2200             0.5628              62             
2              [4096/60000]        0.5253              77.6500             0.6023              63             
2              [5120/60000]        0.5659              76.9300             0.6307              64             
2              [6144/60000]        0.5586              79.2000             0.5520              65             
2              [7168/60000]        0.5455              79.5200             0.5640              66             
