Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3101              0
1              [64/60000]          2.3217              23.9600             9.1893              1              
1              [128/60000]         8.7449              19.3600             12.4396             2              
1              [192/60000]         14.8111             29.9900             12.5355             3              
1              [256/60000]         14.2901             41.9000             9.1765              4              
1              [320/60000]         9.2983              34.0200             8.9340              5              
1              [384/60000]         9.7206              33.2700             7.7191              6              
1              [448/60000]         6.6508              40.2200             6.9160              7              
1              [512/60000]         6.1935              36.5400             7.1476              8              
1              [576/60000]         5.1894              44.2600             7.3848              9              
1              [640/60000]         8.5855              55.9600             4.3372              10             
1              [704/60000]         3.0883              65.5000             1.9319              11             
1              [768/60000]         1.7965              68.0100             1.7317              12             
1              [832/60000]         1.0897              69.4100             1.3419              13             
1              [896/60000]         1.4130              57.7900             1.9169              14             
1              [960/60000]         1.8633              65.4200             1.4546              15             
1              [1024/60000]        1.4004              71.7600             1.1729              16             
1              [1088/60000]        1.1363              64.9300             1.2701              17             
1              [1152/60000]        1.0688              68.2600             1.7000              18             
1              [1216/60000]        1.9380              64.5800             2.3832              19             
1              [1280/60000]        1.2444              67.0400             1.2923              20             
1              [1344/60000]        1.1375              63.2000             2.0226              21             
1              [1408/60000]        1.7705              64.2800             1.2426              22             
1              [1472/60000]        1.2815              74.0200             1.0666              23             
1              [1536/60000]        1.1205              67.7100             1.1467              24             
1              [1600/60000]        0.6782              75.2700             1.0887              25             
1              [1664/60000]        1.0643              71.4700             1.0082              26             
1              [1728/60000]        0.9164              71.2700             0.9242              27             
1              [1792/60000]        0.8840              63.6600             1.2646              28             
1              [1856/60000]        1.2916              66.1100             1.8717              29             
1              [1920/60000]        2.0062              71.8400             1.1384              30             
1              [1984/60000]        1.5583              70.0000             1.2066              31             
1              [2048/60000]        1.1487              70.8700             1.3405              32             
1              [2112/60000]        0.8212              77.0600             0.7506              33             
1              [2176/60000]        0.7505              72.8200             1.0324              34             
1              [2240/60000]        0.7298              75.9000             0.7591              35             
1              [2304/60000]        0.7770              73.4300             1.0627              36             
1              [2368/60000]        0.9899              71.2300             1.1041              37             
1              [2432/60000]        1.7469              67.7800             1.9113              38             
1              [2496/60000]        1.5070              73.1600             0.9444              39             
1              [2560/60000]        0.9430              72.8100             1.0143              40             
1              [2624/60000]        0.5906              76.3900             0.8719              41             
1              [2688/60000]        0.6907              72.2100             0.9026              42             
1              [2752/60000]        0.7724              68.6800             1.0190              43             
1              [2816/60000]        1.1323              70.7900             1.0522              44             
1              [2880/60000]        1.3245              78.3000             0.6383              45             
1              [2944/60000]        0.5477              80.3900             0.6262              46             
1              [3008/60000]        0.6090              73.6200             0.8602              47             
1              [3072/60000]        0.7549              77.8900             0.6995              48             
1              [3136/60000]        0.8322              73.5900             0.8363              49             
1              [3200/60000]        0.7447              70.6300             1.2999              50             
1              [3264/60000]        1.3265              74.9600             0.8101              51             
1              [3328/60000]        0.6099              79.3000             0.6061              52             
1              [3392/60000]        0.5613              73.9700             0.8643              53             
1              [3456/60000]        0.8231              79.4900             0.6443              54             
1              [3520/60000]        0.4805              74.3200             0.8701              55             
1              [3584/60000]        0.9134              71.9100             1.0131              56             
1              [3648/60000]        1.1062              72.5500             1.2033              57             
1              [3712/60000]        1.0215              72.0100             0.9728              58             
1              [3776/60000]        1.0972              68.1300             1.0940              59             
1              [3840/60000]        1.5547              69.9000             1.9899              60             
1              [3904/60000]        1.2985              78.2700             0.7361              61             
1              [3968/60000]        0.5571              80.8300             0.5704              62             
1              [4032/60000]        0.5190              76.6500             0.6704              63             
1              [4096/60000]        0.5894              78.5900             0.6697              64             
1              [4160/60000]        0.6648              76.4400             0.7606              65             
1              [4224/60000]        0.9138              75.4200             0.7172              66             
1              [4288/60000]        1.0256              79.3400             0.5945              67             
1              [4352/60000]        0.3145              80.4100             0.5859              68             
1              [4416/60000]        0.8369              71.7000             0.7832              69             
1              [4480/60000]        0.6836              78.2200             0.7221              70             
1              [4544/60000]        0.5767              75.7700             0.8361              71             
1              [4608/60000]        0.7325              78.3800             0.6107              72             
1              [4672/60000]        0.4749              80.7100             0.6030              73             
1              [4736/60000]        0.3883              81.1000             0.5642              74             
1              [4800/60000]        0.5324              79.8200             0.5771              75             
1              [4864/60000]        0.3267              80.1600             0.5852              76             
1              [4928/60000]        0.7256              78.8400             0.5761              77             
1              [4992/60000]        0.4581              81.7100             0.5308              78             
1              [5056/60000]        0.3514              81.9700             0.5423              79             
1              [5120/60000]        0.5113              74.5200             0.7471              80             
1              [5184/60000]        0.7762              79.4100             0.7610              81             
1              [5248/60000]        0.5148              81.6900             0.5641              82             
1              [5312/60000]        0.5168              78.7400             0.6244              83             
1              [5376/60000]        0.3864              80.5200             0.5433              84             
1              [5440/60000]        0.4370              81.4800             0.5105              85             
1              [5504/60000]        0.3514              82.2600             0.5153              86             
1              [5568/60000]        0.3804              80.3000             0.5538              87             
1              [5632/60000]        0.7759              72.6600             0.9290              88             
1              [5696/60000]        0.9775              76.2700             0.8621              89             
1              [5760/60000]        0.8268              74.9400             0.7197              90             
1              [5824/60000]        0.5739              78.3100             0.7235              91             
1              [5888/60000]        0.6118              81.2100             0.5346              92             
1              [5952/60000]        0.5233              80.4200             0.5863              93             
1              [6016/60000]        0.7554              76.6700             0.6683              94             
1              [6080/60000]        0.3802              80.5800             0.5615              95             
1              [6144/60000]        0.5043              80.5900             0.5600              96             
1              [6208/60000]        0.5574              80.3400             0.5666              97             
1              [6272/60000]        0.5356              81.5100             0.5278              98             
1              [6336/60000]        0.3685              82.8400             0.4889              99             
1              [6400/60000]        0.4725              81.5600             0.5514              100            
1              [6464/60000]        0.6816              80.1000             0.5875              101            
1              [6528/60000]        0.5353              79.2700             0.5756              102            
1              [6592/60000]        0.4546              82.6000             0.4991              103            
1              [6656/60000]        0.3144              81.3000             0.5382              104            
1              [6720/60000]        0.6058              82.3600             0.5052              105            
1              [6784/60000]        0.6228              81.2500             0.5151              106            
1              [6848/60000]        0.4815              80.8000             0.5488              107            
1              [6912/60000]        0.5227              80.5600             0.5617              108            
1              [6976/60000]        0.3518              78.5200             0.5917              109            
1              [7040/60000]        0.4489              82.1200             0.5158              110            
1              [7104/60000]        0.4550              81.1500             0.5211              111            
1              [7168/60000]        0.6300              80.6500             0.5473              112            
1              [7232/60000]        0.3910              81.0300             0.5450              113            
1              [7296/60000]        0.5488              82.7600             0.4891              114            
1              [7360/60000]        0.4390              79.1500             0.5655              115            
1              [7424/60000]        0.5899              80.2500             0.5636              116            
1              [7488/60000]        0.4167              80.2500             0.5583              117            
1              [7552/60000]        0.3993              80.0100             0.5710              118            
1              [7616/60000]        0.5599              82.0500             0.5007              119            
1              [7680/60000]        0.6166              80.8100             0.5980              120            
1              [7744/60000]        0.6261              81.7200             0.5094              121            
1              [7808/60000]        0.4674              82.1500             0.4999              122            
1              [7872/60000]        0.5952              80.1300             0.5794              123            
1              [7936/60000]        0.4318              83.0200             0.4820              124            
1              [8000/60000]        0.4592              82.5500             0.4913              125            
1              [8064/60000]        0.5389              80.9200             0.5389              126            
1              [8128/60000]        0.5622              80.3000             0.5408              127            
1              [8192/60000]        0.4090              82.8100             0.4946              128            
1              [8256/60000]        0.7663              65.4100             1.0241              129            
1              [8320/60000]        1.0597              80.6100             0.5560              130            
1              [8384/60000]        0.6361              81.0400             0.5477              131            
1              [8448/60000]        0.4723              81.0000             0.5196              132            
