Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3019              0
1              [1024/60000]        2.3020              28.6700             1.8911              1              
1              [2048/60000]        1.8979              47.5100             1.6450              2              
1              [3072/60000]        1.6334              39.9300             1.5732              3              
1              [4096/60000]        1.6325              48.0000             1.5971              4              
1              [5120/60000]        1.6455              47.1000             1.4523              5              
1              [6144/60000]        1.5193              54.9100             1.4353              6              
1              [7168/60000]        1.4424              50.6000             1.2684              7              
1              [8192/60000]        1.2466              65.8100             1.1636              8              
1              [9216/60000]        1.1872              66.4700             0.9830              9              
1              [10240/60000]       0.9917              66.8500             0.9439              10             
1              [11264/60000]       0.9746              66.1400             0.9244              11             
1              [12288/60000]       0.9095              64.4300             1.0063              12             
1              [13312/60000]       0.9593              68.5700             1.0422              13             
1              [14336/60000]       1.0944              67.4800             0.8597              14             
1              [15360/60000]       0.8495              68.5300             0.8522              15             
1              [16384/60000]       0.8295              62.6800             0.9476              16             
1              [17408/60000]       0.9376              55.2000             1.1383              17             
1              [18432/60000]       1.0687              56.7400             1.1282              18             
1              [19456/60000]       1.0798              65.6600             0.9978              19             
1              [20480/60000]       0.9776              70.4100             0.8283              20             
1              [21504/60000]       0.8145              68.2100             0.8339              21             
1              [22528/60000]       0.8360              70.6100             0.8211              22             
1              [23552/60000]       0.7836              71.3700             0.7630              23             
1              [24576/60000]       0.7577              73.2200             0.7612              24             
1              [25600/60000]       0.7135              72.1600             0.7354              25             
1              [26624/60000]       0.7189              74.9500             0.7065              26             
1              [27648/60000]       0.6744              72.8100             0.7304              27             
1              [28672/60000]       0.6937              73.5900             0.6967              28             
1              [29696/60000]       0.6821              74.3900             0.7241              29             
1              [30720/60000]       0.7784              70.2300             0.7942              30             
1              [31744/60000]       0.7807              69.7300             0.7832              31             
1              [32768/60000]       0.7871              73.2300             0.7178              32             
1              [33792/60000]       0.6555              72.3300             0.7348              33             
1              [34816/60000]       0.7526              74.7800             0.6971              34             
1              [35840/60000]       0.7064              72.4600             0.7110              35             
1              [36864/60000]       0.6979              76.5100             0.6584              36             
1              [37888/60000]       0.6420              75.0000             0.6556              37             
1              [38912/60000]       0.6507              76.0500             0.6591              38             
1              [39936/60000]       0.6518              73.6600             0.6642              39             
1              [40960/60000]       0.6506              76.8800             0.6690              40             
1              [41984/60000]       0.7154              71.8600             0.6863              41             
1              [43008/60000]       0.6733              76.0500             0.6972              42             
1              [44032/60000]       0.6817              78.6500             0.5942              43             
1              [45056/60000]       0.5767              76.8100             0.6163              44             
1              [46080/60000]       0.6021              77.7500             0.6072              45             
1              [47104/60000]       0.5964              76.6600             0.6360              46             
1              [48128/60000]       0.5952              76.1400             0.6383              47             
1              [49152/60000]       0.6050              74.5800             0.6508              48             
1              [50176/60000]       0.7163              73.5800             0.6993              49             
1              [51200/60000]       0.7184              76.5400             0.6423              50             
1              [52224/60000]       0.6297              78.1800             0.6019              51             
1              [53248/60000]       0.6261              77.3600             0.6017              52             
1              [54272/60000]       0.6091              76.5400             0.6185              53             
1              [55296/60000]       0.6093              77.9200             0.6003              54             
1              [56320/60000]       0.5709              79.3700             0.5629              55             
1              [57344/60000]       0.5359              79.4500             0.5667              56             
1              [58368/60000]       0.5563              79.9200             0.5519              57             
1              [59392/60000]       0.5016              79.9800             0.5490              58             
1              [35872/60000]       0.5004              79.3600             0.5515              59             
2              [1024/60000]        0.5595              79.4400             0.5570              60             
2              [2048/60000]        0.6108              75.1400             0.6261              61             
2              [3072/60000]        0.5915              76.9400             0.6775              62             
2              [4096/60000]        0.6114              75.7600             0.6370              63             
2              [5120/60000]        0.6413              76.7900             0.6246              64             
2              [6144/60000]        0.6295              78.1000             0.5797              65             
2              [7168/60000]        0.5833              78.5400             0.5703              66             
2              [8192/60000]        0.5784              80.2800             0.5490              67             
2              [9216/60000]        0.5547              80.6200             0.5312              68             
2              [10240/60000]       0.4934              80.1900             0.5451              69             
2              [11264/60000]       0.5677              78.2900             0.5568              70             
2              [12288/60000]       0.6075              77.7900             0.6191              71             
2              [13312/60000]       0.5831              78.9400             0.5579              72             
2              [14336/60000]       0.5411              78.7300             0.5857              73             
2              [15360/60000]       0.5620              81.2600             0.5364              74             
2              [16384/60000]       0.5004              79.5200             0.5636              75             
2              [17408/60000]       0.5500              80.0600             0.5531              76             
2              [18432/60000]       0.5860              77.8400             0.5742              77             
2              [19456/60000]       0.5534              80.7800             0.5449              78             
2              [20480/60000]       0.5129              80.9000             0.5372              79             
2              [21504/60000]       0.5316              79.1300             0.5634              80             
2              [22528/60000]       0.5246              78.6100             0.5673              81             
2              [23552/60000]       0.5752              77.5600             0.5962              82             
2              [24576/60000]       0.5509              79.1600             0.5574              83             
2              [25600/60000]       0.5170              80.3500             0.5397              84             
2              [26624/60000]       0.4804              81.4100             0.5090              85             
2              [27648/60000]       0.4854              80.9700             0.5228              86             
2              [28672/60000]       0.4902              81.5100             0.5023              87             
2              [29696/60000]       0.4990              79.1500             0.5390              88             
2              [30720/60000]       0.4859              79.7900             0.5748              89             
2              [31744/60000]       0.5368              79.5400             0.5256              90             
2              [32768/60000]       0.5259              79.9600             0.5522              91             
2              [33792/60000]       0.5666              79.6900             0.5297              92             
2              [34816/60000]       0.4932              82.0600             0.5095              93             
2              [35840/60000]       0.4743              80.9400             0.5062              94             
2              [36864/60000]       0.4697              81.3200             0.5131              95             
2              [37888/60000]       0.4913              81.5500             0.4955              96             
2              [38912/60000]       0.4407              81.4300             0.5074              97             
2              [39936/60000]       0.4712              81.2600             0.5043              98             
2              [40960/60000]       0.5275              81.6300             0.5029              99             
2              [41984/60000]       0.4696              81.7900             0.4903              100            
2              [43008/60000]       0.5055              82.5500             0.4840              101            
2              [44032/60000]       0.4661              80.2000             0.5062              102            
2              [45056/60000]       0.4423              81.0900             0.5138              103            
2              [46080/60000]       0.4631              82.0000             0.4878              104            
2              [47104/60000]       0.4647              81.5300             0.5040              105            
