P%         IPA_Highest          STD                  BS                  
0.0        0.033623000          0.009196000          1024                
0.1        0.039349000          0.012071000          1024                
0.2        0.046416000          0.015043000          1024                
0.3        0.049676000          0.016750000          64                  
0.4        0.056109000          0.018870000          1024                
0.5        0.058211000          0.018828000          64                  
0.6        0.052774000          0.013979000          64                  
0.7        0.046357000          0.009609000          64                  
0.8        0.042338000          0.007236000          64                  
0.9        0.034461000          0.006702000          64                  
