Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3255              0
1              [64/60000]          2.3230              36.4500             13.7522             1              
1              [128/60000]         14.7898             29.8200             15.6547             2              
1              [192/60000]         17.4497             22.2100             24.0680             3              
1              [256/60000]         29.3241             27.9000             27.0379             4              
1              [320/60000]         28.5413             45.5000             18.0013             5              
1              [384/60000]         17.6792             44.3900             10.2098             6              
1              [448/60000]         8.8668              26.6800             11.3366             7              
1              [512/60000]         11.3369             42.9600             8.4046              8              
1              [576/60000]         9.9260              55.1700             5.5682              9              
1              [640/60000]         6.9643              49.9100             4.4093              10             
1              [704/60000]         4.9282              55.0100             5.6154              11             
1              [768/60000]         5.0499              58.3900             2.2817              12             
1              [832/60000]         1.9072              65.5700             3.8738              13             
1              [896/60000]         2.7213              65.9800             3.3446              14             
1              [960/60000]         1.6361              61.4000             3.0874              15             
1              [1024/60000]        2.1095              63.3300             3.4714              16             
1              [1088/60000]        2.8792              71.2300             1.5028              17             
1              [1152/60000]        1.7184              66.4500             1.5681              18             
1              [1216/60000]        1.9485              65.4500             2.1777              19             
1              [1280/60000]        2.2566              64.9900             2.4565              20             
1              [1344/60000]        2.5481              74.8300             1.2739              21             
1              [1408/60000]        1.7069              58.0800             2.5865              22             
1              [1472/60000]        2.7944              65.9400             3.3780              23             
1              [1536/60000]        3.8554              62.0200             4.2478              24             
1              [1600/60000]        5.0516              63.6800             2.9865              25             
1              [1664/60000]        2.5488              63.8100             2.3236              26             
1              [1728/60000]        2.4867              66.2200             1.5403              27             
1              [1792/60000]        1.0501              70.7200             1.5406              28             
1              [1856/60000]        1.1515              76.4300             0.9548              29             
1              [1920/60000]        1.4606              71.5200             1.2728              30             
1              [1984/60000]        1.2895              77.2600             0.9426              31             
1              [2048/60000]        0.8335              74.7600             1.1105              32             
1              [2112/60000]        1.2215              76.0000             1.0986              33             
1              [2176/60000]        1.7173              74.6000             1.1239              34             
1              [2240/60000]        1.0981              69.7700             2.1679              35             
1              [2304/60000]        1.5978              70.5200             1.4908              36             
1              [2368/60000]        1.2364              71.6800             1.6923              37             
1              [2432/60000]        1.7622              71.3800             2.0967              38             
1              [2496/60000]        1.7625              73.3800             1.1387              39             
1              [2560/60000]        1.5442              73.9400             1.6616              40             
1              [2624/60000]        1.6076              75.4000             1.2424              41             
1              [2688/60000]        1.5340              70.9700             1.4028              42             
1              [2752/60000]        1.0809              71.3800             1.0692              43             
1              [2816/60000]        1.2248              74.3800             1.1212              44             
1              [2880/60000]        1.0389              77.5700             0.8118              45             
1              [2944/60000]        0.8006              79.4200             0.7035              46             
1              [3008/60000]        0.5613              77.4900             0.8675              47             
1              [3072/60000]        0.8024              75.7300             0.9422              48             
1              [3136/60000]        0.7058              74.7600             0.9278              49             
1              [3200/60000]        1.1682              71.0000             1.1593              50             
1              [3264/60000]        1.4809              74.6200             0.9703              51             
1              [3328/60000]        0.8578              77.0800             0.7898              52             
1              [3392/60000]        1.0318              78.6100             0.9779              53             
1              [3456/60000]        0.6673              80.9800             0.6961              54             
1              [3520/60000]        0.7602              73.8900             0.9074              55             
1              [3584/60000]        0.7762              79.0300             0.8726              56             
1              [3648/60000]        0.6262              77.2600             0.8316              57             
1              [3712/60000]        0.8173              78.0500             0.7636              58             
1              [3776/60000]        0.7785              70.2400             1.4790              59             
1              [3840/60000]        1.4842              74.7600             0.9011              60             
1              [3904/60000]        0.7829              77.0300             0.9201              61             
1              [3968/60000]        0.9727              71.9500             0.9063              62             
1              [4032/60000]        0.7951              76.5100             0.9401              63             
1              [4096/60000]        0.6756              71.3000             1.0217              64             
1              [4160/60000]        0.7331              79.5400             0.6984              65             
1              [4224/60000]        0.5089              82.2700             0.5562              66             
1              [4288/60000]        0.7963              74.5000             0.8511              67             
1              [4352/60000]        0.8782              79.8000             0.8124              68             
1              [4416/60000]        0.5917              78.6400             0.7103              69             
1              [4480/60000]        0.5245              74.9200             0.9177              70             
1              [4544/60000]        0.5436              81.0700             0.6243              71             
1              [4608/60000]        0.5847              80.4100             0.6804              72             
1              [4672/60000]        0.8492              78.2000             0.7280              73             
1              [4736/60000]        0.3997              77.4400             0.7584              74             
1              [4800/60000]        0.8131              79.5300             0.7289              75             
1              [4864/60000]        0.6694              73.7700             1.5711              76             
1              [4928/60000]        0.9276              75.8100             0.7674              77             
1              [4992/60000]        0.5256              76.9700             0.7145              78             
1              [5056/60000]        0.9086              74.7800             1.1091              79             
1              [5120/60000]        1.4297              73.9800             1.0898              80             
1              [5184/60000]        0.8815              69.3000             0.9890              81             
1              [5248/60000]        0.8835              77.7900             0.9758              82             
1              [5312/60000]        0.8629              81.6900             0.5959              83             
1              [5376/60000]        0.7969              73.8100             0.9673              84             
1              [5440/60000]        0.9305              75.3500             0.8301              85             
1              [5504/60000]        0.6948              80.6600             0.5730              86             
1              [5568/60000]        0.5676              74.8100             0.8411              87             
1              [5632/60000]        0.5690              76.3900             0.7337              88             
1              [5696/60000]        0.9117              78.8600             0.6307              89             
1              [5760/60000]        0.5664              78.8800             0.6841              90             
1              [5824/60000]        0.7081              75.1800             0.8025              91             
1              [5888/60000]        0.5176              79.0600             0.6347              92             
1              [5952/60000]        0.7978              75.0000             0.7013              93             
1              [6016/60000]        0.6599              79.7400             0.6382              94             
1              [6080/60000]        0.8728              75.7100             0.9283              95             
1              [6144/60000]        0.8433              76.7000             0.6582              96             
1              [6208/60000]        0.6692              75.7000             0.7828              97             
1              [6272/60000]        0.8596              75.3600             0.8039              98             
1              [6336/60000]        0.7646              81.0000             0.5715              99             
1              [6400/60000]        0.6914              73.8500             0.7459              100            
1              [6464/60000]        0.8324              79.3400             0.6912              101            
1              [6528/60000]        0.7480              82.1600             0.5430              102            
1              [6592/60000]        0.4448              80.2600             0.5825              103            
1              [6656/60000]        0.4979              81.3700             0.5436              104            
1              [6720/60000]        0.6480              79.3700             0.5931              105            
1              [6784/60000]        0.5935              79.1300             0.5742              106            
1              [6848/60000]        0.5229              81.3600             0.5656              107            
1              [6912/60000]        0.3888              81.4700             0.5238              108            
1              [6976/60000]        0.7440              72.2000             0.8770              109            
1              [7040/60000]        0.7556              79.5600             0.5644              110            
1              [7104/60000]        0.5815              78.3900             0.5889              111            
1              [7168/60000]        0.4012              81.1300             0.5317              112            
1              [7232/60000]        0.3952              75.7100             0.7216              113            
1              [7296/60000]        0.5796              78.0500             0.6943              114            
1              [7360/60000]        0.6626              77.3200             0.6333              115            
1              [7424/60000]        0.4775              82.7200             0.4944              116            
1              [7488/60000]        0.5646              80.8400             0.5634              117            
1              [7552/60000]        0.6284              78.0500             0.6202              118            
1              [7616/60000]        0.5355              79.7400             0.5733              119            
1              [7680/60000]        0.4232              82.1800             0.5030              120            
1              [7744/60000]        0.4458              83.3300             0.4730              121            
1              [7808/60000]        0.4838              83.6100             0.4804              122            
1              [7872/60000]        0.5129              81.6900             0.4939              123            
1              [7936/60000]        0.4604              82.6800             0.4994              124            
1              [8000/60000]        0.5658              77.7100             0.6617              125            
1              [8064/60000]        0.5422              80.9100             0.5430              126            
1              [8128/60000]        0.5525              82.2700             0.5313              127            
1              [8192/60000]        0.4994              79.7300             0.5912              128            
1              [8256/60000]        0.3036              80.8800             0.5327              129            
1              [8320/60000]        0.3701              83.1500             0.4719              130            
1              [8384/60000]        0.2943              82.7600             0.4893              131            
1              [8448/60000]        0.3940              81.5300             0.5309              132            
1              [8512/60000]        0.5019              82.6700             0.4946              133            
1              [8576/60000]        0.2835              84.0100             0.4599              134            
1              [8640/60000]        0.3674              79.6800             0.5809              135            
1              [8704/60000]        0.6057              75.8400             0.7546              136            
1              [8768/60000]        0.6281              78.6100             0.6569              137            
1              [8832/60000]        0.5451              79.9900             0.5419              138            
1              [8896/60000]        0.5586              80.0000             0.6071              139            
1              [8960/60000]        0.5530              78.8600             0.5958              140            
1              [9024/60000]        0.6627              80.3900             0.5374              141            
1              [9088/60000]        0.4468              83.5500             0.4780              142            
1              [9152/60000]        0.3266              82.3800             0.5166              143            
1              [9216/60000]        0.4085              80.7800             0.5374              144            
1              [9280/60000]        0.5742              79.4100             0.5924              145            
1              [9344/60000]        0.8329              79.6700             0.5733              146            
1              [9408/60000]        0.4188              83.3900             0.4711              147            
1              [9472/60000]        0.5262              78.4500             0.5961              148            
1              [9536/60000]        0.5261              82.4000             0.5199              149            
1              [9600/60000]        0.3655              82.0500             0.5219              150            
1              [9664/60000]        0.4983              81.4100             0.5251              151            
1              [9728/60000]        0.4899              81.1700             0.5277              152            
1              [9792/60000]        0.5357              82.4400             0.4899              153            
1              [9856/60000]        0.3183              84.2900             0.4547              154            
1              [9920/60000]        0.2790              82.4500             0.4876              155            
1              [9984/60000]        0.4135              83.6400             0.4768              156            
1              [10048/60000]       0.3790              82.7500             0.5094              157            
1              [10112/60000]       0.2419              81.8500             0.5087              158            
1              [10176/60000]       0.4707              84.6400             0.4463              159            
1              [10240/60000]       0.4325              79.0600             0.5948              160            
1              [10304/60000]       0.5977              80.1800             0.5756              161            
1              [10368/60000]       0.5466              84.4200             0.4475              162            
1              [10432/60000]       0.5636              82.9400             0.4846              163            
1              [10496/60000]       0.2417              84.4500             0.4503              164            
1              [10560/60000]       0.3673              83.2000             0.4600              165            
1              [10624/60000]       0.6570              80.8500             0.5365              166            
1              [10688/60000]       0.3947              83.8600             0.4748              167            
1              [10752/60000]       0.4266              84.2400             0.4471              168            
1              [10816/60000]       0.4449              79.0500             0.5536              169            
1              [10880/60000]       0.6091              81.5800             0.5313              170            
1              [10944/60000]       0.2711              80.9800             0.5329              171            
1              [11008/60000]       0.6490              80.1200             0.5833              172            
1              [11072/60000]       0.5814              83.1200             0.4742              173            
1              [11136/60000]       0.3090              83.9000             0.4608              174            
1              [11200/60000]       0.2633              84.5400             0.4385              175            
1              [11264/60000]       0.4170              82.3600             0.5051              176            
1              [11328/60000]       0.5015              84.2600             0.4416              177            
1              [11392/60000]       0.4453              81.8900             0.5098              178            
