Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3297              0
1              [64/60000]          2.3395              24.8000             13.1834             1              
1              [128/60000]         13.4913             24.6500             19.2640             2              
1              [192/60000]         20.3439             27.9600             21.6950             3              
1              [256/60000]         23.9303             35.6900             22.9896             4              
1              [320/60000]         24.5113             18.5000             10.7394             5              
1              [384/60000]         11.4602             35.0400             13.9638             6              
1              [448/60000]         11.0987             34.1700             12.8415             7              
1              [512/60000]         13.3199             43.0500             6.6456              8              
1              [576/60000]         5.2799              49.8800             5.9708              9              
1              [640/60000]         6.8375              47.8600             4.1628              10             
1              [704/60000]         4.1916              62.6700             3.6810              11             
1              [768/60000]         2.5161              65.5500             2.4193              12             
1              [832/60000]         2.6341              64.3500             3.0255              13             
1              [896/60000]         3.9675              65.2700             3.0156              14             
1              [960/60000]         2.5138              69.3300             1.9970              15             
1              [1024/60000]        2.4034              66.2000             1.8728              16             
1              [1088/60000]        2.2463              66.2700             1.9850              17             
1              [1152/60000]        1.9275              69.1500             1.4111              18             
1              [1216/60000]        1.0752              67.1900             1.6788              19             
1              [1280/60000]        2.1637              63.0200             3.1694              20             
1              [1344/60000]        2.5569              69.1200             2.0394              21             
1              [1408/60000]        2.1289              71.8300             1.2200              22             
1              [1472/60000]        1.6419              66.3500             1.3994              23             
1              [1536/60000]        1.3976              58.6400             2.5593              24             
1              [1600/60000]        1.8714              72.2500             1.6779              25             
1              [1664/60000]        1.6809              72.1200             1.1394              26             
1              [1728/60000]        1.3954              67.4200             1.3237              27             
1              [1792/60000]        1.1175              73.1900             1.2360              28             
1              [1856/60000]        0.8349              77.3400             0.8655              29             
1              [1920/60000]        0.6415              74.8200             1.1364              30             
1              [1984/60000]        1.4620              68.7200             1.3838              31             
1              [2048/60000]        1.0314              73.5400             1.2297              32             
1              [2112/60000]        0.9641              73.1500             0.9895              33             
1              [2176/60000]        0.7063              69.1500             1.1557              34             
1              [2240/60000]        0.9343              69.4400             1.3174              35             
1              [2304/60000]        1.2249              71.2300             1.0490              36             
1              [2368/60000]        1.0286              75.1800             1.2095              37             
1              [2432/60000]        1.5915              69.0800             1.0640              38             
1              [2496/60000]        0.8120              66.5600             1.6090              39             
1              [2560/60000]        1.4336              70.3400             1.0538              40             
1              [2624/60000]        0.9424              73.9800             1.1611              41             
1              [2688/60000]        0.8920              74.1200             0.8893              42             
1              [2752/60000]        0.9104              77.3800             0.8011              43             
1              [2816/60000]        0.9717              74.5600             0.9067              44             
1              [2880/60000]        0.9197              69.3000             1.3882              45             
1              [2944/60000]        1.8046              72.4900             1.2307              46             
1              [3008/60000]        1.0517              76.2300             0.7352              47             
1              [3072/60000]        0.5514              77.1700             0.8191              48             
1              [3136/60000]        0.4874              77.1900             0.7622              49             
1              [3200/60000]        0.6371              77.7000             0.7290              50             
1              [3264/60000]        0.8715              74.8400             0.7671              51             
1              [3328/60000]        0.5129              79.0900             0.6576              52             
1              [3392/60000]        0.3771              78.3000             0.6551              53             
1              [3456/60000]        0.3804              68.0100             1.1207              54             
1              [3520/60000]        1.0314              75.5700             0.7689              55             
1              [3584/60000]        0.9855              71.4200             0.9284              56             
1              [3648/60000]        0.9141              73.9700             0.8492              57             
1              [3712/60000]        0.8340              72.3800             1.0365              58             
1              [3776/60000]        1.1966              64.5500             1.2764              59             
1              [3840/60000]        1.3557              74.9000             0.8573              60             
1              [3904/60000]        0.9657              66.8700             1.2672              61             
1              [3968/60000]        1.8819              74.4800             0.9266              62             
1              [4032/60000]        0.9444              76.8400             0.7689              63             
1              [4096/60000]        1.0417              68.1200             1.0207              64             
1              [4160/60000]        0.8040              75.3200             1.1494              65             
1              [4224/60000]        0.6870              76.9000             0.7847              66             
1              [4288/60000]        0.6345              78.3900             0.7184              67             
1              [4352/60000]        0.6379              74.0600             0.8287              68             
1              [4416/60000]        0.7552              80.0700             0.5591              69             
1              [4480/60000]        0.3922              78.3800             0.6478              70             
1              [4544/60000]        0.6726              77.1500             0.7090              71             
1              [4608/60000]        0.7985              77.9700             0.6745              72             
1              [4672/60000]        0.5580              75.6300             0.7252              73             
1              [4736/60000]        0.8347              68.8000             1.1125              74             
