Batch_Size,Pruning_Percentage,CE_Type,AUC
64,1.0,Avg_CE_Train,1885.8171911621237
64,0.9,Avg_CE_Train,228.10975029525454
64,0.8,Avg_CE_Train,209.4203732182412
64,0.7,Avg_CE_Train,203.8002920629574
64,0.6,Avg_CE_Train,202.6339926613652
64,0.5,Avg_CE_Train,201.00867009096868
64,0.4,Avg_CE_Train,202.95169462026038
64,0.3,Avg_CE_Train,204.3846046137238
64,0.2,Avg_CE_Train,205.7194583349803
64,0.1,Avg_CE_Train,208.91996130389725
64,0.0,Avg_CE_Train,211.86728212401658
64,1.0,Avg_CE_Test,1885.8171911621237
64,0.9,Avg_CE_Test,212.49708967978557
64,0.8,Avg_CE_Test,196.20509087297447
64,0.7,Avg_CE_Test,191.88752389642903
64,0.6,Avg_CE_Test,188.00452334955918
64,0.5,Avg_CE_Test,188.85326525565068
64,0.4,Avg_CE_Test,189.60580781522452
64,0.3,Avg_CE_Test,190.67519992811813
64,0.2,Avg_CE_Test,192.37328835020577
64,0.1,Avg_CE_Test,195.274806588533
64,0.0,Avg_CE_Test,197.7670830026325
1024,1.0,Avg_CE_Train,1839.7654893022427
1024,0.9,Avg_CE_Train,155.91289085012238
1024,0.8,Avg_CE_Train,139.49027229861792
1024,0.7,Avg_CE_Train,132.60437059538216
1024,0.6,Avg_CE_Train,136.75740123946008
1024,0.5,Avg_CE_Train,142.4514946344348
1024,0.4,Avg_CE_Train,140.3516600744393
1024,0.3,Avg_CE_Train,144.0765997095648
1024,0.2,Avg_CE_Train,141.56227443455566
1024,0.1,Avg_CE_Train,150.9925422296057
1024,0.0,Avg_CE_Train,144.29019561510165
1024,1.0,Avg_CE_Test,1839.7654893022427
1024,0.9,Avg_CE_Test,160.9406614841799
1024,0.8,Avg_CE_Test,143.70559300393415
1024,0.7,Avg_CE_Test,137.37107040004338
1024,0.6,Avg_CE_Test,141.8586413679261
1024,0.5,Avg_CE_Test,147.673464732354
1024,0.4,Avg_CE_Test,146.3024280997156
1024,0.3,Avg_CE_Test,150.31614884131915
1024,0.2,Avg_CE_Test,148.05443614959074
1024,0.1,Avg_CE_Test,157.46861922437955
1024,0.0,Avg_CE_Test,151.50136130108808
