Prune_Layer,Batch_Size,Pruning_Percentage,CE_Type,AUC
CONV,64,1.0,Avg_CE_Train,921.0340371976183
CONV,64,0.9,Avg_CE_Train,157.70466220001646
CONV,64,0.8,Avg_CE_Train,145.60477023882294
CONV,64,0.7,Avg_CE_Train,143.9074739137382
CONV,64,0.6,Avg_CE_Train,142.16981870934967
CONV,64,0.5,Avg_CE_Train,143.24115169528883
CONV,64,0.4,Avg_CE_Train,144.8901029900908
CONV,64,0.3,Avg_CE_Train,146.13765990069174
CONV,64,0.2,Avg_CE_Train,148.1026267263874
CONV,64,0.1,Avg_CE_Train,151.06222936672498
CONV,64,0.0,Avg_CE_Train,153.0334135162449
CONV,64,1.0,Avg_CE_Test,921.0340371976183
CONV,64,0.9,Avg_CE_Test,150.81000348930937
CONV,64,0.8,Avg_CE_Test,138.84783325962292
CONV,64,0.7,Avg_CE_Test,137.18595419838584
CONV,64,0.6,Avg_CE_Test,135.26646916322375
CONV,64,0.5,Avg_CE_Test,137.0073818190296
CONV,64,0.4,Avg_CE_Test,137.38624359608195
CONV,64,0.3,Avg_CE_Test,138.8676712188552
CONV,64,0.2,Avg_CE_Test,140.56759221803145
CONV,64,0.1,Avg_CE_Test,143.39499947903965
CONV,64,0.0,Avg_CE_Test,145.3206747497505
CONV,1024,1.0,Avg_CE_Train,921.0340371976183
CONV,1024,0.9,Avg_CE_Train,116.2093582698374
CONV,1024,0.8,Avg_CE_Train,106.13448863198427
CONV,1024,0.7,Avg_CE_Train,102.98133674951887
CONV,1024,0.6,Avg_CE_Train,103.86334950420691
CONV,1024,0.5,Avg_CE_Train,103.40472825900733
CONV,1024,0.4,Avg_CE_Train,104.78627195365624
CONV,1024,0.3,Avg_CE_Train,106.89417299941871
CONV,1024,0.2,Avg_CE_Train,106.85829355198447
CONV,1024,0.1,Avg_CE_Train,106.92462080177084
CONV,1024,0.0,Avg_CE_Train,108.12096053463779
CONV,1024,1.0,Avg_CE_Test,921.0340371976183
CONV,1024,0.9,Avg_CE_Test,114.22034814673803
CONV,1024,0.8,Avg_CE_Test,104.50793373722789
CONV,1024,0.7,Avg_CE_Test,101.4603545168285
CONV,1024,0.6,Avg_CE_Test,102.57394064402732
CONV,1024,0.5,Avg_CE_Test,102.17542628041448
CONV,1024,0.4,Avg_CE_Test,103.69697651063485
CONV,1024,0.3,Avg_CE_Test,105.83631573508464
CONV,1024,0.2,Avg_CE_Test,106.07589768453008
CONV,1024,0.1,Avg_CE_Test,106.04828561499437
CONV,1024,0.0,Avg_CE_Test,107.39463407162309
FHL,64,1.0,Avg_CE_Train,921.0340371976183
FHL,64,0.9,Avg_CE_Train,123.89107710763751
FHL,64,0.8,Avg_CE_Train,125.03364840748705
FHL,64,0.7,Avg_CE_Train,127.52060456346065
FHL,64,0.6,Avg_CE_Train,129.86386431775406
FHL,64,0.5,Avg_CE_Train,132.5272742973125
FHL,64,0.4,Avg_CE_Train,137.17097320913055
FHL,64,0.3,Avg_CE_Train,140.1264104628578
FHL,64,0.2,Avg_CE_Train,143.83445826889496
FHL,64,0.1,Avg_CE_Train,148.8632754884938
FHL,64,0.0,Avg_CE_Train,152.54760141950175
FHL,64,1.0,Avg_CE_Test,921.0340371976183
FHL,64,0.9,Avg_CE_Test,116.73116417765057
FHL,64,0.8,Avg_CE_Test,118.12221613348245
FHL,64,0.7,Avg_CE_Test,120.46779228430125
FHL,64,0.6,Avg_CE_Test,122.72164562686874
FHL,64,0.5,Avg_CE_Test,125.4446732614536
FHL,64,0.4,Avg_CE_Test,129.9393839489906
FHL,64,0.3,Avg_CE_Test,132.58655839444728
FHL,64,0.2,Avg_CE_Test,136.9407292139878
FHL,64,0.1,Avg_CE_Test,140.72014737462536
FHL,64,0.0,Avg_CE_Test,144.771952613965
FHL,1024,1.0,Avg_CE_Train,921.0340371976183
FHL,1024,0.9,Avg_CE_Train,83.64024934393446
FHL,1024,0.8,Avg_CE_Train,86.13307238100981
FHL,1024,0.7,Avg_CE_Train,89.33208373028157
FHL,1024,0.6,Avg_CE_Train,91.02146000832492
FHL,1024,0.5,Avg_CE_Train,94.39793761429831
FHL,1024,0.4,Avg_CE_Train,97.3615463583932
FHL,1024,0.3,Avg_CE_Train,100.77394721527962
FHL,1024,0.2,Avg_CE_Train,101.48732678074295
FHL,1024,0.1,Avg_CE_Train,108.4710926472667
FHL,1024,0.0,Avg_CE_Train,108.71430230802372
FHL,1024,1.0,Avg_CE_Test,921.0340371976183
FHL,1024,0.9,Avg_CE_Test,81.3946489362167
FHL,1024,0.8,Avg_CE_Test,84.23905993880913
FHL,1024,0.7,Avg_CE_Test,87.73907840947489
FHL,1024,0.6,Avg_CE_Test,89.60366902681766
FHL,1024,0.5,Avg_CE_Test,93.1647086051976
FHL,1024,0.4,Avg_CE_Test,96.16757353887891
FHL,1024,0.3,Avg_CE_Test,99.72996339343233
FHL,1024,0.2,Avg_CE_Test,100.60790167836163
FHL,1024,0.1,Avg_CE_Test,107.50400036409224
FHL,1024,0.0,Avg_CE_Test,107.92969425752128
SHL,64,1.0,Avg_CE_Train,921.0340371976183
SHL,64,0.9,Avg_CE_Train,125.29688981269015
SHL,64,0.8,Avg_CE_Train,127.72053602723227
SHL,64,0.7,Avg_CE_Train,129.18941382346907
SHL,64,0.6,Avg_CE_Train,130.77453786533778
SHL,64,0.5,Avg_CE_Train,135.29346663064197
SHL,64,0.4,Avg_CE_Train,137.58542421197166
SHL,64,0.3,Avg_CE_Train,141.6600296964079
SHL,64,0.2,Avg_CE_Train,144.82657005746987
SHL,64,0.1,Avg_CE_Train,149.7280333483232
SHL,64,0.0,Avg_CE_Train,153.72521623889426
SHL,64,1.0,Avg_CE_Test,921.0340371976183
SHL,64,0.9,Avg_CE_Test,118.05737659055518
SHL,64,0.8,Avg_CE_Test,120.63488239019914
SHL,64,0.7,Avg_CE_Test,121.92172051912578
SHL,64,0.6,Avg_CE_Test,124.11962959733825
SHL,64,0.5,Avg_CE_Test,128.08761967819095
SHL,64,0.4,Avg_CE_Test,130.22217799296888
SHL,64,0.3,Avg_CE_Test,133.90975025223588
SHL,64,0.2,Avg_CE_Test,137.70702085476535
SHL,64,0.1,Avg_CE_Test,141.78406797328768
SHL,64,0.0,Avg_CE_Test,145.823233899324
SHL,1024,1.0,Avg_CE_Train,921.0340371976183
SHL,1024,0.9,Avg_CE_Train,90.10787970738053
SHL,1024,0.8,Avg_CE_Train,91.73010668256222
SHL,1024,0.7,Avg_CE_Train,92.29630992390646
SHL,1024,0.6,Avg_CE_Train,95.98644461669075
SHL,1024,0.5,Avg_CE_Train,98.13710993831258
SHL,1024,0.4,Avg_CE_Train,100.70483235100264
SHL,1024,0.3,Avg_CE_Train,101.5784195457797
SHL,1024,0.2,Avg_CE_Train,106.17986537594197
SHL,1024,0.1,Avg_CE_Train,106.59643978710352
SHL,1024,0.0,Avg_CE_Train,110.2062197380869
SHL,1024,1.0,Avg_CE_Test,921.0340371976183
SHL,1024,0.9,Avg_CE_Test,88.26890309562347
SHL,1024,0.8,Avg_CE_Test,90.1227609285414
SHL,1024,0.7,Avg_CE_Test,90.93801252315978
SHL,1024,0.6,Avg_CE_Test,94.79921170042095
SHL,1024,0.5,Avg_CE_Test,96.96105715802597
SHL,1024,0.4,Avg_CE_Test,99.61263730254971
SHL,1024,0.3,Avg_CE_Test,100.45396361419536
SHL,1024,0.2,Avg_CE_Test,105.23330602633807
SHL,1024,0.1,Avg_CE_Test,105.87276500724806
SHL,1024,0.0,Avg_CE_Test,109.32496668854131
FHL+SHL,64,1.0,Avg_CE_Train,921.0340371976183
FHL+SHL,64,0.9,Avg_CE_Train,138.4342767814972
FHL+SHL,64,0.8,Avg_CE_Train,125.38630252560213
FHL+SHL,64,0.7,Avg_CE_Train,121.97229600282363
FHL+SHL,64,0.6,Avg_CE_Train,123.93772142509022
FHL+SHL,64,0.5,Avg_CE_Train,126.64851285047084
FHL+SHL,64,0.4,Avg_CE_Train,128.80070466729688
FHL+SHL,64,0.3,Avg_CE_Train,132.97624122784288
FHL+SHL,64,0.2,Avg_CE_Train,138.91698734880129
FHL+SHL,64,0.1,Avg_CE_Train,144.95207017795497
FHL+SHL,64,0.0,Avg_CE_Train,151.79327645748268
FHL+SHL,64,1.0,Avg_CE_Test,921.0340371976183
FHL+SHL,64,0.9,Avg_CE_Test,130.757053879721
FHL+SHL,64,0.8,Avg_CE_Test,117.83238210560714
FHL+SHL,64,0.7,Avg_CE_Test,114.80687579842419
FHL+SHL,64,0.6,Avg_CE_Test,117.13290748983758
FHL+SHL,64,0.5,Avg_CE_Test,119.65183102705332
FHL+SHL,64,0.4,Avg_CE_Test,121.43445368620601
FHL+SHL,64,0.3,Avg_CE_Test,125.64652169444703
FHL+SHL,64,0.2,Avg_CE_Test,131.25780030443778
FHL+SHL,64,0.1,Avg_CE_Test,137.3462411367332
