Prune_Layer,Batch_Size,Pruning_Percentage,CE_Type,AUC
CONV,64,1.0,Avg_CE_Train,921.0340371976183
CONV,64,0.995,Avg_CE_Train,262.61615416441265
CONV,64,0.99,Avg_CE_Train,204.56138650000003
CONV,64,0.985,Avg_CE_Train,186.81901854649703
CONV,64,0.98,Avg_CE_Train,183.2424650844466
CONV,64,0.96,Avg_CE_Train,174.41962485311936
CONV,64,0.94,Avg_CE_Train,163.74386774307254
CONV,64,0.92,Avg_CE_Train,159.31876865143244
CONV,64,0.9,Avg_CE_Train,157.70466220001646
CONV,64,0.8,Avg_CE_Train,145.60477023882294
CONV,64,0.7,Avg_CE_Train,143.9074739137382
CONV,64,0.6,Avg_CE_Train,142.16981870934967
CONV,64,0.5,Avg_CE_Train,143.24115169528883
CONV,64,0.4,Avg_CE_Train,144.8901029900908
CONV,64,0.3,Avg_CE_Train,146.13765990069174
CONV,64,0.2,Avg_CE_Train,148.1026267263874
CONV,64,0.1,Avg_CE_Train,151.06222936672498
CONV,64,0.0,Avg_CE_Train,153.0334135162449
CONV,64,1.0,Avg_CE_Test,921.0340371976183
CONV,64,0.995,Avg_CE_Test,255.15941529733425
CONV,64,0.99,Avg_CE_Test,197.053672046497
CONV,64,0.985,Avg_CE_Test,179.228258546497
CONV,64,0.98,Avg_CE_Test,176.4999141816339
CONV,64,0.96,Avg_CE_Test,167.2778771770315
CONV,64,0.94,Avg_CE_Test,156.37120828192064
CONV,64,0.92,Avg_CE_Test,152.20097609268413
CONV,64,0.9,Avg_CE_Test,150.81000348930937
CONV,64,0.8,Avg_CE_Test,138.84783325962292
CONV,64,0.7,Avg_CE_Test,137.18595419838584
CONV,64,0.6,Avg_CE_Test,135.26646916322375
CONV,64,0.5,Avg_CE_Test,137.0073818190296
CONV,64,0.4,Avg_CE_Test,137.38624359608195
CONV,64,0.3,Avg_CE_Test,138.8676712188552
CONV,64,0.2,Avg_CE_Test,140.56759221803145
CONV,64,0.1,Avg_CE_Test,143.39499947903965
CONV,64,0.0,Avg_CE_Test,145.3206747497505
CONV,1024,1.0,Avg_CE_Train,921.0340371976183
CONV,1024,0.995,Avg_CE_Train,239.36711267582155
CONV,1024,0.99,Avg_CE_Train,172.640613046497
CONV,1024,0.985,Avg_CE_Train,158.99448954649702
CONV,1024,0.98,Avg_CE_Train,147.14629069779988
CONV,1024,0.96,Avg_CE_Train,129.328734934719
CONV,1024,0.94,Avg_CE_Train,126.3079645168298
CONV,1024,0.92,Avg_CE_Train,121.85788473790295
CONV,1024,0.9,Avg_CE_Train,116.2093582698374
CONV,1024,0.8,Avg_CE_Train,106.13448863198427
CONV,1024,0.7,Avg_CE_Train,102.98133674951887
CONV,1024,0.6,Avg_CE_Train,103.86334950420691
CONV,1024,0.5,Avg_CE_Train,103.40472825900733
CONV,1024,0.4,Avg_CE_Train,104.78627195365624
CONV,1024,0.3,Avg_CE_Train,106.89417299941871
CONV,1024,0.2,Avg_CE_Train,106.85829355198447
CONV,1024,0.1,Avg_CE_Train,106.92462080177084
CONV,1024,0.0,Avg_CE_Train,108.12096053463779
CONV,1024,1.0,Avg_CE_Test,921.0340371976183
CONV,1024,0.995,Avg_CE_Test,232.88735306474638
CONV,1024,0.99,Avg_CE_Test,168.98698204649702
CONV,1024,0.985,Avg_CE_Test,155.692524546497
CONV,1024,0.98,Avg_CE_Test,143.83528228805693
CONV,1024,0.96,Avg_CE_Test,126.87446641565415
CONV,1024,0.94,Avg_CE_Test,124.06008240885339
CONV,1024,0.92,Avg_CE_Test,119.59876634429428
CONV,1024,0.9,Avg_CE_Test,114.22034814673803
CONV,1024,0.8,Avg_CE_Test,104.50793373722789
CONV,1024,0.7,Avg_CE_Test,101.4603545168285
CONV,1024,0.6,Avg_CE_Test,102.57394064402732
CONV,1024,0.5,Avg_CE_Test,102.17542628041448
CONV,1024,0.4,Avg_CE_Test,103.69697651063485
CONV,1024,0.3,Avg_CE_Test,105.83631573508464
CONV,1024,0.2,Avg_CE_Test,106.07589768453008
CONV,1024,0.1,Avg_CE_Test,106.04828561499437
CONV,1024,0.0,Avg_CE_Test,107.39463407162309
FHL,64,1.0,Avg_CE_Train,921.0340371976183
FHL,64,0.995,Avg_CE_Train,168.38576694956677
FHL,64,0.99,Avg_CE_Train,204.56138650000003
FHL,64,0.985,Avg_CE_Train,186.81901854649703
FHL,64,0.98,Avg_CE_Train,183.2424650844466
FHL,64,0.96,Avg_CE_Train,174.41962485311936
FHL,64,0.94,Avg_CE_Train,163.74386774307254
FHL,64,0.92,Avg_CE_Train,159.31876865143244
FHL,64,0.9,Avg_CE_Train,123.89107710763751
FHL,64,0.8,Avg_CE_Train,125.03364840748705
FHL,64,0.7,Avg_CE_Train,127.52060456346065
FHL,64,0.6,Avg_CE_Train,129.86386431775406
FHL,64,0.5,Avg_CE_Train,132.5272742973125
FHL,64,0.4,Avg_CE_Train,137.17097320913055
FHL,64,0.3,Avg_CE_Train,140.1264104628578
FHL,64,0.2,Avg_CE_Train,143.83445826889496
FHL,64,0.1,Avg_CE_Train,148.8632754884938
FHL,64,0.0,Avg_CE_Train,152.54760141950175
FHL,64,1.0,Avg_CE_Test,921.0340371976183
FHL,64,0.995,Avg_CE_Test,161.66262975342983
FHL,64,0.99,Avg_CE_Test,197.053672046497
FHL,64,0.985,Avg_CE_Test,179.228258546497
FHL,64,0.98,Avg_CE_Test,176.4999141816339
FHL,64,0.96,Avg_CE_Test,167.2778771770315
FHL,64,0.94,Avg_CE_Test,156.37120828192064
FHL,64,0.92,Avg_CE_Test,152.20097609268413
FHL,64,0.9,Avg_CE_Test,116.73116417765057
FHL,64,0.8,Avg_CE_Test,118.12221613348245
FHL,64,0.7,Avg_CE_Test,120.46779228430125
FHL,64,0.6,Avg_CE_Test,122.72164562686874
FHL,64,0.5,Avg_CE_Test,125.4446732614536
FHL,64,0.4,Avg_CE_Test,129.9393839489906
FHL,64,0.3,Avg_CE_Test,132.58655839444728
FHL,64,0.2,Avg_CE_Test,136.9407292139878
FHL,64,0.1,Avg_CE_Test,140.72014737462536
FHL,64,0.0,Avg_CE_Test,144.771952613965
FHL,1024,1.0,Avg_CE_Train,921.0340371976183
FHL,1024,0.995,Avg_CE_Train,129.16144110913385
FHL,1024,0.99,Avg_CE_Train,172.640613046497
FHL,1024,0.985,Avg_CE_Train,158.99448954649702
FHL,1024,0.98,Avg_CE_Train,147.14629069779988
FHL,1024,0.96,Avg_CE_Train,129.328734934719
FHL,1024,0.94,Avg_CE_Train,126.3079645168298
FHL,1024,0.92,Avg_CE_Train,121.85788473790295
FHL,1024,0.9,Avg_CE_Train,83.64024934393446
FHL,1024,0.8,Avg_CE_Train,86.13307238100981
FHL,1024,0.7,Avg_CE_Train,89.33208373028157
FHL,1024,0.6,Avg_CE_Train,91.02146000832492
FHL,1024,0.5,Avg_CE_Train,94.39793761429831
FHL,1024,0.4,Avg_CE_Train,97.3615463583932
FHL,1024,0.3,Avg_CE_Train,100.77394721527962
FHL,1024,0.2,Avg_CE_Train,101.48732678074295
FHL,1024,0.1,Avg_CE_Train,108.4710926472667
FHL,1024,0.0,Avg_CE_Train,108.71430230802372
FHL,1024,1.0,Avg_CE_Test,921.0340371976183
FHL,1024,0.995,Avg_CE_Test,125.48532372747938
FHL,1024,0.99,Avg_CE_Test,168.98698204649702
FHL,1024,0.985,Avg_CE_Test,155.692524546497
FHL,1024,0.98,Avg_CE_Test,143.83528228805693
FHL,1024,0.96,Avg_CE_Test,126.87446641565415
FHL,1024,0.94,Avg_CE_Test,124.06008240885339
FHL,1024,0.92,Avg_CE_Test,119.59876634429428
FHL,1024,0.9,Avg_CE_Test,81.3946489362167
FHL,1024,0.8,Avg_CE_Test,84.23905993880913
FHL,1024,0.7,Avg_CE_Test,87.73907840947489
FHL,1024,0.6,Avg_CE_Test,89.60366902681766
FHL,1024,0.5,Avg_CE_Test,93.1647086051976
FHL,1024,0.4,Avg_CE_Test,96.16757353887891
FHL,1024,0.3,Avg_CE_Test,99.72996339343233
FHL,1024,0.2,Avg_CE_Test,100.60790167836163
FHL,1024,0.1,Avg_CE_Test,107.50400036409224
FHL,1024,0.0,Avg_CE_Test,107.92969425752128
SHL,64,1.0,Avg_CE_Train,734.5246446651006
SHL,64,0.995,Avg_CE_Train,345.10343869607044
SHL,64,0.99,Avg_CE_Train,205.05089104649704
SHL,64,0.985,Avg_CE_Train,150.15858
SHL,64,0.98,Avg_CE_Train,124.58992874994104
SHL,64,0.96,Avg_CE_Train,112.5687775012532
SHL,64,0.94,Avg_CE_Train,111.92641063767188
SHL,64,0.92,Avg_CE_Train,112.46329730179202
SHL,64,0.9,Avg_CE_Train,112.11503803905316
SHL,64,0.8,Avg_CE_Train,114.57887081348767
SHL,64,0.7,Avg_CE_Train,116.02169520987621
SHL,64,0.6,Avg_CE_Train,117.79934872138546
SHL,64,0.5,Avg_CE_Train,121.85576828015101
SHL,64,0.4,Avg_CE_Train,124.28929326689921
SHL,64,0.3,Avg_CE_Train,128.27798409481585
SHL,64,0.2,Avg_CE_Train,131.22152238371865
SHL,64,0.1,Avg_CE_Train,135.9295036795329
SHL,64,0.0,Avg_CE_Train,139.65160518543345
SHL,64,1.0,Avg_CE_Test,734.5246446651006
SHL,64,0.995,Avg_CE_Test,340.43551895405824
SHL,64,0.99,Avg_CE_Test,199.50086204649702
SHL,64,0.985,Avg_CE_Test,144.30988154649702
SHL,64,0.98,Avg_CE_Test,118.63063058652088
SHL,64,0.96,Avg_CE_Test,106.72425911087042
SHL,64,0.94,Avg_CE_Test,105.87088049047226
SHL,64,0.92,Avg_CE_Test,106.54639261954851
SHL,64,0.9,Avg_CE_Test,106.16132277793292
SHL,64,0.8,Avg_CE_Test,108.70802522299135
SHL,64,0.7,Avg_CE_Test,110.00701970680458
SHL,64,0.6,Avg_CE_Test,112.2166391804088
SHL,64,0.5,Avg_CE_Test,116.06086913624839
SHL,64,0.4,Avg_CE_Test,118.2700173121398
SHL,64,0.3,Avg_CE_Test,121.84126238425878
SHL,64,0.2,Avg_CE_Test,125.34767343741393
SHL,64,0.1,Avg_CE_Test,129.36583647324687
SHL,64,0.0,Avg_CE_Test,133.14573775355163
SHL,1024,1.0,Avg_CE_Train,826.6280483848625
SHL,1024,0.995,Avg_CE_Train,374.1671313904309
SHL,1024,0.99,Avg_CE_Train,204.16229654649703
