Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.2984              0
1              [1024/60000]        2.2945              56.8000             2.5269              1              
1              [2048/60000]        2.4748              32.9700             6.5497              2              
1              [3072/60000]        6.4742              37.0000             14.7228             3              
1              [4096/60000]        15.3438             29.4400             15.3515             4              
1              [5120/60000]        15.1788             33.4400             8.1508              5              
1              [6144/60000]        8.6967              63.7100             4.7462              6              
1              [7168/60000]        4.6874              51.8300             3.5675              7              
1              [8192/60000]        3.3665              63.8400             2.6001              8              
1              [9216/60000]        2.8992              57.8700             3.0827              9              
1              [10240/60000]       3.1215              55.3600             3.3332              10             
1              [11264/60000]       3.5067              70.2900             2.1438              11             
1              [12288/60000]       2.0795              64.0400             2.1598              12             
1              [13312/60000]       2.1492              68.6700             1.3863              13             
1              [14336/60000]       1.4073              76.2900             0.8755              14             
1              [15360/60000]       0.9564              78.1900             0.7748              15             
1              [16384/60000]       0.7666              86.8400             0.4543              16             
1              [17408/60000]       0.4964              86.9300             0.4188              17             
1              [18432/60000]       0.4950              88.6700             0.3980              18             
1              [19456/60000]       0.4167              89.6200             0.3692              19             
1              [20480/60000]       0.4081              89.5200             0.3618              20             
1              [21504/60000]       0.3803              89.7800             0.3528              21             
1              [22528/60000]       0.3396              90.2100             0.3372              22             
1              [23552/60000]       0.3303              90.2000             0.3315              23             
1              [24576/60000]       0.3339              90.3100             0.3309              24             
1              [25600/60000]       0.3519              90.6400             0.3299              25             
1              [26624/60000]       0.3774              89.6300             0.3591              26             
1              [27648/60000]       0.3550              90.2600             0.3372              27             
1              [28672/60000]       0.3812              88.5400             0.3853              28             
1              [29696/60000]       0.3839              88.8400             0.3646              29             
1              [30720/60000]       0.3640              88.5200             0.3793              30             
1              [31744/60000]       0.4406              82.9900             0.5050              31             
1              [32768/60000]       0.5038              83.1100             0.7141              32             
1              [33792/60000]       0.8289              86.9200             0.4132              33             
1              [34816/60000]       0.4521              84.8200             0.4755              34             
1              [35840/60000]       0.4311              88.5200             0.3566              35             
1              [36864/60000]       0.3917              85.3500             0.4505              36             
1              [37888/60000]       0.4302              87.2100             0.3840              37             
1              [38912/60000]       0.3185              87.3900             0.3843              38             
1              [39936/60000]       0.4007              85.9000             0.4214              39             
1              [40960/60000]       0.4581              83.4300             0.5517              40             
1              [41984/60000]       0.5306              89.6300             0.3379              41             
1              [43008/60000]       0.2833              90.1600             0.3304              42             
1              [44032/60000]       0.3891              87.1100             0.3957              43             
1              [45056/60000]       0.3558              86.4500             0.4381              44             
1              [46080/60000]       0.4815              86.4100             0.4118              45             
1              [47104/60000]       0.4209              87.4400             0.4191              46             
1              [48128/60000]       0.4010              87.0300             0.4070              47             
1              [49152/60000]       0.4257              86.3300             0.5188              48             
1              [50176/60000]       0.4833              85.6200             0.4763              49             
1              [51200/60000]       0.4997              82.8900             0.7728              50             
1              [52224/60000]       0.8073              84.0200             0.5716              51             
1              [53248/60000]       0.5936              85.8900             0.5051              52             
1              [54272/60000]       0.6158              79.9700             0.7594              53             
1              [55296/60000]       0.7106              83.1200             0.8443              54             
1              [56320/60000]       0.8600              90.3200             0.3169              55             
1              [57344/60000]       0.3567              91.9400             0.2800              56             
1              [58368/60000]       0.3727              90.7700             0.3118              57             
1              [59392/60000]       0.3210              88.4000             0.3659              58             
1              [35872/60000]       0.3938              85.2400             0.5618              59             
2              [1024/60000]        0.5343              92.0700             0.2652              60             
2              [2048/60000]        0.2659              92.9000             0.2426              61             
2              [3072/60000]        0.2561              92.5500             0.2512              62             
2              [4096/60000]        0.2240              93.1300             0.2339              63             
2              [5120/60000]        0.2242              93.5400             0.2245              64             
2              [6144/60000]        0.2582              93.4700             0.2271              65             
2              [7168/60000]        0.2362              93.4400             0.2279              66             
