Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,2.3026,9.02,100
1,2.3026,2.302599,10.451500000000001,100
2,2.302599,2.302599,10.593499999999999,100
3,2.302599,2.302599,10.8573,100
4,2.302599,2.302599,11.0551,100
5,2.302599,2.302599,11.2918,100
6,2.3025979999999997,2.302596,11.4156,100
7,2.3025979999999997,2.302595,11.5424,100
8,2.302596,2.302595,11.605599999999999,100
9,2.302595,2.302594,11.7354,100
10,2.302593,2.302594,11.9465,100
11,2.302594,2.302593,12.0343,100
12,2.302594,2.3025919999999998,12.1379,100
13,2.302591,2.302588,12.1691,100
14,2.30259,2.302587,12.2281,100
15,2.30259,2.302586,12.2981,100
16,2.302587,2.302584,12.3677,100
17,2.302584,2.302583,12.4319,100
18,2.302584,2.3025819999999997,12.5348,100
19,2.3025819999999997,2.3025800000000003,12.574000000000002,100
20,2.302581,2.302578,12.638499999999999,100
21,2.302579,2.302576,12.6865,100
22,2.302577,2.302575,12.7192,100
23,2.302575,2.302573,12.7562,100
24,2.302574,2.302569,12.783499999999998,100
25,2.302571,2.302568,12.796399999999998,100
26,2.3025700000000002,2.302566,12.810899999999998,100
27,2.302565,2.3025640000000003,12.878900000000002,100
28,2.302567,2.302563,12.898499999999999,100
29,2.302562,2.302561,12.874500000000001,100
30,2.302561,2.302559,12.895199999999999,100
31,2.302559,2.3025569999999997,12.8973,100
32,2.3025569999999997,2.302555,12.9277,100
33,2.3025569999999997,2.302552,12.900599999999999,100
34,2.302554,2.302548,12.9045,100
35,2.302548,2.302544,12.9634,100
36,2.302546,2.302538,12.9727,100
37,2.302537,2.302536,12.9473,100
38,2.302538,2.3025290000000003,12.9208,100
39,2.302535,2.302526,12.941099999999999,100
