P%         IPA_Average          STD                  BS                  
0.0        0.039837000          0.017802000          64                  
0.0        0.054029000          0.023012000          1024                
0.1        0.046400000          0.019027000          64                  
0.1        0.056131000          0.024607000          1024                
0.2        0.055214000          0.023929000          64                  
0.2        0.059345000          0.030351000          1024                
0.3        0.058264000          0.023208000          64                  
0.3        0.058033000          0.030913000          1024                
0.4        0.053291000          0.022314000          64                  
0.4        0.049135000          0.027677000          1024                
0.5        0.044625000          0.015243000          64                  
0.5        0.044653000          0.019873000          1024                
0.6        0.044008000          0.013607000          64                  
0.6        0.047473000          0.021234000          1024                
0.7        0.045029000          0.015068000          64                  
0.7        0.040911000          0.017961000          1024                
0.8        0.054044000          0.010746000          64                  
0.8        0.043244000          0.016514000          1024                
0.9        0.048876000          0.004431000          64                  
0.9        0.051380000          0.008250000          1024                
