P%         IPA_Highest          STD                  BS                  
0.0        0.054029000          0.023012000          1024                
0.1        0.056131000          0.024607000          1024                
0.2        0.059345000          0.030351000          1024                
0.3        0.058264000          0.030913000          64                  
0.4        0.053291000          0.027677000          64                  
0.5        0.044653000          0.019873000          1024                
0.6        0.047473000          0.021234000          1024                
0.7        0.045029000          0.017961000          64                  
0.8        0.054044000          0.016514000          64                  
0.9        0.051380000          0.008250000          1024                
