Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3028              0
1              [1024/60000]        2.2965              45.2100             2.9192              1              
1              [2048/60000]        2.9564              27.7900             10.2252             2              
1              [3072/60000]        9.7893              28.0300             20.3585             3              
1              [4096/60000]        19.3825             19.1000             21.1763             4              
1              [5120/60000]        21.6513             35.7800             18.2858             5              
1              [6144/60000]        18.0551             38.9800             12.8275             6              
1              [7168/60000]        12.9387             43.7800             10.3295             7              
1              [8192/60000]        10.4879             44.9200             5.4109              8              
1              [9216/60000]        5.9407              55.3100             2.1542              9              
1              [10240/60000]       2.1369              65.9100             2.1069              10             
1              [11264/60000]       2.0310              71.9700             1.4318              11             
1              [12288/60000]       1.6307              80.5100             0.7575              12             
1              [13312/60000]       0.7933              84.6600             0.5984              13             
1              [14336/60000]       0.5725              87.9100             0.4313              14             
1              [15360/60000]       0.4661              88.4100             0.4067              15             
1              [16384/60000]       0.4580              88.6300             0.3871              16             
1              [17408/60000]       0.3906              89.2900             0.3816              17             
1              [18432/60000]       0.4115              89.4900             0.3629              18             
1              [19456/60000]       0.3639              89.7900             0.3535              19             
1              [20480/60000]       0.3701              89.9700             0.3467              20             
1              [21504/60000]       0.3076              90.1700             0.3387              21             
1              [22528/60000]       0.3634              90.3200             0.3295              22             
1              [23552/60000]       0.3543              90.0900             0.3357              23             
1              [24576/60000]       0.3395              89.3200             0.3604              24             
1              [25600/60000]       0.4224              89.3100             0.3622              25             
1              [26624/60000]       0.3930              89.6100             0.3465              26             
1              [27648/60000]       0.3520              90.1400             0.3285              27             
1              [28672/60000]       0.3253              90.1000             0.3285              28             
1              [29696/60000]       0.3422              89.9300             0.3341              29             
1              [30720/60000]       0.3937              89.3400             0.3534              30             
1              [31744/60000]       0.4317              88.8200             0.3667              31             
1              [32768/60000]       0.3348              89.2700             0.3564              32             
1              [33792/60000]       0.4153              87.5000             0.4003              33             
1              [34816/60000]       0.3882              87.5800             0.4100              34             
1              [35840/60000]       0.4877              84.2700             0.5050              35             
1              [36864/60000]       0.4599              83.0800             0.7401              36             
1              [37888/60000]       0.7234              86.1500             0.4542              37             
1              [38912/60000]       0.4129              83.1700             0.5475              38             
1              [39936/60000]       0.5291              83.5900             0.6320              39             
1              [40960/60000]       0.6020              88.5000             0.3767              40             
1              [41984/60000]       0.4488              87.8800             0.4217              41             
1              [43008/60000]       0.4224              85.4200             0.4836              42             
1              [44032/60000]       0.5299              80.7200             0.8437              43             
1              [45056/60000]       0.7532              80.1700             0.9515              44             
1              [46080/60000]       0.9482              83.4900             0.8347              45             
1              [47104/60000]       0.9011              88.8700             0.3769              46             
1              [48128/60000]       0.4349              90.0900             0.3504              47             
1              [49152/60000]       0.4126              90.3700             0.3238              48             
1              [50176/60000]       0.3823              89.7500             0.3583              49             
1              [51200/60000]       0.3968              91.3500             0.2913              50             
1              [52224/60000]       0.2555              92.8000             0.2410              51             
1              [53248/60000]       0.2567              92.7000             0.2550              52             
1              [54272/60000]       0.2818              88.3500             0.3473              53             
1              [55296/60000]       0.3644              82.5600             0.8540              54             
1              [56320/60000]       0.7861              83.2300             0.7218              55             
1              [57344/60000]       0.7097              82.6700             0.5983              56             
1              [58368/60000]       0.5610              85.7400             0.4702              57             
1              [59392/60000]       0.4496              84.8800             0.4939              58             
1              [35872/60000]       0.4370              89.0600             0.3481              59             
2              [1024/60000]        0.3967              88.4400             0.3853              60             
2              [2048/60000]        0.3975              88.7400             0.3510              61             
