P%         IPA_Average          STD                  BS                  
0.0        0.040431000          0.020516000          64                  
0.0        0.056368000          0.022244000          1024                
0.1        0.038036000          0.014434000          64                  
0.1        0.057508000          0.023582000          1024                
0.2        0.045923000          0.022194000          64                  
0.2        0.060050000          0.028013000          1024                
0.3        0.045104000          0.020669000          64                  
0.3        0.059557000          0.029324000          1024                
0.4        0.047065000          0.021692000          64                  
0.4        0.055349000          0.023862000          1024                
0.5        0.050291000          0.021521000          64                  
0.5        0.060812000          0.028259000          1024                
0.6        0.054203000          0.023695000          64                  
0.6        0.050523000          0.023821000          1024                
0.7        0.056310000          0.026956000          64                  
0.7        0.056218000          0.035126000          1024                
0.8        0.054284000          0.023013000          64                  
0.8        0.056787000          0.031784000          1024                
0.9        0.062875000          0.019300000          64                  
0.9        0.068014000          0.030131000          1024                
