P%         IPA_Highest          STD                  BS                  
0.0        0.056368000          0.022244000          1024                
0.1        0.057508000          0.023582000          1024                
0.2        0.060050000          0.028013000          1024                
0.3        0.059557000          0.029324000          1024                
0.4        0.055349000          0.023862000          1024                
0.5        0.060812000          0.028259000          1024                
0.6        0.054203000          0.023821000          64                  
0.7        0.056310000          0.035126000          64                  
0.8        0.056787000          0.031784000          1024                
0.9        0.068014000          0.030131000          1024                
