Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3190              0
1              [1024/60000]        2.3202              48.1400             2.2607              1              
1              [2048/60000]        2.1489              44.0100             6.6135              2              
1              [3072/60000]        6.5315              44.7300             12.1249             3              
1              [4096/60000]        13.0106             36.4000             12.8089             4              
1              [5120/60000]        13.2378             10.3200             13.0939             5              
1              [6144/60000]        13.1335             56.5500             6.4451              6              
1              [7168/60000]        5.9685              51.4900             4.8451              7              
1              [8192/60000]        4.6912              52.5100             4.6971              8              
1              [9216/60000]        4.4803              50.4200             4.3297              9              
1              [10240/60000]       4.2124              59.1400             3.7851              10             
1              [11264/60000]       3.4069              63.6800             2.1473              11             
1              [12288/60000]       2.1995              72.7400             1.2475              12             
1              [13312/60000]       1.1632              85.6200             0.4930              13             
1              [14336/60000]       0.4956              87.5800             0.4264              14             
1              [15360/60000]       0.4222              87.6400             0.4114              15             
1              [16384/60000]       0.4910              88.8900             0.3851              16             
1              [17408/60000]       0.4326              89.0000             0.3766              17             
1              [18432/60000]       0.4058              89.5200             0.3629              18             
1              [19456/60000]       0.4317              89.8000             0.3545              19             
1              [20480/60000]       0.3220              89.8200             0.3513              20             
1              [21504/60000]       0.3938              90.4600             0.3384              21             
1              [22528/60000]       0.3442              90.5300             0.3283              22             
1              [23552/60000]       0.3614              90.8700             0.3234              23             
1              [24576/60000]       0.3472              90.6900             0.3201              24             
1              [25600/60000]       0.3328              91.2000             0.3159              25             
1              [26624/60000]       0.3147              90.5700             0.3254              26             
1              [27648/60000]       0.3443              91.1600             0.3122              27             
1              [28672/60000]       0.3591              91.0400             0.3128              28             
1              [29696/60000]       0.3085              91.5500             0.2981              29             
1              [30720/60000]       0.3286              91.7800             0.2944              30             
1              [31744/60000]       0.3393              91.9600             0.2874              31             
1              [32768/60000]       0.3466              91.8200             0.2964              32             
1              [33792/60000]       0.3329              91.6300             0.3010              33             
1              [34816/60000]       0.2846              91.8300             0.2921              34             
1              [35840/60000]       0.2968              92.0700             0.2877              35             
1              [36864/60000]       0.2841              91.2200             0.3028              36             
1              [37888/60000]       0.3229              90.3500             0.3197              37             
1              [38912/60000]       0.2910              86.2400             0.4139              38             
1              [39936/60000]       0.4860              82.8800             0.6158              39             
1              [40960/60000]       0.6393              81.1900             0.5625              40             
1              [41984/60000]       0.5142              80.3600             0.6569              41             
1              [43008/60000]       0.6533              80.9800             0.6287              42             
1              [44032/60000]       0.6613              80.4400             0.7950              43             
1              [45056/60000]       0.7458              82.9600             0.7244              44             
1              [46080/60000]       0.7477              90.0300             0.3299              45             
1              [47104/60000]       0.4375              90.4600             0.3160              46             
1              [48128/60000]       0.3404              90.7900             0.3096              47             
1              [49152/60000]       0.3647              90.7400             0.3107              48             
1              [50176/60000]       0.3198              92.0500             0.2756              49             
1              [51200/60000]       0.2950              92.7500             0.2527              50             
1              [52224/60000]       0.2922              92.4100             0.2588              51             
1              [53248/60000]       0.2388              91.4900             0.2891              52             
1              [54272/60000]       0.2887              92.6200             0.2502              53             
1              [55296/60000]       0.2775              92.8000             0.2560              54             
1              [56320/60000]       0.2408              92.5600             0.2527              55             
1              [57344/60000]       0.2482              93.0400             0.2445              56             
1              [58368/60000]       0.2779              92.3000             0.2563              57             
1              [59392/60000]       0.2938              92.5500             0.2591              58             
1              [35872/60000]       0.2497              93.0000             0.2392              59             
2              [1024/60000]        0.2239              93.7400             0.2283              60             
2              [2048/60000]        0.2441              92.7100             0.2452              61             
2              [3072/60000]        0.2615              92.5500             0.2571              62             
2              [4096/60000]        0.2364              91.7500             0.2717              63             
2              [5120/60000]        0.2791              90.9300             0.3043              64             
2              [6144/60000]        0.3518              89.6400             0.3283              65             
2              [7168/60000]        0.3660              86.7300             0.4540              66             
2              [8192/60000]        0.4999              85.6100             0.5366              67             
2              [9216/60000]        0.5178              86.0700             0.5160              68             
2              [10240/60000]       0.4997              91.0000             0.2925              69             
2              [11264/60000]       0.3004              93.0200             0.2363              70             
2              [12288/60000]       0.2435              93.6600             0.2201              71             
2              [13312/60000]       0.2625              92.1200             0.2574              72             
2              [14336/60000]       0.2934              87.3100             0.3622              73             
2              [15360/60000]       0.3777              84.9600             0.5053              74             
2              [16384/60000]       0.5417              85.7000             0.4354              75             
2              [17408/60000]       0.4089              89.5600             0.3212              76             
2              [18432/60000]       0.3202              92.8500             0.2392              77             
2              [19456/60000]       0.2512              93.8400             0.2083              78             
2              [20480/60000]       0.2199              94.4500             0.1916              79             
2              [21504/60000]       0.2017              94.5900             0.1876              80             
2              [22528/60000]       0.1657              94.5600             0.1841              81             
2              [23552/60000]       0.1695              94.8400             0.1814              82             
2              [24576/60000]       0.2064              94.6700             0.1921              83             
2              [25600/60000]       0.1696              94.7900             0.1800              84             
2              [26624/60000]       0.1867              94.7600             0.1788              85             
2              [27648/60000]       0.1951              94.7900             0.1812              86             
2              [28672/60000]       0.1720              94.8000             0.1798              87             
2              [29696/60000]       0.1859              94.9400             0.1800              88             
2              [30720/60000]       0.1849              94.9900             0.1760              89             
2              [31744/60000]       0.1890              95.1000             0.1712              90             
2              [32768/60000]       0.1925              95.2400             0.1716              91             
2              [33792/60000]       0.1892              94.5400             0.1834              92             
2              [34816/60000]       0.1948              94.2900             0.2010              93             
2              [35840/60000]       0.2621              93.0000             0.2219              94             
2              [36864/60000]       0.2138              92.2900             0.2428              95             
2              [37888/60000]       0.2625              90.6900             0.2886              96             
2              [38912/60000]       0.3051              93.6600             0.2096              97             
2              [39936/60000]       0.2112              94.4000             0.1858              98             
2              [40960/60000]       0.1774              95.2200             0.1671              99             
2              [41984/60000]       0.1881              95.3400             0.1626              100            
2              [43008/60000]       0.1583              95.4500             0.1611              101            
2              [44032/60000]       0.1607              95.1800             0.1669              102            
2              [45056/60000]       0.1899              95.2400             0.1650              103            
2              [46080/60000]       0.1981              95.4700             0.1639              104            
2              [47104/60000]       0.1594              95.5100             0.1555              105            
2              [48128/60000]       0.1564              95.6000             0.1544              106            
2              [49152/60000]       0.1882              95.3900             0.1672              107            
2              [50176/60000]       0.1853              95.3300             0.1613              108            
2              [51200/60000]       0.2023              94.9700             0.1764              109            
2              [52224/60000]       0.1701              95.1400             0.1703              110            
2              [53248/60000]       0.1778              95.6400             0.1496              111            
