P%         IPA_Average          STD                  BS                  
0.0        0.039517000          0.016674000          64                  
0.0        0.057220000          0.024706000          1024                
0.1        0.046648000          0.020385000          64                  
0.1        0.059212000          0.025373000          1024                
0.2        0.055118000          0.025015000          64                  
0.2        0.059763000          0.031489000          1024                
0.3        0.057283000          0.023668000          64                  
0.3        0.059175000          0.032282000          1024                
0.4        0.053136000          0.021555000          64                  
0.4        0.058358000          0.031721000          1024                
0.5        0.049184000          0.017578000          64                  
0.5        0.051024000          0.024732000          1024                
0.6        0.047092000          0.014065000          64                  
0.6        0.047516000          0.023642000          1024                
0.7        0.043548000          0.012523000          64                  
0.7        0.041620000          0.007705000          1024                
0.8        0.039914000          0.009531000          64                  
0.8        0.038806000          0.007391000          1024                
0.9        0.038790000          0.012016000          64                  
0.9        0.036741000          0.014749000          1024                
