P%         IPA_Highest          STD                  BS                  
0.0        0.057220000          0.024706000          1024                
0.1        0.059212000          0.025373000          1024                
0.2        0.059763000          0.031489000          1024                
0.3        0.059175000          0.032282000          1024                
0.4        0.058358000          0.031721000          1024                
0.5        0.051024000          0.024732000          1024                
0.6        0.047516000          0.023642000          1024                
0.7        0.043548000          0.007705000          64                  
0.8        0.039914000          0.007391000          64                  
0.9        0.038790000          0.014749000          64                  
