Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3043              0
1              [64/60000]          2.3044              25.6300             2.2786              1              
1              [128/60000]         2.2876              35.8000             2.2505              2              
1              [192/60000]         2.2563              32.8100             2.2197              3              
1              [256/60000]         2.2269              55.9100             2.1789              4              
1              [320/60000]         2.1668              37.6900             2.1399              5              
1              [384/60000]         2.1190              47.7200             2.0874              6              
1              [448/60000]         2.1221              61.2600             2.0260              7              
1              [512/60000]         2.0044              60.5400             1.9441              8              
1              [576/60000]         1.9635              65.4400             1.8593              9              
1              [640/60000]         1.7927              67.5800             1.7477              10             
1              [704/60000]         1.6664              64.7400             1.6349              11             
1              [768/60000]         1.7462              60.9300             1.5480              12             
1              [832/60000]         1.5646              68.9600             1.4174              13             
1              [896/60000]         1.5856              72.1500             1.3058              14             
1              [960/60000]         1.2590              72.8500             1.1990              15             
1              [1024/60000]        1.2334              76.8500             1.1116              16             
1              [1088/60000]        1.0437              69.7900             1.0513              17             
1              [1152/60000]        1.0851              77.2700             0.9292              18             
1              [1216/60000]        0.9977              80.1700             0.8820              19             
1              [1280/60000]        0.9223              71.7500             0.8725              20             
1              [1344/60000]        0.8534              78.0500             0.7690              21             
1              [1408/60000]        0.8594              80.7300             0.7526              22             
1              [1472/60000]        0.8333              80.0600             0.7280              23             
1              [1536/60000]        0.7488              81.5200             0.6695              24             
1              [1600/60000]        0.5527              79.8000             0.6895              25             
1              [1664/60000]        0.9065              77.5700             0.6997              26             
1              [1728/60000]        0.6386              82.3800             0.6109              27             
1              [1792/60000]        0.6112              83.5400             0.5977              28             
1              [1856/60000]        0.6562              82.4500             0.5850              29             
1              [1920/60000]        0.6188              81.8600             0.6169              30             
1              [1984/60000]        0.5738              81.1400             0.5866              31             
1              [2048/60000]        0.5447              84.1100             0.5420              32             
1              [2112/60000]        0.4866              81.4900             0.5794              33             
1              [2176/60000]        0.4986              78.9900             0.6295              34             
1              [2240/60000]        0.4950              82.8600             0.5614              35             
1              [2304/60000]        0.5612              84.4100             0.5147              36             
1              [2368/60000]        0.7962              82.5900             0.5331              37             
1              [2432/60000]        0.5142              84.1300             0.5222              38             
1              [2496/60000]        0.4951              82.7500             0.5322              39             
1              [2560/60000]        0.5602              84.4200             0.5113              40             
1              [2624/60000]        0.6601              79.8100             0.5966              41             
1              [2688/60000]        0.5746              85.2300             0.4889              42             
1              [2752/60000]        0.6169              84.3800             0.5143              43             
1              [2816/60000]        0.3972              83.9000             0.5151              44             
1              [2880/60000]        0.5337              86.7600             0.4632              45             
1              [2944/60000]        0.4431              84.9600             0.4831              46             
1              [3008/60000]        0.4190              85.0600             0.4795              47             
1              [3072/60000]        0.3666              87.0600             0.4503              48             
1              [3136/60000]        0.4435              87.0400             0.4559              49             
1              [3200/60000]        0.5577              86.3900             0.4759              50             
1              [3264/60000]        0.4194              88.1000             0.4203              51             
1              [3328/60000]        0.4676              88.0700             0.4185              52             
1              [3392/60000]        0.2777              86.8200             0.4398              53             
1              [3456/60000]        0.6086              87.4600             0.4355              54             
1              [3520/60000]        0.3523              87.1500             0.4263              55             
1              [3584/60000]        0.2293              87.9000             0.4086              56             
1              [3648/60000]        0.2219              87.2800             0.4177              57             
1              [3712/60000]        0.5007              87.0200             0.4521              58             
1              [3776/60000]        0.5937              85.4000             0.4809              59             
1              [3840/60000]        0.3122              87.0700             0.4416              60             
1              [3904/60000]        0.6956              86.7800             0.4280              61             
1              [3968/60000]        0.5458              86.2000             0.4550              62             
1              [4032/60000]        0.6668              86.8900             0.4493              63             
1              [4096/60000]        0.4308              86.1600             0.4522              64             
1              [4160/60000]        0.3877              87.2400             0.4190              65             
1              [4224/60000]        0.4648              86.3800             0.4335              66             
1              [4288/60000]        0.4412              87.4500             0.4297              67             
1              [4352/60000]        0.4521              88.0100             0.4003              68             
1              [4416/60000]        0.5732              87.9400             0.4049              69             
1              [4480/60000]        0.3433              88.4000             0.4081              70             
1              [4544/60000]        0.6496              86.6000             0.4445              71             
1              [4608/60000]        0.5364              88.0800             0.4236              72             
1              [4672/60000]        0.3385              87.9200             0.3999              73             
1              [4736/60000]        0.7821              87.6500             0.4174              74             
1              [4800/60000]        0.3956              88.6500             0.3897              75             
1              [4864/60000]        0.4245              87.3900             0.4233              76             
1              [4928/60000]        0.3744              87.9100             0.3982              77             
1              [4992/60000]        0.2361              88.7700             0.3890              78             
1              [5056/60000]        0.2626              89.5300             0.3720              79             
1              [5120/60000]        0.4411              89.3200             0.3703              80             
1              [5184/60000]        0.5187              88.9000             0.3932              81             
1              [5248/60000]        0.3684              88.1100             0.4173              82             
