P%         IPA_Average          STD                  BS                  
0.0        0.041418000          0.018419000          64                  
0.0        0.056102000          0.024306000          1024                
0.1        0.045866000          0.018911000          64                  
0.1        0.053323000          0.020793000          1024                
0.2        0.050401000          0.021611000          64                  
0.2        0.064679000          0.030051000          1024                
0.3        0.051434000          0.022700000          64                  
0.3        0.060101000          0.028734000          1024                
0.4        0.059393000          0.027246000          64                  
0.4        0.057597000          0.026685000          1024                
0.5        0.060750000          0.026908000          64                  
0.5        0.058516000          0.027715000          1024                
0.6        0.055726000          0.023629000          64                  
0.6        0.057973000          0.028994000          1024                
0.7        0.053681000          0.021812000          64                  
0.7        0.056850000          0.030870000          1024                
0.8        0.048219000          0.017086000          64                  
0.8        0.052289000          0.022238000          1024                
0.9        0.043537000          0.014597000          64                  
0.9        0.046551000          0.013345000          1024                
