P%         IPA_Highest          STD                  BS                  
0.0        0.056102000          0.024306000          1024                
0.1        0.053323000          0.020793000          1024                
0.2        0.064679000          0.030051000          1024                
0.3        0.060101000          0.028734000          1024                
0.4        0.059393000          0.026685000          64                  
0.5        0.060750000          0.027715000          64                  
0.6        0.057973000          0.028994000          1024                
0.7        0.056850000          0.030870000          1024                
0.8        0.052289000          0.022238000          1024                
0.9        0.046551000          0.013345000          1024                
