Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3018              0
1              [1024/60000]        2.3016              21.0500             2.1836              1              
1              [2048/60000]        2.1954              34.8500             2.0862              2              
1              [3072/60000]        2.0812              32.3600             1.9614              3              
1              [4096/60000]        1.9864              40.3200             1.8782              4              
1              [5120/60000]        1.8870              35.2500             1.8003              5              
1              [6144/60000]        1.8009              35.6600             1.8059              6              
1              [7168/60000]        1.7731              46.1200             1.6411              7              
1              [8192/60000]        1.6834              55.5800             1.4777              8              
1              [9216/60000]        1.5508              59.9500             1.3831              9              
1              [10240/60000]       1.3773              66.8400             1.1498              10             
1              [11264/60000]       1.2100              64.3800             1.0791              11             
1              [12288/60000]       1.0977              64.5800             1.0276              12             
1              [13312/60000]       1.0756              58.6500             1.1899              13             
1              [14336/60000]       1.2131              70.8200             0.9696              14             
1              [15360/60000]       0.9807              77.4900             0.7471              15             
1              [16384/60000]       0.7240              81.8600             0.6558              16             
1              [17408/60000]       0.6333              80.5000             0.6355              17             
1              [18432/60000]       0.6520              82.7300             0.5856              18             
1              [19456/60000]       0.5916              80.5700             0.5916              19             
1              [20480/60000]       0.6063              79.7600             0.6062              20             
1              [21504/60000]       0.6283              74.4400             0.7961              21             
1              [22528/60000]       0.8166              72.5600             0.8233              22             
1              [23552/60000]       0.8413              76.8400             0.7031              23             
1              [24576/60000]       0.7756              78.4800             0.6236              24             
1              [25600/60000]       0.6932              77.4500             0.7512              25             
1              [26624/60000]       0.8014              83.1000             0.5753              26             
1              [27648/60000]       0.6099              86.0500             0.4818              27             
1              [28672/60000]       0.5282              87.3400             0.4565              28             
1              [29696/60000]       0.4866              87.6200             0.4349              29             
1              [30720/60000]       0.4590              88.6500             0.4194              30             
1              [31744/60000]       0.4330              86.6800             0.4416              31             
1              [32768/60000]       0.4662              87.9700             0.4242              32             
1              [33792/60000]       0.4427              88.0800             0.4074              33             
1              [34816/60000]       0.4447              87.7300             0.4223              34             
1              [35840/60000]       0.3849              86.3900             0.4490              35             
1              [36864/60000]       0.4403              86.5000             0.4436              36             
1              [37888/60000]       0.4941              83.9400             0.4912              37             
1              [38912/60000]       0.5052              84.9900             0.4734              38             
1              [39936/60000]       0.5326              81.5600             0.5496              39             
1              [40960/60000]       0.5946              79.1600             0.6084              40             
1              [41984/60000]       0.5951              80.7000             0.5815              41             
1              [43008/60000]       0.5743              85.7100             0.4601              42             
1              [44032/60000]       0.4132              87.3800             0.4219              43             
1              [45056/60000]       0.4270              87.9100             0.4021              44             
1              [46080/60000]       0.3516              89.1400             0.3753              45             
1              [47104/60000]       0.4418              90.1200             0.3584              46             
1              [48128/60000]       0.3598              89.6200             0.3551              47             
1              [49152/60000]       0.3973              90.8600             0.3353              48             
1              [50176/60000]       0.3430              90.6200             0.3359              49             
1              [51200/60000]       0.3389              90.6700             0.3329              50             
1              [52224/60000]       0.4178              89.9200             0.3545              51             
1              [53248/60000]       0.3874              90.7000             0.3309              52             
1              [54272/60000]       0.3225              90.9000             0.3207              53             
1              [55296/60000]       0.3714              90.4900             0.3319              54             
1              [56320/60000]       0.3771              89.2300             0.3675              55             
1              [57344/60000]       0.3673              89.9000             0.3432              56             
1              [58368/60000]       0.3734              89.7400             0.3633              57             
1              [59392/60000]       0.3462              91.3000             0.3165              58             
1              [35872/60000]       0.3285              91.0100             0.3178              59             
2              [1024/60000]        0.2915              91.8500             0.3032              60             
2              [2048/60000]        0.3416              91.0600             0.3121              61             
2              [3072/60000]        0.3582              90.5900             0.3281              62             
2              [4096/60000]        0.3127              91.2500             0.3125              63             
2              [5120/60000]        0.2966              90.5700             0.3163              64             
2              [6144/60000]        0.3771              91.0200             0.3154              65             
2              [7168/60000]        0.3149              90.3300             0.3272              66             
2              [8192/60000]        0.2985              89.5400             0.3438              67             
2              [9216/60000]        0.3303              89.1300             0.3608              68             
2              [10240/60000]       0.3289              89.6600             0.3509              69             
2              [11264/60000]       0.3295              89.1000             0.3619              70             
2              [12288/60000]       0.3735              88.5500             0.3765              71             
2              [13312/60000]       0.3977              87.7600             0.3922              72             
2              [14336/60000]       0.4324              87.5200             0.4095              73             
2              [15360/60000]       0.4528              87.3700             0.3951              74             
2              [16384/60000]       0.4196              87.2600             0.4134              75             
2              [17408/60000]       0.4470              90.1800             0.3336              76             
2              [18432/60000]       0.3414              91.7800             0.2949              77             
2              [19456/60000]       0.2904              92.3400             0.2731              78             
2              [20480/60000]       0.3299              91.9200             0.2829              79             
2              [21504/60000]       0.2669              92.5400             0.2719              80             
2              [22528/60000]       0.2847              92.5400             0.2664              81             
2              [23552/60000]       0.2785              92.6500             0.2651              82             
2              [24576/60000]       0.2697              92.4700             0.2667              83             
2              [25600/60000]       0.2574              92.9000             0.2571              84             
2              [26624/60000]       0.2489              92.7900             0.2596              85             
2              [27648/60000]       0.2797              92.5400             0.2697              86             
2              [28672/60000]       0.2899              92.1700             0.2719              87             
2              [29696/60000]       0.2648              91.7100             0.2903              88             
2              [30720/60000]       0.3182              91.4700             0.2882              89             
2              [31744/60000]       0.3057              91.0400             0.3135              90             
2              [32768/60000]       0.3299              91.1200             0.3040              91             
2              [33792/60000]       0.3282              90.4400             0.3276              92             
2              [34816/60000]       0.3278              92.5600             0.2658              93             
2              [35840/60000]       0.2878              92.6500             0.2579              94             
2              [36864/60000]       0.2374              93.2200             0.2487              95             
2              [37888/60000]       0.2754              92.5800             0.2591              96             
2              [38912/60000]       0.2841              92.9400             0.2585              97             
2              [39936/60000]       0.2546              92.2200             0.2680              98             
2              [40960/60000]       0.2600              93.1300             0.2486              99             
2              [41984/60000]       0.2834              91.3800             0.2880              100            
2              [43008/60000]       0.2857              91.9700             0.2758              101            
2              [44032/60000]       0.2953              92.7400             0.2587              102            
2              [45056/60000]       0.2707              92.6000             0.2665              103            
2              [46080/60000]       0.3235              92.4100             0.2620              104            
2              [47104/60000]       0.3408              93.3300             0.2404              105            
2              [48128/60000]       0.2451              93.2700             0.2369              106            
2              [49152/60000]       0.2794              93.4300             0.2326              107            
2              [50176/60000]       0.2299              93.5100             0.2344              108            
2              [51200/60000]       0.2207              93.5600             0.2248              109            
2              [52224/60000]       0.2513              93.6900             0.2245              110            
2              [53248/60000]       0.3051              93.1800             0.2357              111            
2              [54272/60000]       0.2737              92.7700             0.2463              112            
2              [55296/60000]       0.2591              93.4600             0.2292              113            
2              [56320/60000]       0.2311              92.9100             0.2455              114            
2              [57344/60000]       0.2546              93.6700             0.2251              115            
2              [58368/60000]       0.2184              93.5500             0.2264              116            
2              [59392/60000]       0.2523              94.0400             0.2097              117            
2              [35872/60000]       0.2109              94.0100             0.2118              118            
3              [1024/60000]        0.1908              93.6900             0.2177              119            
3              [2048/60000]        0.2279              93.5100             0.2260              120            
3              [3072/60000]        0.1972              94.0700             0.2096              121            
3              [4096/60000]        0.2186              93.6200             0.2217              122            
3              [5120/60000]        0.1993              93.2800             0.2272              123            
3              [6144/60000]        0.2526              92.2200             0.2574              124            
3              [7168/60000]        0.2554              90.1200             0.3027              125            
3              [8192/60000]        0.2963              91.4000             0.2760              126            
3              [9216/60000]        0.3103              90.4200             0.3002              127            
3              [10240/60000]       0.3006              91.2700             0.2782              128            
3              [11264/60000]       0.3024              92.4000             0.2633              129            
3              [12288/60000]       0.3096              94.1400             0.2096              130            
3              [13312/60000]       0.2192              94.1100             0.2097              131            
3              [14336/60000]       0.2390              94.4300             0.2022              132            
3              [15360/60000]       0.2536              93.8900             0.2156              133            
3              [16384/60000]       0.2220              94.3300             0.2026              134            
3              [17408/60000]       0.2194              94.5900             0.1922              135            
3              [18432/60000]       0.1828              94.7500             0.1892              136            
3              [19456/60000]       0.1889              94.6600             0.1910              137            
3              [20480/60000]       0.1669              94.6700             0.1901              138            
3              [21504/60000]       0.1877              94.8100             0.1825              139            
3              [22528/60000]       0.1864              94.5100             0.1996              140            
3              [23552/60000]       0.2191              94.8200             0.1862              141            
3              [24576/60000]       0.1953              94.6500             0.1868              142            
3              [25600/60000]       0.2125              95.0200             0.1790              143            
3              [26624/60000]       0.1979              95.1200             0.1782              144            
3              [27648/60000]       0.1934              95.0200             0.1780              145            
3              [28672/60000]       0.1893              94.9700             0.1841              146            
3              [29696/60000]       0.1828              95.0200             0.1795              147            
3              [30720/60000]       0.1868              95.0100             0.1798              148            
3              [31744/60000]       0.1728              95.0300             0.1784              149            
3              [32768/60000]       0.1805              95.2500             0.1768              150            
3              [33792/60000]       0.1745              94.4200             0.1876              151            
3              [34816/60000]       0.2243              94.9700             0.1767              152            
3              [35840/60000]       0.1800              94.5900             0.1850              153            
3              [36864/60000]       0.1848              95.0800             0.1731              154            
3              [37888/60000]       0.1659              95.3400             0.1662              155            
3              [38912/60000]       0.1786              95.2400             0.1670              156            
3              [39936/60000]       0.1844              95.1800             0.1687              157            
3              [40960/60000]       0.1880              94.8700             0.1775              158            
3              [41984/60000]       0.1815              95.1800             0.1705              159            
3              [43008/60000]       0.1916              95.3500             0.1659              160            
3              [44032/60000]       0.1637              95.1200             0.1709              161            
3              [45056/60000]       0.2033              95.2800             0.1663              162            
