P%         IPA_Average          STD                  BS                  
0.0        0.040541000          0.018688000          64                  
0.0        0.055604000          0.022168000          1024                
0.1        0.042516000          0.020284000          64                  
0.1        0.060444000          0.027486000          1024                
0.2        0.047421000          0.021580000          64                  
0.2        0.054135000          0.021967000          1024                
0.3        0.049150000          0.021432000          64                  
0.3        0.058209000          0.025675000          1024                
0.4        0.051502000          0.018899000          64                  
0.4        0.059129000          0.025853000          1024                
0.5        0.053740000          0.025325000          64                  
0.5        0.055118000          0.026717000          1024                
0.6        0.053785000          0.021778000          64                  
0.6        0.055674000          0.029394000          1024                
0.7        0.056266000          0.023367000          64                  
0.7        0.053324000          0.028358000          1024                
0.8        0.048178000          0.020825000          64                  
0.8        0.052412000          0.034946000          1024                
0.9        0.043589000          0.011927000          64                  
0.9        0.039492000          0.009343000          1024                
