Batch_Size,Pruning_Percentage,CE_Type,AUC
64,0.9,Avg_CE_Train,200.4714620039833
64,0.8,Avg_CE_Train,204.12024839742523
64,0.7,Avg_CE_Train,208.01828978089247
64,0.6,Avg_CE_Train,211.3799530892712
64,0.5,Avg_CE_Train,219.2257483780024
64,0.4,Avg_CE_Train,224.82322842314764
64,0.3,Avg_CE_Train,230.1502618147422
64,0.2,Avg_CE_Train,235.61956527093332
64,0.1,Avg_CE_Train,240.48949056320996
64,0.0,Avg_CE_Train,247.98795424978738
64,0.9,Avg_CE_Test,207.21962924837095
64,0.8,Avg_CE_Test,210.63310199988427
64,0.7,Avg_CE_Test,215.47329106979146
64,0.6,Avg_CE_Test,219.9301429030501
64,0.5,Avg_CE_Test,227.27933143159296
64,0.4,Avg_CE_Test,232.69974393564334
64,0.3,Avg_CE_Test,238.95516729134636
64,0.2,Avg_CE_Test,244.11692527567794
64,0.1,Avg_CE_Test,248.886671640381
64,0.0,Avg_CE_Test,256.40012158046085
1024,0.9,Avg_CE_Train,198.12599734783205
1024,0.8,Avg_CE_Train,200.36796617243817
1024,0.7,Avg_CE_Train,201.59609002810612
1024,0.6,Avg_CE_Train,206.8974667992831
1024,0.5,Avg_CE_Train,207.90590703662787
1024,0.4,Avg_CE_Train,211.68902288132352
1024,0.3,Avg_CE_Train,213.6515274099677
1024,0.2,Avg_CE_Train,218.16843739195926
1024,0.1,Avg_CE_Train,222.87791917455417
1024,0.0,Avg_CE_Train,226.06576415596143
1024,0.9,Avg_CE_Test,211.91097100467675
1024,0.8,Avg_CE_Test,214.91105530534412
1024,0.7,Avg_CE_Test,216.720243419354
1024,0.6,Avg_CE_Test,222.03910663764407
1024,0.5,Avg_CE_Test,223.91972078779105
1024,0.4,Avg_CE_Test,227.99465303668825
1024,0.3,Avg_CE_Test,230.64369004644172
1024,0.2,Avg_CE_Test,235.29590594218263
1024,0.1,Avg_CE_Test,240.1858281499162
1024,0.0,Avg_CE_Test,243.73947862385762
