Batch_Size,Pruning_Percentage,CE_Type,AUC
64,0.9,Avg_CE_Train,220.15684929181631
64,0.8,Avg_CE_Train,226.51434857724718
64,0.7,Avg_CE_Train,231.57797196215978
64,0.6,Avg_CE_Train,233.72007471772434
64,0.5,Avg_CE_Train,240.96555054767586
64,0.4,Avg_CE_Train,247.873996643183
64,0.3,Avg_CE_Train,253.35624866700033
64,0.2,Avg_CE_Train,257.21636133393633
64,0.1,Avg_CE_Train,261.6994154841917
64,0.0,Avg_CE_Train,262.26866498869174
64,0.9,Avg_CE_Test,228.7152505878688
64,0.8,Avg_CE_Test,234.52960255682723
64,0.7,Avg_CE_Test,240.42352513257407
64,0.6,Avg_CE_Test,244.23965715120897
64,0.5,Avg_CE_Test,249.9786057586997
64,0.4,Avg_CE_Test,256.79452311707735
64,0.3,Avg_CE_Test,263.0351249180262
64,0.2,Avg_CE_Test,265.78521681622857
64,0.1,Avg_CE_Test,272.45697229665046
64,0.0,Avg_CE_Test,272.4075387913887
1024,0.9,Avg_CE_Train,203.2838209100845
1024,0.8,Avg_CE_Train,204.39596121726504
1024,0.7,Avg_CE_Train,206.0850020397842
1024,0.6,Avg_CE_Train,208.0102195710441
1024,0.5,Avg_CE_Train,211.08597250784817
1024,0.4,Avg_CE_Train,215.92947552703902
1024,0.3,Avg_CE_Train,217.8159227419111
1024,0.2,Avg_CE_Train,222.732257243845
1024,0.1,Avg_CE_Train,224.83720312352796
1024,0.0,Avg_CE_Train,228.73330032829904
1024,0.9,Avg_CE_Test,217.34125103444114
1024,0.8,Avg_CE_Test,219.00806049365758
1024,0.7,Avg_CE_Test,221.4681061795309
1024,0.6,Avg_CE_Test,223.81277947386758
1024,0.5,Avg_CE_Test,227.31838705572758
1024,0.4,Avg_CE_Test,232.41032873467503
1024,0.3,Avg_CE_Test,234.42999971394488
1024,0.2,Avg_CE_Test,239.94049077944837
1024,0.1,Avg_CE_Test,242.63508600894235
1024,0.0,Avg_CE_Test,246.41001070893478
