Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3048              0
1              [1024/60000]        2.3039              36.8900             2.1284              1              
1              [2048/60000]        2.1027              34.3900             4.9123              2              
1              [3072/60000]        5.0457              25.3900             5.0646              3              
1              [4096/60000]        5.2802              35.8600             2.9353              4              
1              [5120/60000]        2.7917              35.9100             3.5725              5              
1              [6144/60000]        3.4707              43.2200             2.7609              6              
1              [7168/60000]        2.8163              61.2200             1.6770              7              
1              [8192/60000]        1.6542              56.6000             1.3469              8              
1              [9216/60000]        1.4626              53.5200             1.3897              9              
1              [10240/60000]       1.4334              56.2500             1.1688              10             
1              [11264/60000]       1.1394              64.3600             0.9906              11             
1              [12288/60000]       0.9889              63.6800             1.0875              12             
1              [13312/60000]       1.0721              59.5800             1.1399              13             
1              [14336/60000]       1.1602              65.0500             1.1532              14             
1              [15360/60000]       1.1735              69.3400             0.9374              15             
1              [16384/60000]       0.8757              72.6600             0.7544              16             
1              [17408/60000]       0.7647              74.8300             0.7485              17             
1              [18432/60000]       0.7754              68.8300             0.8319              18             
1              [19456/60000]       0.7685              74.1000             0.8891              19             
1              [20480/60000]       0.8892              72.3600             0.7692              20             
1              [21504/60000]       0.7840              72.6600             0.7833              21             
1              [22528/60000]       0.8592              71.6900             0.8578              22             
1              [23552/60000]       0.8087              69.6900             0.8149              23             
1              [24576/60000]       0.7913              75.0100             0.8252              24             
1              [25600/60000]       0.7717              76.6900             0.6630              25             
1              [26624/60000]       0.6200              74.9200             0.6830              26             
1              [27648/60000]       0.6929              76.7100             0.6537              27             
1              [28672/60000]       0.6737              72.8800             0.7270              28             
1              [29696/60000]       0.6908              74.3500             0.7295              29             
1              [30720/60000]       0.7765              72.4100             0.7767              30             
1              [31744/60000]       0.7794              72.3400             0.8222              31             
1              [32768/60000]       0.7437              75.2400             0.7188              32             
1              [33792/60000]       0.6781              77.0200             0.6587              33             
1              [34816/60000]       0.6271              75.9000             0.6473              34             
1              [35840/60000]       0.6335              76.7200             0.6506              35             
1              [36864/60000]       0.6488              73.4500             0.6847              36             
1              [37888/60000]       0.6847              76.2900             0.7039              37             
1              [38912/60000]       0.6984              74.3600             0.6520              38             
1              [39936/60000]       0.6555              76.4600             0.6863              39             
1              [40960/60000]       0.6438              76.7600             0.6248              40             
1              [41984/60000]       0.6079              78.4700             0.6047              41             
1              [43008/60000]       0.6363              76.0800             0.6370              42             
1              [44032/60000]       0.6396              77.3100             0.6327              43             
1              [45056/60000]       0.5782              76.1100             0.6247              44             
1              [46080/60000]       0.6632              76.3100             0.6542              45             
1              [47104/60000]       0.5792              78.9600             0.5788              46             
1              [48128/60000]       0.5344              77.9700             0.5867              47             
1              [49152/60000]       0.5605              74.7900             0.7012              48             
1              [50176/60000]       0.6412              74.4000             0.6541              49             
1              [51200/60000]       0.6094              72.8200             0.8030              50             
1              [52224/60000]       0.7674              75.0900             0.6453              51             
1              [53248/60000]       0.6525              74.8100             0.7025              52             
1              [54272/60000]       0.6900              73.2800             0.6812              53             
1              [55296/60000]       0.6969              74.2400             0.7659              54             
1              [56320/60000]       0.7351              76.8500             0.6177              55             
1              [57344/60000]       0.5693              78.6300             0.5948              56             
1              [58368/60000]       0.5587              76.8900             0.6092              57             
1              [59392/60000]       0.5737              77.4600             0.6320              58             
1              [35872/60000]       0.7799              74.1700             0.7843              59             
2              [1024/60000]        0.7830              72.9900             0.7261              60             
2              [2048/60000]        0.6763              78.0100             0.6417              61             
2              [3072/60000]        0.5964              80.4400             0.5520              62             
2              [4096/60000]        0.5087              81.1900             0.5247              63             
2              [5120/60000]        0.5274              81.7600             0.5163              64             
2              [6144/60000]        0.4755              81.2500             0.5268              65             
2              [7168/60000]        0.5208              81.3600             0.5223              66             
2              [8192/60000]        0.5495              81.2800             0.5205              67             
2              [9216/60000]        0.4733              80.8700             0.5293              68             
2              [10240/60000]       0.4944              81.0900             0.5151              69             
2              [11264/60000]       0.5077              81.8300             0.5119              70             
2              [12288/60000]       0.4916              79.5300             0.5303              71             
2              [13312/60000]       0.4675              79.5000             0.5788              72             
2              [14336/60000]       0.5459              79.3300             0.5370              73             
2              [15360/60000]       0.5045              80.8200             0.5525              74             
2              [16384/60000]       0.5175              79.3900             0.5487              75             
2              [17408/60000]       0.4940              78.9100             0.5748              76             
2              [18432/60000]       0.5488              77.5000             0.6159              77             
2              [19456/60000]       0.6247              77.9800             0.5877              78             
2              [20480/60000]       0.5309              79.2800             0.5579              79             
2              [21504/60000]       0.5457              80.0900             0.5450              80             
2              [22528/60000]       0.4888              80.4900             0.5301              81             
2              [23552/60000]       0.5027              79.9100             0.5486              82             
2              [24576/60000]       0.4923              79.9300             0.5436              83             
2              [25600/60000]       0.4744              81.0000             0.5222              84             
2              [26624/60000]       0.5266              81.7100             0.5014              85             
2              [27648/60000]       0.4571              80.6400             0.5345              86             
2              [28672/60000]       0.5612              77.4900             0.5790              87             
2              [29696/60000]       0.5338              77.3200             0.6669              88             
2              [30720/60000]       0.6572              80.7700             0.5416              89             
2              [31744/60000]       0.5670              80.4200             0.5580              90             
2              [32768/60000]       0.5236              80.4800             0.5425              91             
2              [33792/60000]       0.4827              80.6000             0.5241              92             
2              [34816/60000]       0.5423              80.2600             0.5203              93             
2              [35840/60000]       0.4660              80.4700             0.5369              94             
2              [36864/60000]       0.5235              82.0300             0.5007              95             
2              [37888/60000]       0.4976              81.9200             0.5027              96             
2              [38912/60000]       0.4641              80.7600             0.5174              97             
2              [39936/60000]       0.5134              80.4300             0.5470              98             
2              [40960/60000]       0.4823              81.8100             0.4959              99             
2              [41984/60000]       0.4916              81.8500             0.5030              100            
2              [43008/60000]       0.5023              80.3200             0.5213              101            
2              [44032/60000]       0.5086              80.3900             0.5434              102            
2              [45056/60000]       0.5191              78.9400             0.5402              103            
2              [46080/60000]       0.4668              80.7200             0.5412              104            
2              [47104/60000]       0.5428              81.4700             0.4971              105            
2              [48128/60000]       0.4799              81.6600             0.5103              106            
2              [49152/60000]       0.5123              79.1800             0.5309              107            
2              [50176/60000]       0.4658              80.8200             0.5351              108            
2              [51200/60000]       0.5662              81.5100             0.4937              109            
2              [52224/60000]       0.4089              83.0100             0.4763              110            
2              [53248/60000]       0.5102              81.0900             0.5039              111            
2              [54272/60000]       0.5246              80.7200             0.5341              112            
2              [55296/60000]       0.5311              80.6200             0.5182              113            
2              [56320/60000]       0.5260              81.4200             0.5256              114            
2              [57344/60000]       0.5122              81.8200             0.4944              115            
2              [58368/60000]       0.4812              82.9100             0.4745              116            
2              [59392/60000]       0.4085              82.0000             0.4751              117            
2              [35872/60000]       0.4410              80.9600             0.5327              118            
3              [1024/60000]        0.5533              82.2800             0.4743              119            
3              [2048/60000]        0.4446              83.2100             0.4694              120            
3              [3072/60000]        0.3899              82.6600             0.4665              121            
3              [4096/60000]        0.4372              81.8500             0.4860              122            
3              [5120/60000]        0.4538              82.7700             0.4714              123            
3              [6144/60000]        0.4260              81.2700             0.4986              124            
3              [7168/60000]        0.4875              80.5700             0.5243              125            
3              [8192/60000]        0.5112              81.2300             0.5126              126            
3              [9216/60000]        0.4952              81.4200             0.5033              127            
3              [10240/60000]       0.5011              82.4200             0.4833              128            
3              [11264/60000]       0.4888              80.5500             0.5181              129            
3              [12288/60000]       0.4841              83.3600             0.4617              130            
3              [13312/60000]       0.3818              84.0600             0.4446              131            
3              [14336/60000]       0.4405              84.2100             0.4373              132            
3              [15360/60000]       0.4144              82.2200             0.4634              133            
3              [16384/60000]       0.4404              83.0500             0.4657              134            
3              [17408/60000]       0.4651              82.8600             0.4570              135            
3              [18432/60000]       0.4023              83.7600             0.4551              136            
3              [19456/60000]       0.4420              83.4500             0.4479              137            
3              [20480/60000]       0.3880              84.0300             0.4397              138            
3              [21504/60000]       0.4142              83.9200             0.4451              139            
3              [22528/60000]       0.4198              83.6300             0.4590              140            
3              [23552/60000]       0.4186              83.3000             0.4510              141            
3              [24576/60000]       0.3739              84.1500             0.4442              142            
3              [25600/60000]       0.4412              81.1100             0.4829              143            
3              [26624/60000]       0.4533              82.2400             0.4916              144            
3              [27648/60000]       0.4629              79.9100             0.5213              145            
3              [28672/60000]       0.4557              81.2700             0.5201              146            
