Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,2.302596,9.02,100
1,2.302538,2.284878,22.345100000000002,100
2,2.2850829999999998,2.265992,27.972199999999997,100
3,2.264754,2.243923,30.954099999999997,100
4,2.244522,2.21815,33.6405,100
5,2.218814,2.1869,35.4099,100
6,2.185298,2.149423,36.6375,100
7,2.1486940000000003,2.1047309999999997,39.098800000000004,100
8,2.1029660000000003,2.051017,41.0118,100
9,2.048875,1.9865450000000002,43.1474,100
10,1.9844870000000001,1.914137,44.873000000000005,100
11,1.913066,1.8315649999999999,47.403999999999996,100
12,1.831172,1.741414,49.1134,100
13,1.735371,1.6460890000000001,50.579899999999995,100
14,1.647687,1.553196,52.2337,100
15,1.5589490000000001,1.462951,54.1993,100
16,1.4595339999999999,1.381352,55.95439999999999,100
17,1.3806129999999999,1.307314,58.12520000000001,100
18,1.308457,1.244316,59.0991,100
19,1.241756,1.1919119999999999,59.9886,100
20,1.220078,1.152675,60.104,100
21,1.157227,1.112653,61.148599999999995,100
22,1.094863,1.080545,62.192,100
23,1.081365,1.053199,62.6453,100
24,1.050668,1.036745,62.9473,100
25,1.049434,1.014927,63.3508,100
26,1.011376,1.002335,63.68600000000001,100
27,0.9949429999999999,0.976552,64.6166,100
28,0.972251,0.962381,64.8866,100
29,0.9657479999999999,0.959627,64.8669,100
30,0.965629,0.946476,65.0753,100
31,0.952874,0.934633,65.8831,100
32,0.932801,0.932622,65.5294,100
33,0.9104439999999999,0.907721,66.6194,100
34,0.893143,0.893216,66.9963,100
35,0.8814789999999999,0.897049,66.8938,100
36,0.892742,0.900069,67.1037,100
37,0.888491,0.868901,67.9348,100
38,0.853633,0.871498,67.8291,100
39,0.8661230000000001,0.868826,67.9976,100
40,0.870291,0.846404,68.8775,100
41,0.814626,0.840218,68.86399999999999,100
42,0.847166,0.8417629999999999,68.9279,100
43,0.824515,0.835787,69.1716,100
44,0.818087,0.8351149999999999,69.4765,100
45,0.830774,0.818246,69.79390000000001,100
46,0.819314,0.824933,69.21039999999999,100
47,0.809707,0.814169,69.93390000000001,100
48,0.8046099999999999,0.798682,70.6701,100
49,0.7900159999999999,0.802756,70.4525,100
50,0.78214,0.7896909999999999,70.8381,100
51,0.762128,0.79189,70.7965,100
52,0.781416,0.786614,71.0776,100
53,0.7659130000000001,0.780714,71.2505,100
54,0.763412,0.7814700000000001,71.1583,100
55,0.798934,0.774399,71.4362,100
56,0.742912,0.775455,71.5467,100
57,0.7586010000000001,0.766691,71.3741,100
58,0.763956,0.761812,71.9756,100
59,0.7535200000000001,0.755591,72.1548,100
60,0.7233379999999999,0.748988,72.332,100
61,0.756534,0.7536409999999999,72.1502,100
62,0.756812,0.766982,71.5874,100
63,0.765552,0.743287,72.5237,100
64,0.730233,0.738852,72.6656,100
65,0.7435970000000001,0.752389,72.1575,100
66,0.7350660000000001,0.7336480000000001,72.83539999999999,100
67,0.7074079999999999,0.733618,73.0377,100
68,0.7123780000000001,0.728935,73.1061,100
69,0.708128,0.727817,73.2347,100
70,0.7245440000000001,0.717547,73.3289,100
71,0.71525,0.719551,73.7116,100
72,0.7188479999999999,0.718905,73.6869,100
73,0.702666,0.710287,73.9687,100
74,0.678169,0.7090989999999999,73.93560000000001,100
75,0.6696840000000001,0.7035750000000001,74.1067,100
76,0.669601,0.6936709999999999,74.4936,100
77,0.681742,0.712762,73.8112,100
78,0.6884669999999999,0.706782,74.0227,100
79,0.6731560000000001,0.695444,74.5736,100
80,0.705674,0.702862,74.0506,100
81,0.6884269999999999,0.694829,74.4284,100
82,0.6672589999999999,0.69111,74.6138,100
83,0.687657,0.6927719999999999,74.5557,100
84,0.699635,0.691708,74.3843,100
85,0.673326,0.684243,74.9037,100
86,0.6409220000000001,0.6891710000000001,74.6916,100
87,0.680299,0.688122,74.64659999999999,100
88,0.683785,0.689677,74.8254,100
89,0.664633,0.683408,74.633,100
90,0.6809909999999999,0.6742170000000001,75.3149,100
91,0.6483240000000001,0.674159,75.21350000000001,100
92,0.651415,0.667881,75.4508,100
93,0.65911,0.668993,75.3863,100
94,0.661746,0.673062,75.3527,100
95,0.653269,0.665189,75.58319999999999,100
96,0.624561,0.66083,75.7432,100
97,0.651533,0.654992,76.0767,100
98,0.6571429999999999,0.6661579999999999,75.6285,100
99,0.641141,0.660887,75.8624,100
100,0.631261,0.663857,75.69229999999999,100
101,0.6361180000000001,0.654238,76.0865,100
102,0.6179209999999999,0.65621,75.93220000000001,100
103,0.659043,0.6642520000000001,75.6157,100
104,0.633705,0.6494530000000001,76.2613,100
105,0.649246,0.653472,76.1208,100
106,0.650437,0.6516160000000001,75.9979,100
107,0.639339,0.646219,76.2641,100
108,0.6276379999999999,0.6427379999999999,76.4187,100
109,0.629356,0.643432,76.5709,100
110,0.6310020000000001,0.6498959999999999,76.02890000000001,100
111,0.634827,0.6496649999999999,76.2867,100
112,0.62331,0.637226,76.6425,100
113,0.624116,0.639802,76.624,100
114,0.59966,0.6379549999999999,76.6717,100
115,0.621609,0.639008,76.6239,100
116,0.61407,0.6324989999999999,77.0075,100
117,0.626386,0.627965,77.0908,100
118,0.617357,0.629271,76.9615,100
119,0.605994,0.636814,76.7433,100
120,0.6053229166666666,0.6281260416666666,77.12375,96
121,0.6013552083333333,0.6247427083333333,77.18520833333334,96
122,0.5982,0.62853125,77.04114583333333,96
123,0.6250177083333334,0.6258760416666667,77.06322916666666,96
124,0.6062968750000001,0.6246208333333333,77.22802083333333,96
125,0.6157125,0.6187635416666667,77.35885416666666,96
126,0.5857270833333333,0.6274822916666667,77.0065625,96
127,0.599003125,0.624371875,77.28,96
128,0.60953125,0.6270458333333333,77.01552083333333,96
129,0.6109052083333334,0.6152510416666667,77.54770833333333,96
