P%         IPA_Average          STD                  BS                  
0.0        0.030890000          0.008836000          64                  
0.0        0.035365000          0.010061000          1024                
0.1        0.036068000          0.010829000          64                  
0.1        0.041712000          0.012262000          1024                
0.2        0.043676000          0.012426000          64                  
0.2        0.050758000          0.018268000          1024                
0.3        0.050055000          0.014855000          64                  
0.3        0.051357000          0.017090000          1024                
0.4        0.053795000          0.017108000          64                  
0.4        0.048073000          0.012566000          1024                
0.5        0.046994000          0.013108000          64                  
0.5        0.045231000          0.010434000          1024                
0.6        0.044016000          0.010792000          64                  
0.6        0.041515000          0.008408000          1024                
0.7        0.039451000          0.008113000          64                  
0.7        0.038848000          0.008117000          1024                
0.8        0.035966000          0.007624000          64                  
0.8        0.037092000          0.007167000          1024                
0.9        0.030717000          0.004664000          64                  
0.9        0.033250000          0.005792000          1024                
