P%         IPA_Highest          STD                  BS                  
0.0        0.035365000          0.010061000          1024                
0.1        0.041712000          0.012262000          1024                
0.2        0.050758000          0.018268000          1024                
0.3        0.051357000          0.017090000          1024                
0.4        0.053795000          0.012566000          64                  
0.5        0.046994000          0.010434000          64                  
0.6        0.044016000          0.008408000          64                  
0.7        0.039451000          0.008117000          64                  
0.8        0.037092000          0.007167000          1024                
0.9        0.033250000          0.005792000          1024                
