Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3177              0
1              [64/60000]          2.3164              40.1200             2.7034              1              
1              [128/60000]         2.2292              27.8900             8.3093              2              
1              [192/60000]         8.1710              35.5100             4.4951              3              
1              [256/60000]         5.5451              37.9800             4.7613              4              
1              [320/60000]         5.1212              33.2800             5.3784              5              
1              [384/60000]         5.3057              37.7700             4.2399              6              
1              [448/60000]         4.1510              41.1000             4.7930              7              
1              [512/60000]         5.4585              42.7800             3.0397              8              
1              [576/60000]         2.1593              61.6100             1.7325              9              
1              [640/60000]         2.0258              57.5100             1.7036              10             
1              [704/60000]         1.2568              60.7500             1.1609              11             
1              [768/60000]         0.8558              52.2400             1.4091              12             
1              [832/60000]         1.2114              62.1800             1.9666              13             
1              [896/60000]         2.1453              61.1000             1.9523              14             
1              [960/60000]         1.2631              62.9400             1.1874              15             
1              [1024/60000]        1.0486              66.0600             1.1357              16             
1              [1088/60000]        1.2954              63.2000             1.6304              17             
1              [1152/60000]        1.2878              63.5000             1.6957              18             
1              [1216/60000]        1.2624              67.3500             1.0527              19             
1              [1280/60000]        0.8644              69.4400             0.9816              20             
1              [1344/60000]        0.9497              69.4800             0.9321              21             
1              [1408/60000]        0.9814              61.8000             1.2492              22             
1              [1472/60000]        1.0254              69.3600             0.9396              23             
1              [1536/60000]        1.2032              70.3200             0.9168              24             
1              [1600/60000]        0.9062              66.8400             1.0303              25             
1              [1664/60000]        0.6781              70.1600             0.8573              26             
1              [1728/60000]        0.7940              65.6400             1.1557              27             
1              [1792/60000]        1.3284              67.4300             1.9269              28             
1              [1856/60000]        1.5360              72.7300             1.1106              29             
1              [1920/60000]        1.2085              73.5000             0.7900              30             
1              [1984/60000]        0.7820              73.6100             0.7634              31             
1              [2048/60000]        0.8141              74.5000             0.7811              32             
1              [2112/60000]        0.6344              70.7800             0.9568              33             
1              [2176/60000]        0.9371              67.9900             1.2098              34             
1              [2240/60000]        1.5595              71.7500             1.0677              35             
1              [2304/60000]        1.3047              72.3500             0.7868              36             
1              [2368/60000]        0.6613              73.6500             0.8346              37             
1              [2432/60000]        0.7482              76.3900             0.6998              38             
1              [2496/60000]        0.7584              72.1200             0.8585              39             
1              [2560/60000]        0.6275              73.8600             0.7745              40             
1              [2624/60000]        0.6098              75.4700             0.7058              41             
1              [2688/60000]        0.6704              71.5900             0.8512              42             
1              [2752/60000]        0.6953              72.7800             0.8331              43             
1              [2816/60000]        0.7796              77.3400             0.6671              44             
1              [2880/60000]        0.3874              75.2200             0.6898              45             
1              [2944/60000]        0.6884              74.3100             0.7688              46             
1              [3008/60000]        0.6451              74.0800             0.8534              47             
1              [3072/60000]        0.8255              69.6100             1.0117              48             
1              [3136/60000]        0.7433              75.4800             0.7260              49             
1              [3200/60000]        0.5911              77.0500             0.6953              50             
1              [3264/60000]        0.7581              74.3700             0.7386              51             
1              [3328/60000]        0.8890              69.4000             1.0552              52             
1              [3392/60000]        1.1667              73.5200             0.8954              53             
1              [3456/60000]        0.8532              76.9000             0.7468              54             
1              [3520/60000]        0.8000              75.1800             0.7444              55             
1              [3584/60000]        0.4834              78.3900             0.6430              56             
1              [3648/60000]        0.6032              75.2000             0.7033              57             
1              [3712/60000]        0.7909              75.1800             0.7516              58             
1              [3776/60000]        0.6423              78.6000             0.6225              59             
1              [3840/60000]        0.6446              72.8000             0.9066              60             
1              [3904/60000]        0.9174              74.5700             0.6848              61             
1              [3968/60000]        0.4825              72.8800             0.7761              62             
1              [4032/60000]        0.9253              72.2700             0.9054              63             
1              [4096/60000]        0.8707              73.8100             0.7738              64             
1              [4160/60000]        0.8104              77.6300             0.7260              65             
1              [4224/60000]        0.6085              73.5000             0.7819              66             
1              [4288/60000]        1.0047              72.9200             0.8221              67             
