P%         IPA_Average          STD                  BS                  
0.0        0.030213000          0.009295000          64                  
0.0        0.036594000          0.011647000          1024                
0.1        0.030408000          0.007421000          64                  
0.1        0.038342000          0.013567000          1024                
0.2        0.031718000          0.007531000          64                  
0.2        0.037862000          0.011767000          1024                
0.3        0.032731000          0.008078000          64                  
0.3        0.039696000          0.012773000          1024                
0.4        0.036246000          0.009772000          64                  
0.4        0.040561000          0.012884000          1024                
0.5        0.037377000          0.009468000          64                  
0.5        0.040961000          0.012681000          1024                
0.6        0.040142000          0.012194000          64                  
0.6        0.044333000          0.015245000          1024                
0.7        0.043178000          0.014861000          64                  
0.7        0.045503000          0.014043000          1024                
0.8        0.044661000          0.012021000          64                  
0.8        0.047520000          0.016180000          1024                
0.9        0.046395000          0.013963000          64                  
0.9        0.048716000          0.016039000          1024                
