Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,2.307777,9.02,100
1,2.307553,8.173831999999999,25.8448,100
2,8.292215,9.630189,30.3893,100
3,9.967069,11.291369999999999,29.918000000000003,100
4,11.085659,10.720582,31.1924,100
5,10.642337,8.861751,34.0547,100
6,8.806789,6.821058000000001,38.1706,100
7,6.848968999999999,5.016459,44.212799999999994,100
8,4.88467,3.953018,47.914899999999996,100
9,3.93221,3.0766250000000004,52.5415,100
10,3.116511,2.6864800000000004,55.6203,100
11,2.671784,2.153009,60.7771,100
12,2.18218,1.810016,63.2904,100
13,1.788174,1.762621,64.2584,100
14,1.711334,1.566465,66.1105,100
15,1.5101,1.4307509999999999,66.45909999999999,100
16,1.3887880000000001,1.3643960000000002,66.9237,100
17,1.314088,1.29721,67.7101,100
18,1.257671,1.28651,68.4821,100
19,1.211032,1.2262300000000002,69.3671,100
20,1.221882,1.236254,69.3408,100
21,1.199679,1.17444,69.4503,100
22,1.123977,1.112761,70.0071,100
23,1.0511650000000001,1.0916890000000001,70.7008,100
24,1.076974,1.0797889999999999,70.5724,100
25,1.0144710000000001,1.042529,70.8148,100
26,1.0253700000000001,1.032804,71.8116,100
27,1.004486,0.989252,71.83189999999999,100
28,0.95654,0.9841030000000001,72.2348,100
29,0.95207,0.943386,72.515,100
30,0.8736280000000001,0.9543200000000001,72.018,100
31,0.91354,0.974281,72.723,100
32,0.924676,0.941955,72.9818,100
33,0.929662,0.953919,72.8055,100
34,0.9359390000000001,0.967679,71.9747,100
35,0.884512,0.9478270000000001,72.23020000000001,100
36,0.9253629999999999,0.96841,73.032,100
37,0.940331,0.881795,73.7659,100
38,0.847763,0.848673,74.0457,100
39,0.8266020000000001,0.858276,73.8051,100
40,0.834503,0.8804559999999999,73.4442,100
41,0.849247,0.872281,73.8167,100
42,0.829699,0.850055,74.1202,100
43,0.8482689999999999,0.8731269999999999,73.6748,100
44,0.8677809999999999,0.8524630000000001,74.09729999999999,100
45,0.841206,0.855836,73.934,100
46,0.860462,0.8626609999999999,73.90180000000001,100
47,0.858386,0.847573,73.7105,100
48,0.830529,0.8313389999999999,74.288,100
49,0.8003619999999999,0.802582,74.47930000000001,100
50,0.796433,0.821348,74.5796,100
51,0.844931,0.823981,74.3096,100
52,0.7881140000000001,0.8093340000000001,74.6779,100
53,0.7756059999999999,0.77672,75.4277,100
54,0.782404,0.7586369999999999,75.72149999999999,100
55,0.738624,0.745241,75.9306,100
56,0.732342,0.740924,75.9583,100
57,0.697263,0.724766,76.2264,100
58,0.679227,0.716073,76.4688,100
59,0.705044,0.744445,75.6956,100
60,0.7275979797979798,0.7554919191919192,75.7580808080808,99
61,0.7715363636363636,0.7256262626262626,76.34363636363636,99
62,0.6973979797979798,0.7288757575757575,76.16111111111111,99
63,0.6907454545454544,0.7377242424242424,75.8729292929293,99
64,0.7229575757575758,0.719480808080808,76.74727272727273,99
65,0.6715141414141415,0.714441414141414,76.49939393939394,99
66,0.703050505050505,0.7199252525252525,76.27050505050505,99
67,0.7236939393939394,0.7002767676767676,76.74131313131313,99
68,0.671549494949495,0.6800282828282829,77.33777777777777,99
69,0.6612515151515151,0.690479797979798,76.6460606060606,99
70,0.6724404040404041,0.6907939393939394,76.92767676767677,99
71,0.6627717171717172,0.653629292929293,77.9149494949495,99
72,0.6487727272727273,0.655060606060606,77.72232323232323,99
73,0.6435848484848485,0.6681959595959596,77.58818181818181,99
74,0.62089898989899,0.6607101010101011,77.74282828282828,99
75,0.6327111111111111,0.6553616161616161,77.84929292929293,99
76,0.6265737373737373,0.6536575757575757,77.61242424242424,99
77,0.6494959595959596,0.6439252525252526,78.06363636363636,99
78,0.6266474747474747,0.6250353535353536,78.43131313131313,99
79,0.621420202020202,0.6412686868686869,77.79212121212122,99
80,0.6243752577319588,0.6359742268041237,78.32927835051547,97
81,0.6011216494845361,0.6284546391752577,78.4459793814433,97
82,0.6072113402061856,0.6184835051546391,78.72731958762887,97
83,0.5974,0.6155577319587628,78.67515463917526,97
84,0.587620618556701,0.6211505154639175,78.67453608247423,97
85,0.6102072164948453,0.6156773195876288,78.41783505154639,97
86,0.6048948453608247,0.6196195876288659,78.59432989690721,97
87,0.6059855670103093,0.6214742268041237,78.56463917525774,97
88,0.6043134020618557,0.6087474226804124,78.88618556701032,97
89,0.5794855670103093,0.5962690721649484,79.15103092783505,97
90,0.5783670103092783,0.5962711340206185,79.17381443298969,97
91,0.5638463917525773,0.5798958762886598,79.62443298969072,97
92,0.5656175257731959,0.5941432989690721,79.0141237113402,97
93,0.578019587628866,0.5986422680412371,79.25061855670104,97
94,0.5747144329896907,0.5846567010309278,79.28288659793814,97
95,0.5850092783505154,0.5854845360824742,79.40041237113402,97
96,0.570978350515464,0.5940340206185567,79.2501030927835,97
97,0.5654618556701031,0.593759793814433,79.37268041237112,97
98,0.5647041237113402,0.5869762886597938,79.41597938144331,97
99,0.5676639175257732,0.5798783505154639,79.48525773195875,97
100,0.5547178947368421,0.5690221052631579,79.83905263157895,95
101,0.5507,0.5808147368421053,79.51168421052631,95
102,0.57506,0.564337894736842,80.20557894736842,95
103,0.5655526315789473,0.5607578947368421,80.07873684210526,95
104,0.5416505263157895,0.5674663157894737,79.90768421052631,95
105,0.5397221052631579,0.5617599999999999,80.11673684210527,95
106,0.5590294736842105,0.5775663157894737,79.56757894736842,95
107,0.5726600000000001,0.5788336842105263,79.67536842105262,95
108,0.5679926315789473,0.5798126315789474,79.34978947368421,95
109,0.5338452631578947,0.5629557894736842,80.13168421052632,95
110,0.537,0.5570557894736842,80.32231578947368,95
