Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3111              0
1              [1024/60000]        2.3079              54.5500             1.4212              1              
1              [2048/60000]        1.3763              36.1100             3.8829              2              
1              [3072/60000]        4.0593              37.7500             5.6873              3              
1              [4096/60000]        5.4474              43.1300             4.7680              4              
1              [5120/60000]        5.1829              46.1700             4.6036              5              
1              [6144/60000]        4.6374              34.9800             4.6263              6              
1              [7168/60000]        4.5004              45.7900             2.9786              7              
1              [8192/60000]        2.8626              58.3300             1.7686              8              
1              [9216/60000]        1.6913              59.9500             1.1662              9              
1              [10240/60000]       1.1238              61.5900             1.5169              10             
1              [11264/60000]       1.4286              62.8000             1.1387              11             
1              [12288/60000]       1.0915              67.4900             1.0347              12             
1              [13312/60000]       1.0206              72.7600             0.7866              13             
1              [14336/60000]       0.7149              71.3700             0.8298              14             
1              [15360/60000]       0.7354              74.3600             0.7356              15             
1              [16384/60000]       0.7323              73.1100             0.7787              16             
1              [17408/60000]       0.7721              72.9000             0.8305              17             
1              [18432/60000]       0.8078              72.6100             0.8262              18             
1              [19456/60000]       0.7800              73.3400             0.8176              19             
1              [20480/60000]       0.7962              75.0400             0.7222              20             
1              [21504/60000]       0.7716              74.4500             0.7174              21             
1              [22528/60000]       0.6950              75.6600             0.7297              22             
1              [23552/60000]       0.8169              64.6900             0.9950              23             
1              [24576/60000]       0.8865              75.5300             1.0135              24             
1              [25600/60000]       0.9827              74.8700             0.7185              25             
1              [26624/60000]       0.7435              76.6300             0.6473              26             
1              [27648/60000]       0.6172              78.0500             0.6203              27             
1              [28672/60000]       0.6217              77.1800             0.6360              28             
1              [29696/60000]       0.6051              77.4200             0.6335              29             
1              [30720/60000]       0.6407              74.8000             0.6815              30             
1              [31744/60000]       0.7099              76.2700             0.7219              31             
1              [32768/60000]       0.6674              78.2500             0.6153              32             
1              [33792/60000]       0.5825              75.5100             0.6551              33             
1              [34816/60000]       0.6565              76.1400             0.6828              34             
1              [35840/60000]       0.6536              74.2000             0.7502              35             
1              [36864/60000]       0.7909              74.9400             0.7433              36             
1              [37888/60000]       0.8062              71.2500             0.9161              37             
1              [38912/60000]       0.9308              76.0900             0.7846              38             
1              [39936/60000]       0.7418              77.4300             0.6171              39             
1              [40960/60000]       0.5742              76.9000             0.6645              40             
1              [41984/60000]       0.6531              76.5500             0.6412              41             
1              [43008/60000]       0.5956              77.0800             0.6679              42             
1              [44032/60000]       0.6724              76.6500             0.6332              43             
1              [45056/60000]       0.6062              78.3100             0.6494              44             
1              [46080/60000]       0.6260              77.0700             0.6204              45             
1              [47104/60000]       0.5955              77.0900             0.6419              46             
1              [48128/60000]       0.6555              75.0500             0.6816              47             
1              [49152/60000]       0.6452              75.7500             0.6869              48             
1              [50176/60000]       0.6684              74.7500             0.7122              49             
1              [51200/60000]       0.6997              78.5400             0.6111              50             
1              [52224/60000]       0.5674              78.1600             0.6135              51             
1              [53248/60000]       0.6872              78.5900             0.6156              52             
1              [54272/60000]       0.5894              77.3000             0.6076              53             
1              [55296/60000]       0.6513              79.3400             0.6320              54             
1              [56320/60000]       0.5723              80.5500             0.5351              55             
1              [57344/60000]       0.5222              80.1400             0.5621              56             
1              [58368/60000]       0.4843              81.0100             0.5364              57             
1              [59392/60000]       0.5309              80.4800             0.5498              58             
1              [35872/60000]       0.6001              76.4500             0.6191              59             
2              [1024/60000]        0.6383              76.2000             0.7305              60             
2              [2048/60000]        0.7575              79.6900             0.5822              61             
2              [3072/60000]        0.5759              79.0300             0.5617              62             
2              [4096/60000]        0.5099              79.2200             0.5892              63             
2              [5120/60000]        0.6045              77.6800             0.5758              64             
2              [6144/60000]        0.4684              80.7000             0.5591              65             
2              [7168/60000]        0.5103              82.4300             0.4984              66             
2              [8192/60000]        0.4522              82.3000             0.5018              67             
2              [9216/60000]        0.4742              80.6200             0.5207              68             
2              [10240/60000]       0.4753              81.1400             0.5478              69             
2              [11264/60000]       0.5170              80.3800             0.5233              70             
2              [12288/60000]       0.4991              81.2100             0.5504              71             
2              [13312/60000]       0.4933              79.8000             0.5311              72             
2              [14336/60000]       0.4748              81.0100             0.5463              73             
2              [15360/60000]       0.4981              78.4600             0.5805              74             
2              [16384/60000]       0.5835              78.5500             0.6274              75             
2              [17408/60000]       0.5597              79.5300             0.5657              76             
2              [18432/60000]       0.5267              79.9800             0.5691              77             
2              [19456/60000]       0.5639              79.6600             0.5600              78             
2              [20480/60000]       0.5157              80.7800             0.5447              79             
2              [21504/60000]       0.4956              81.5900             0.5086              80             
2              [22528/60000]       0.4934              81.2600             0.5059              81             
2              [23552/60000]       0.4639              81.8800             0.4970              82             
2              [24576/60000]       0.5138              81.7200             0.5042              83             
2              [25600/60000]       0.5037              82.2000             0.5014              84             
2              [26624/60000]       0.4764              81.9000             0.4946              85             
2              [27648/60000]       0.5126              82.0400             0.5047              86             
2              [28672/60000]       0.4623              81.4100             0.4998              87             
2              [29696/60000]       0.4564              82.3900             0.4941              88             
2              [30720/60000]       0.4747              81.1800             0.4964              89             
2              [31744/60000]       0.4347              83.5700             0.4605              90             
2              [32768/60000]       0.4013              83.0900             0.4640              91             
2              [33792/60000]       0.4556              82.9900             0.4843              92             
2              [34816/60000]       0.4780              81.2000             0.4932              93             
2              [35840/60000]       0.4643              82.1600             0.5241              94             
2              [36864/60000]       0.5553              81.0300             0.5035              95             
2              [37888/60000]       0.5118              81.4900             0.5558              96             
2              [38912/60000]       0.5930              80.6600             0.5307              97             
2              [39936/60000]       0.5122              81.5600             0.5050              98             
2              [40960/60000]       0.4855              80.5300             0.5448              99             
2              [41984/60000]       0.5495              79.9300             0.5355              100            
2              [43008/60000]       0.4792              82.0200             0.5006              101            
2              [44032/60000]       0.4310              83.1300             0.4641              102            
2              [45056/60000]       0.4645              82.4200             0.4848              103            
2              [46080/60000]       0.4776              80.7900             0.5065              104            
2              [47104/60000]       0.4662              81.0000             0.5277              105            
2              [48128/60000]       0.5251              79.1300             0.5566              106            
2              [49152/60000]       0.5262              82.3500             0.4838              107            
2              [50176/60000]       0.4599              81.2500             0.4935              108            
2              [51200/60000]       0.5217              82.7200             0.4887              109            
2              [52224/60000]       0.4668              81.3800             0.5029              110            
2              [53248/60000]       0.4498              82.5300             0.4822              111            
2              [54272/60000]       0.4682              81.9600             0.4758              112            
2              [55296/60000]       0.4351              83.3200             0.4601              113            
2              [56320/60000]       0.4310              83.1300             0.4552              114            
2              [57344/60000]       0.4126              83.8800             0.4474              115            
2              [58368/60000]       0.3999              83.4200             0.4536              116            
2              [59392/60000]       0.4497              83.6500             0.4576              117            
2              [35872/60000]       0.4642              82.4500             0.4849              118            
3              [1024/60000]        0.4606              82.6300             0.4970              119            
3              [2048/60000]        0.4859              81.5400             0.4936              120            
3              [3072/60000]        0.4674              83.2200             0.4690              121            
3              [4096/60000]        0.4372              83.4800             0.4630              122            
3              [5120/60000]        0.4542              81.8500             0.4998              123            
3              [6144/60000]        0.4863              83.1600             0.4697              124            
3              [7168/60000]        0.4205              83.9200             0.4512              125            
3              [8192/60000]        0.3701              83.7500             0.4454              126            
3              [9216/60000]        0.4641              84.1700             0.4416              127            
3              [10240/60000]       0.3907              84.4300             0.4303              128            
3              [11264/60000]       0.3731              84.5300             0.4415              129            
3              [12288/60000]       0.3943              84.4800             0.4342              130            
3              [13312/60000]       0.4029              82.2900             0.4716              131            
3              [14336/60000]       0.4355              80.6900             0.5504              132            
3              [15360/60000]       0.4817              82.3200             0.4698              133            
3              [16384/60000]       0.4288              83.9400             0.4469              134            
3              [17408/60000]       0.4092              83.4900             0.4508              135            
3              [18432/60000]       0.3810              84.2000             0.4437              136            
3              [19456/60000]       0.4195              83.3100             0.4428              137            
3              [20480/60000]       0.4194              82.4000             0.4894              138            
3              [21504/60000]       0.5027              79.2400             0.5451              139            
3              [22528/60000]       0.4975              81.8100             0.5137              140            
3              [23552/60000]       0.4583              83.8200             0.4576              141            
3              [24576/60000]       0.4334              83.1600             0.4659              142            
3              [25600/60000]       0.4302              83.1000             0.4691              143            
3              [26624/60000]       0.4109              84.1800             0.4421              144            
3              [27648/60000]       0.4654              83.7100             0.4486              145            
3              [28672/60000]       0.3931              82.9400             0.4602              146            
3              [29696/60000]       0.4490              82.4000             0.4883              147            
3              [30720/60000]       0.4521              83.9300             0.4377              148            
3              [31744/60000]       0.3963              83.5200             0.4603              149            
3              [32768/60000]       0.4266              80.5300             0.5320              150            
3              [33792/60000]       0.4899              83.8200             0.4537              151            
3              [34816/60000]       0.4381              83.0200             0.4593              152            
3              [35840/60000]       0.4357              83.9100             0.4632              153            
3              [36864/60000]       0.5041              82.6000             0.4574              154            
3              [37888/60000]       0.4263              84.5700             0.4402              155            
