P%         IPA_Average          STD                  BS                  
0.0        0.028492000          0.006185000          64                  
0.0        0.033623000          0.009196000          1024                
0.1        0.034266000          0.008894000          64                  
0.1        0.039349000          0.012071000          1024                
0.2        0.041553000          0.011001000          64                  
0.2        0.046416000          0.015043000          1024                
0.3        0.049676000          0.014594000          64                  
0.3        0.048945000          0.016750000          1024                
0.4        0.054232000          0.018905000          64                  
0.4        0.056109000          0.018870000          1024                
0.5        0.058211000          0.017725000          64                  
0.5        0.055133000          0.018828000          1024                
0.6        0.052774000          0.014288000          64                  
0.6        0.048930000          0.013979000          1024                
0.7        0.046357000          0.010977000          64                  
0.7        0.043018000          0.009609000          1024                
0.8        0.042338000          0.008072000          64                  
0.8        0.040562000          0.007236000          1024                
0.9        0.034461000          0.007372000          64                  
0.9        0.033913000          0.006702000          1024                
